TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,53413,,ADANIENT,,2026-10-27,2026-10-27,2800.0,PE,ADANIENT26OCT2800PE,0.0,0.0,0.0,160.6,0.0,160.6,2995.43,139.04,0,0,0,0.0,0,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,67556,,ADANIENT,,2026-08-25,2026-08-25,3040.0,PE,ADANIENT26AUG3040PE,70.0,99.7,67.95,97.95,97.35,82.85,2995.43,97.95,130398,27810,931,899489359.2,591,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,80358,,ADANIENT,,2026-08-25,2026-08-25,3450.0,CE,ADANIENT26AUG3450CE,4.3,4.5,4.3,4.5,4.5,3.65,2995.43,4.5,7725,0,6,6404488.5,5,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,80347,,ADANIENT,,2026-08-25,2026-08-25,3350.0,CE,ADANIENT26AUG3350CE,9.9,10.95,6.5,6.8,6.9,7.1,2995.43,6.8,51294,7725,205,212746221.9,178,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,80297,,ADANIENT,,2026-08-25,2026-08-25,3150.0,CE,ADANIENT26AUG3150CE,36.05,43.8,24.7,25.65,25.95,27.95,2995.43,25.65,252762,68289,2597,2553062998.2,2294,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,67543,,ADANIENT,,2026-08-25,2026-08-25,2800.0,CE,ADANIENT26AUG2800CE,221.0,221.0,213.4,217.2,217.35,232.95,2995.43,217.2,27192,309,16,14920513.05,14,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,48711,,ADANIENT,,2026-10-27,2026-10-27,,,ADANIENT26OCTFUT,3068.2,3080.0,3027.2,3028.6,3027.2,3055.6,2995.43,3028.6,25647,2781,17,16015377.3,17,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,53411,,ADANIENT,,2026-10-27,2026-10-27,2700.0,PE,ADANIENT26OCT2700PE,0.0,0.0,0.0,124.05,0.0,124.05,2995.43,104.24,0,0,0,0.0,0,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,80419,,ADANIENT,,2026-09-29,2026-09-29,2600.0,PE,ADANIENT26SEP2600PE,0.0,0.0,0.0,26.0,26.0,26.0,2995.43,45.59,11433,0,0,0.0,0,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,53362,,ADANIENT,,2026-09-29,2026-09-29,3150.0,CE,ADANIENT26SEP3150CE,0.0,0.0,0.0,181.55,0.0,181.55,2995.43,144.78,0,0,0,0.0,0,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,53425,,ADANIENT,,2026-10-27,2026-10-27,3400.0,PE,ADANIENT26OCT3400PE,0.0,0.0,0.0,497.55,0.0,497.55,2995.43,479.06,0,0,0,0.0,0,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,80299,,ADANIENT,,2026-08-25,2026-08-25,3250.0,CE,ADANIENT26AUG3250CE,17.55,21.85,11.85,12.5,12.85,13.2,2995.43,12.5,139050,26883,1081,1090784723.85,948,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,80421,,ADANIENT,,2026-09-29,2026-09-29,2700.0,PE,ADANIENT26SEP2700PE,0.0,0.0,0.0,120.9,0.0,120.9,2995.43,69.37,0,0,0,0.0,0,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,80296,,ADANIENT,,2026-08-25,2026-08-25,3100.0,PE,ADANIENT26AUG3100PE,115.0,141.7,101.55,138.2,139.2,117.55,2995.43,138.2,341754,42642,719,716285808.45,615,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,53410,,ADANIENT,,2026-10-27,2026-10-27,2700.0,CE,ADANIENT26OCT2700CE,0.0,0.0,0.0,466.9,0.0,466.9,2995.43,436.84,0,0,0,0.0,0,F1,309,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,53366,,ADANIENT,,2026-09-29,2026-09-29,3250.0,CE,ADANIENT26SEP3250CE,0.0,0.0,0.0,146.45,0.0,146.45,2995.43,111.62,0,0,0,0.0,0,F1,309,,,,,
