TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,68313,,ADANIPORTS,,2026-08-25,2026-08-25,2040.0,CE,ADANIPORTS26AUG2040CE,1.0,1.0,1.0,1.0,1.0,1.0,1668.2,1.0,19000,0,2,1938950.0,2,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,53722,,ADANIPORTS,,2026-10-27,2026-10-27,1880.0,PE,ADANIPORTS26OCT1880PE,0.0,0.0,0.0,173.0,173.0,173.0,1668.2,233.9,950,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,53700,,ADANIPORTS,,2026-10-27,2026-10-27,1600.0,PE,ADANIPORTS26OCT1600PE,0.0,0.0,0.0,48.95,0.0,48.95,1668.2,69.91,0,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,53634,,ADANIPORTS,,2026-09-29,2026-09-29,1780.0,PE,ADANIPORTS26SEP1780PE,0.0,0.0,0.0,102.2,0.0,102.2,1668.2,148.06,0,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,81263,,ADANIPORTS,,2026-08-25,2026-08-25,2020.0,PE,ADANIPORTS26AUG2020PE,0.0,0.0,0.0,237.3,235.6,237.3,1668.2,347.29,2375,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,68259,,ADANIPORTS,,2026-08-25,2026-08-25,1480.0,CE,ADANIPORTS26AUG1480CE,0.0,0.0,0.0,375.2,0.0,375.2,1668.2,193.73,0,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,68261,,ADANIPORTS,,2026-08-25,2026-08-25,1520.0,CE,ADANIPORTS26AUG1520CE,0.0,0.0,0.0,193.55,193.55,193.55,1668.2,156.69,9500,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,68295,,ADANIPORTS,,2026-08-25,2026-08-25,1680.0,CE,ADANIPORTS26AUG1680CE,44.3,47.15,30.2,31.65,32.9,37.4,1668.2,31.65,891100,366700,3751,3059244031.25,3000,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,81199,,ADANIPORTS,,2026-08-25,2026-08-25,1740.0,CE,ADANIPORTS26AUG1740CE,22.8,23.65,13.25,13.85,14.3,15.75,1668.2,13.85,1430225,77425,2842,2371402516.25,2165,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,81231,,ADANIPORTS,,2026-08-25,2026-08-25,1860.0,CE,ADANIPORTS26AUG1860CE,3.75,3.75,2.5,2.6,2.75,3.0,1668.2,2.6,687325,92625,496,438896960.0,327,F1,475,,,,,
