TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,84564,,APOLLOHOSP,,2026-09-29,2026-09-29,8800.0,PE,APOLLOHOSP26SEP8800PE,220.0,271.2,220.0,257.65,257.65,208.0,8750.5,287.19,8000,1375,18,20362462.5,11,F1,125,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71294,,APOLLOHOSP,,2026-08-25,2026-08-25,8500.0,PE,APOLLOHOSP26AUG8500PE,43.55,122.15,42.55,75.55,68.45,47.15,8750.5,75.55,73000,3875,3789,4066826887.5,3074,F1,125,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,54833,,APOLLOHOSP,,2026-10-27,2026-10-27,8200.0,CE,APOLLOHOSP26OCT8200CE,0.0,0.0,0.0,940.75,0.0,940.75,8750.5,787.46,0,0,0,0.0,0,F1,125,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,54845,,APOLLOHOSP,,2026-10-27,2026-10-27,9200.0,CE,APOLLOHOSP26OCT9200CE,0.0,0.0,0.0,347.15,0.0,347.15,8750.5,244.57,0,0,0,0.0,0,F1,125,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71252,,APOLLOHOSP,,2026-08-25,2026-08-25,7600.0,PE,APOLLOHOSP26AUG7600PE,10.0,10.0,3.0,3.6,3.6,3.75,8750.5,3.6,3250,2250,50,47532775.0,29,F1,125,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71258,,APOLLOHOSP,,2026-08-25,2026-08-25,7700.0,PE,APOLLOHOSP26AUG7700PE,4.0,4.0,4.0,4.0,4.0,4.0,8750.5,0.27,625,0,2,1926000.0,2,F1,125,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71310,,APOLLOHOSP,,2026-08-25,2026-08-25,9200.0,PE,APOLLOHOSP26AUG9200PE,0.0,0.0,0.0,355.0,355.0,355.0,8750.5,460.46,22750,0,0,0.0,0,F1,125,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71316,,APOLLOHOSP,,2026-08-25,2026-08-25,9500.0,PE,APOLLOHOSP26AUG9500PE,0.0,0.0,0.0,1191.6,0.0,1191.6,8750.5,734.62,0,0,0,0.0,0,F1,125,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,54846,,APOLLOHOSP,,2026-10-27,2026-10-27,9200.0,PE,APOLLOHOSP26OCT9200PE,0.0,0.0,0.0,506.0,0.0,506.0,8750.5,567.44,0,0,0,0.0,0,F1,125,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,54848,,APOLLOHOSP,,2026-10-27,2026-10-27,9400.0,PE,APOLLOHOSP26OCT9400PE,0.0,0.0,0.0,627.75,0.0,627.75,8750.5,702.97,0,0,0,0.0,0,F1,125,,,,,
