TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,55118,,ASIANPAINT,,2026-09-29,2026-09-29,2980.0,PE,ASIANPAINT26SEP2980PE,0.0,0.0,0.0,263.65,0.0,263.65,2735.48,255.13,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,55101,,ASIANPAINT,,2026-09-29,2026-09-29,2860.0,CE,ASIANPAINT26SEP2860CE,0.0,0.0,0.0,86.25,0.0,86.25,2735.48,69.11,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85294,,ASIANPAINT,,2026-08-25,2026-08-25,2500.0,CE,ASIANPAINT26AUG2500CE,0.0,0.0,0.0,267.0,267.0,267.0,2735.48,243.77,63250,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71876,,ASIANPAINT,,2026-08-25,2026-08-25,2440.0,CE,ASIANPAINT26AUG2440CE,0.0,0.0,0.0,265.45,265.45,265.45,2735.48,301.9,32500,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85348,,ASIANPAINT,,2026-08-25,2026-08-25,2900.0,CE,ASIANPAINT26AUG2900CE,9.0,9.25,6.35,7.85,8.2,10.45,2735.48,7.85,688750,39250,1131,822119537.5,785,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,55091,,ASIANPAINT,,2026-09-29,2026-09-29,2700.0,CE,ASIANPAINT26SEP2700CE,122.1,132.95,114.0,118.5,119.0,139.0,2735.48,118.5,8500,2750,13,9188762.5,6,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,55216,,ASIANPAINT,,2026-10-27,2026-10-27,2520.0,CE,ASIANPAINT26OCT2520CE,0.0,0.0,0.0,305.35,0.0,305.35,2735.48,292.66,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,55079,,ASIANPAINT,,2026-09-29,2026-09-29,2620.0,CE,ASIANPAINT26SEP2620CE,0.0,0.0,0.0,207.25,0.0,207.25,2735.48,190.26,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85607,,ASIANPAINT,,2026-09-29,2026-09-29,2440.0,CE,ASIANPAINT26SEP2440CE,0.0,0.0,0.0,287.8,0.0,287.8,2735.48,330.82,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85712,,ASIANPAINT,,2026-09-29,2026-09-29,3200.0,PE,ASIANPAINT26SEP3200PE,0.0,0.0,0.0,535.2,0.0,535.2,2735.48,445.77,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,55080,,ASIANPAINT,,2026-09-29,2026-09-29,2620.0,PE,ASIANPAINT26SEP2620PE,0.0,0.0,0.0,63.75,0.0,63.75,2735.48,51.78,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85339,,ASIANPAINT,,2026-08-25,2026-08-25,2700.0,PE,ASIANPAINT26AUG2700PE,30.0,36.25,25.85,28.8,27.2,25.1,2735.48,28.8,320500,-4750,1660,1132982862.5,1268,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85319,,ASIANPAINT,,2026-08-25,2026-08-25,2580.0,PE,ASIANPAINT26AUG2580PE,6.9,8.05,5.65,6.05,6.05,6.0,2735.48,6.05,55500,-11500,92,59499287.5,77,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,55246,,ASIANPAINT,,2026-10-27,2026-10-27,3040.0,CE,ASIANPAINT26OCT3040CE,0.0,0.0,0.0,61.5,0.0,61.5,2735.48,49.42,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,55220,,ASIANPAINT,,2026-10-27,2026-10-27,2600.0,CE,ASIANPAINT26OCT2600CE,0.0,0.0,0.0,250.15,0.0,250.15,2735.48,236.11,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85696,,ASIANPAINT,,2026-09-29,2026-09-29,2960.0,CE,ASIANPAINT26SEP2960CE,23.35,25.9,23.35,25.9,25.9,28.6,2735.48,41.2,4500,0,3,2238150.0,3,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85624,,ASIANPAINT,,2026-09-29,2026-09-29,2680.0,CE,ASIANPAINT26SEP2680CE,0.0,0.0,0.0,146.75,0.0,146.75,2735.48,152.35,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85622,,ASIANPAINT,,2026-09-29,2026-09-29,2640.0,CE,ASIANPAINT26SEP2640CE,0.0,0.0,0.0,166.05,0.0,166.05,2735.48,177.07,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85616,,ASIANPAINT,,2026-09-29,2026-09-29,2520.0,CE,ASIANPAINT26SEP2520CE,0.0,0.0,0.0,234.05,0.0,234.05,2735.48,263.99,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85592,,ASIANPAINT,,2026-09-29,2026-09-29,2320.0,CE,ASIANPAINT26SEP2320CE,0.0,0.0,0.0,379.45,0.0,379.45,2735.48,440.24,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85354,,ASIANPAINT,,2026-08-25,2026-08-25,3020.0,CE,ASIANPAINT26AUG3020CE,2.0,2.0,2.0,2.0,2.0,2.15,2735.48,2.24,2000,1000,4,3022000.0,3,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85350,,ASIANPAINT,,2026-08-25,2026-08-25,2940.0,CE,ASIANPAINT26AUG2940CE,5.6,5.6,3.75,4.75,4.75,6.2,2735.48,7.02,98250,2000,99,72878100.0,76,F1,250,,,,,
