TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,87119,,AXISBANK,,2026-09-29,2026-09-29,1240.0,CE,AXISBANK26SEP1240CE,40.0,40.0,35.5,37.95,37.05,46.6,1229.8,37.95,73750,32500,137,109354812.5,92,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73330,,AXISBANK,,2026-08-25,2026-08-25,1080.0,PE,AXISBANK26AUG1080PE,0.25,0.35,0.25,0.3,0.3,0.3,1229.8,0.23,96875,8750,82,55364781.25,53,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73387,,AXISBANK,,2026-08-25,2026-08-25,1380.0,PE,AXISBANK26AUG1380PE,0.0,0.0,0.0,121.0,121.0,121.0,1229.8,147.67,25000,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,56401,,AXISBANK,,2026-10-27,2026-10-27,1360.0,PE,AXISBANK26OCT1360PE,0.0,0.0,0.0,146.85,0.0,146.85,1229.8,138.27,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87116,,AXISBANK,,2026-09-29,2026-09-29,1160.0,PE,AXISBANK26SEP1160PE,7.35,9.15,7.35,8.1,8.0,6.05,1229.8,8.1,91250,25000,105,76665375.0,76,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,56367,,AXISBANK,,2026-10-27,2026-10-27,960.0,PE,AXISBANK26OCT960PE,0.0,0.0,0.0,2.55,0.0,2.55,1229.8,1.39,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,56415,,AXISBANK,,2026-10-27,2026-10-27,1520.0,PE,AXISBANK26OCT1520PE,0.0,0.0,0.0,281.35,0.0,281.35,1229.8,274.87,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73359,,AXISBANK,,2026-08-25,2026-08-25,1240.0,CE,AXISBANK26AUG1240CE,24.5,24.5,14.7,16.4,16.2,25.2,1229.8,16.4,3753125,1290625,9609,7548374937.5,6649,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73341,,AXISBANK,,2026-08-25,2026-08-25,1160.0,CE,AXISBANK26AUG1160CE,76.0,79.1,76.0,78.7,78.7,91.25,1229.8,78.7,70625,20625,72,55656406.25,52,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73331,,AXISBANK,,2026-08-25,2026-08-25,1100.0,CE,AXISBANK26AUG1100CE,140.0,140.0,134.0,134.5,134.5,148.0,1229.8,132.93,4375,-10000,21,16206843.75,17,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73427,,AXISBANK,,2026-08-25,2026-08-25,1500.0,CE,AXISBANK26AUG1500CE,0.15,0.3,0.15,0.3,0.3,0.2,1229.8,0.01,133750,-6875,13,12188968.75,5,F1,625,,,,,
