TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,56587,,BAJAJ-AUTO,,2026-10-27,2026-10-27,12200.0,PE,BAJAJ-AUTO26OCT12200PE,0.0,0.0,0.0,1065.6,0.0,1065.6,11716.98,816.9,0,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87467,,BAJAJ-AUTO,,2026-08-25,2026-08-25,11100.0,CE,BAJAJ-AUTO26AUG11100CE,730.0,730.0,600.0,600.0,600.0,652.9,11716.98,701.72,9375,-300,5,4414353.75,5,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87441,,BAJAJ-AUTO,,2026-08-25,2026-08-25,10100.0,PE,BAJAJ-AUTO26AUG10100PE,1.6,2.45,1.05,2.05,2.05,3.0,11716.98,0.97,9975,225,80,60611077.5,59,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87439,,BAJAJ-AUTO,,2026-08-25,2026-08-25,9900.0,PE,BAJAJ-AUTO26AUG9900PE,2.05,2.45,1.8,2.25,2.25,2.8,11716.98,2.25,3750,-75,12,8911912.5,12,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73644,,BAJAJ-AUTO,,2026-08-25,2026-08-25,9000.0,PE,BAJAJ-AUTO26AUG9000PE,1.0,1.3,1.0,1.3,1.3,0.85,11716.98,1.3,15750,-150,5,3375397.5,4,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,56498,,BAJAJ-AUTO,,2026-09-29,2026-09-29,12900.0,CE,BAJAJ-AUTO26SEP12900CE,0.0,0.0,0.0,143.65,0.0,143.65,11716.98,160.32,0,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,36345,,BAJAJ-AUTO,,2026-08-25,2026-08-25,12900.0,CE,BAJAJ-AUTO26AUG12900CE,0.0,0.0,0.0,4.85,0.0,4.85,11716.98,16.32,0,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87483,,BAJAJ-AUTO,,2026-08-25,2026-08-25,12700.0,CE,BAJAJ-AUTO26AUG12700CE,0.0,0.0,0.0,5.85,0.0,5.85,11716.98,29.66,0,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73679,,BAJAJ-AUTO,,2026-08-25,2026-08-25,11200.0,CE,BAJAJ-AUTO26AUG11200CE,660.0,695.0,537.0,539.4,540.4,562.8,11716.98,539.4,29550,-975,25,22124100.0,25,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87455,,BAJAJ-AUTO,,2026-08-25,2026-08-25,10900.0,CE,BAJAJ-AUTO26AUG10900CE,0.0,0.0,0.0,775.0,775.0,775.0,11716.98,873.7,4800,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73671,,BAJAJ-AUTO,,2026-08-25,2026-08-25,10400.0,CE,BAJAJ-AUTO26AUG10400CE,0.0,0.0,0.0,910.7,910.7,910.7,11716.98,1345.48,4050,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73665,,BAJAJ-AUTO,,2026-08-25,2026-08-25,10000.0,CE,BAJAJ-AUTO26AUG10000CE,1845.0,1845.0,1584.65,1593.95,1593.95,1714.9,11716.98,1740.75,8625,-75,18,15703192.5,11,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87634,,BAJAJ-AUTO,,2026-09-29,2026-09-29,12600.0,PE,BAJAJ-AUTO26SEP12600PE,0.0,0.0,0.0,2724.15,0.0,2724.15,11716.98,1000.12,0,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87324,,BAJAJ-AUTO,,2026-08-25,2026-08-25,9300.0,PE,BAJAJ-AUTO26AUG9300PE,0.0,0.0,0.0,6.8,4.95,6.8,11716.98,0.0,4650,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87630,,BAJAJ-AUTO,,2026-09-29,2026-09-29,12200.0,PE,BAJAJ-AUTO26SEP12200PE,0.0,0.0,0.0,645.0,645.0,645.0,11716.98,727.23,3075,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,56473,,BAJAJ-AUTO,,2026-09-29,2026-09-29,10900.0,PE,BAJAJ-AUTO26SEP10900PE,0.0,0.0,0.0,180.8,180.8,180.8,11716.98,162.91,1425,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87612,,BAJAJ-AUTO,,2026-09-29,2026-09-29,10400.0,PE,BAJAJ-AUTO26SEP10400PE,0.0,0.0,0.0,887.3,0.0,887.3,11716.98,71.09,0,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87574,,BAJAJ-AUTO,,2026-09-29,2026-09-29,8400.0,PE,BAJAJ-AUTO26SEP8400PE,0.0,0.0,0.0,31.0,31.0,31.0,11716.98,0.26,4725,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87470,,BAJAJ-AUTO,,2026-08-25,2026-08-25,11300.0,PE,BAJAJ-AUTO26AUG11300PE,53.55,70.9,36.35,61.05,56.0,59.1,11716.98,61.05,76650,-2100,1925,1638555926.25,1614,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87459,,BAJAJ-AUTO,,2026-08-25,2026-08-25,10900.0,PE,BAJAJ-AUTO26AUG10900PE,10.6,14.2,8.7,12.0,12.0,13.25,11716.98,12.0,110100,-4425,305,249580057.5,236,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87449,,BAJAJ-AUTO,,2026-08-25,2026-08-25,10500.0,PE,BAJAJ-AUTO26AUG10500PE,4.7,4.85,2.5,4.0,4.35,5.0,11716.98,4.0,122100,-24300,1311,1032744127.5,676,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,56586,,BAJAJ-AUTO,,2026-10-27,2026-10-27,12200.0,CE,BAJAJ-AUTO26OCT12200CE,0.0,0.0,0.0,422.85,0.0,422.85,11716.98,501.8,0,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73619,,BAJAJ-AUTO,,2026-08-25,2026-08-25,8400.0,PE,BAJAJ-AUTO26AUG8400PE,0.0,0.0,0.0,0.4,0.4,0.4,11716.98,0.0,15075,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73646,,BAJAJ-AUTO,,2026-08-25,2026-08-25,9200.0,PE,BAJAJ-AUTO26AUG9200PE,1.15,1.2,1.15,1.2,1.2,2.1,11716.98,0.0,3825,0,2,1380176.25,2,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73682,,BAJAJ-AUTO,,2026-08-25,2026-08-25,11400.0,PE,BAJAJ-AUTO26AUG11400PE,79.0,99.0,53.0,85.75,79.0,82.35,11716.98,85.75,74025,3225,1787,1537374543.75,1408,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87616,,BAJAJ-AUTO,,2026-09-29,2026-09-29,10800.0,PE,BAJAJ-AUTO26SEP10800PE,0.0,0.0,0.0,89.95,89.95,89.95,11716.98,139.88,2025,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87618,,BAJAJ-AUTO,,2026-09-29,2026-09-29,11000.0,PE,BAJAJ-AUTO26SEP11000PE,91.65,114.45,85.0,104.0,104.0,101.0,11716.98,104.0,12675,1725,43,35777467.5,41,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,56483,,BAJAJ-AUTO,,2026-09-29,2026-09-29,11500.0,PE,BAJAJ-AUTO26SEP11500PE,207.05,260.0,207.05,250.2,250.2,300.0,11716.98,359.62,2175,1200,21,18466005.0,19,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,56573,,BAJAJ-AUTO,,2026-10-27,2026-10-27,10800.0,PE,BAJAJ-AUTO26OCT10800PE,0.0,0.0,0.0,353.0,0.0,353.0,11716.98,219.63,0,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,56581,,BAJAJ-AUTO,,2026-10-27,2026-10-27,11600.0,PE,BAJAJ-AUTO26OCT11600PE,0.0,0.0,0.0,706.35,0.0,706.35,11716.98,502.41,0,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,56576,,BAJAJ-AUTO,,2026-10-27,2026-10-27,11200.0,CE,BAJAJ-AUTO26OCT11200CE,0.0,0.0,0.0,853.4,0.0,853.4,11716.98,1012.69,0,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,56484,,BAJAJ-AUTO,,2026-09-29,2026-09-29,11700.0,CE,BAJAJ-AUTO26SEP11700CE,0.0,0.0,0.0,344.7,344.7,344.7,11716.98,569.13,825,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87623,,BAJAJ-AUTO,,2026-09-29,2026-09-29,11600.0,CE,BAJAJ-AUTO26SEP11600CE,460.0,460.0,460.0,460.0,460.0,457.0,11716.98,621.81,1350,-75,1,904500.0,1,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,56479,,BAJAJ-AUTO,,2026-09-29,2026-09-29,11300.0,CE,BAJAJ-AUTO26SEP11300CE,0.0,0.0,0.0,661.2,0.0,661.2,11716.98,798.38,0,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87481,,BAJAJ-AUTO,,2026-08-25,2026-08-25,12500.0,CE,BAJAJ-AUTO26AUG12500CE,21.0,35.95,16.25,17.85,18.15,20.35,11716.98,17.85,33750,19800,1736,1630747788.75,1249,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87475,,BAJAJ-AUTO,,2026-08-25,2026-08-25,11900.0,CE,BAJAJ-AUTO26AUG11900CE,140.7,212.7,111.35,123.3,127.8,131.1,11716.98,123.3,39600,12150,3347,3029883161.25,2795,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,73643,,BAJAJ-AUTO,,2026-08-25,2026-08-25,9000.0,CE,BAJAJ-AUTO26AUG9000CE,0.0,0.0,0.0,2260.0,2260.0,2260.0,11716.98,2737.88,450,0,0,0.0,0,F1,75,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,87638,,BAJAJ-AUTO,,2026-09-29,2026-09-29,13200.0,PE,BAJAJ-AUTO26SEP13200PE,0.0,0.0,0.0,3297.0,0.0,3297.0,11716.98,1477.3,0,0,0,0.0,0,F1,75,,,,,
