TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,74200,,BAJFINANCE,,2026-08-25,2026-08-25,860.0,CE,BAJFINANCE26AUG860CE,237.35,237.35,237.35,237.35,237.35,224.8,1093.29,235.29,28500,3750,5,4115062.5,1,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,74212,,BAJFINANCE,,2026-08-25,2026-08-25,980.0,CE,BAJFINANCE26AUG980CE,0.0,0.0,0.0,120.0,120.0,120.0,1093.29,117.51,63000,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,88717,,BAJFINANCE,,2026-08-25,2026-08-25,1070.0,CE,BAJFINANCE26AUG1070CE,38.15,44.0,34.9,38.05,37.9,44.2,1093.29,38.05,545250,-16500,266,221102662.5,238,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,74224,,BAJFINANCE,,2026-08-25,2026-08-25,1100.0,CE,BAJFINANCE26AUG1100CE,24.7,24.7,18.35,19.9,20.55,25.0,1093.29,19.9,2668500,86250,6544,5503232100.0,5449,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57108,,BAJFINANCE,,2026-09-29,2026-09-29,1070.0,PE,BAJFINANCE26SEP1070PE,0.0,0.0,0.0,65.85,0.0,65.85,1093.29,42.93,0,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,74210,,BAJFINANCE,,2026-08-25,2026-08-25,960.0,CE,BAJFINANCE26AUG960CE,0.0,0.0,0.0,102.0,102.0,102.0,1093.29,136.48,105750,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,74228,,BAJFINANCE,,2026-08-25,2026-08-25,1140.0,CE,BAJFINANCE26AUG1140CE,9.0,9.25,6.6,7.1,7.3,9.6,1093.29,7.1,1331250,3000,1860,1600965975.0,1326,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,74230,,BAJFINANCE,,2026-08-25,2026-08-25,1160.0,CE,BAJFINANCE26AUG1160CE,5.2,5.55,3.9,4.1,4.3,5.9,1093.29,4.1,1698750,-194250,1405,1227282112.5,772,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,89020,,BAJFINANCE,,2026-09-29,2026-09-29,1100.0,CE,BAJFINANCE26SEP1100CE,38.45,42.0,36.25,37.6,37.15,42.95,1093.29,37.6,800250,60000,243,207460912.5,180,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,89036,,BAJFINANCE,,2026-09-29,2026-09-29,1220.0,CE,BAJFINANCE26SEP1220CE,0.0,0.0,0.0,6.25,6.25,6.25,1093.29,20.35,9000,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,74211,,BAJFINANCE,,2026-08-25,2026-08-25,960.0,PE,BAJFINANCE26AUG960PE,1.0,1.0,0.8,0.95,0.95,0.95,1093.29,0.96,114000,-4500,46,33150975.0,34,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,88691,,BAJFINANCE,,2026-08-25,2026-08-25,970.0,PE,BAJFINANCE26AUG970PE,1.35,1.35,0.95,1.0,1.0,1.1,1093.29,1.0,135000,-750,132,96139012.5,83,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,89009,,BAJFINANCE,,2026-09-29,2026-09-29,1000.0,PE,BAJFINANCE26SEP1000PE,7.55,7.55,6.05,6.45,6.45,6.4,1093.29,6.45,352500,-3750,71,53610975.0,60,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,74226,,BAJFINANCE,,2026-08-25,2026-08-25,1120.0,CE,BAJFINANCE26AUG1120CE,12.0,15.4,9.05,11.95,12.5,15.9,1093.29,11.95,1376250,134250,2402,2040867187.5,2003,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57181,,BAJFINANCE,,2026-10-27,2026-10-27,1020.0,CE,BAJFINANCE26OCT1020CE,0.0,0.0,0.0,94.8,0.0,94.8,1093.29,122.65,0,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57185,,BAJFINANCE,,2026-10-27,2026-10-27,1060.0,CE,BAJFINANCE26OCT1060CE,0.0,0.0,0.0,74.3,0.0,74.3,1093.29,98.38,0,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,89037,,BAJFINANCE,,2026-09-29,2026-09-29,1220.0,PE,BAJFINANCE26SEP1220PE,0.0,0.0,0.0,116.0,116.0,116.0,1093.29,136.35,6750,0,0,0.0,0,F1,750,,,,,
