TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,57957,,BHARTIARTL,,2026-09-29,2026-09-29,2020.0,PE,BHARTIARTL26SEP2020PE,0.0,0.0,0.0,137.8,0.0,137.8,1915.2,122.17,0,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,76612,,BHARTIARTL,,2026-08-25,2026-08-25,2200.0,PE,BHARTIARTL26AUG2200PE,0.0,0.0,0.0,246.1,246.1,246.1,1915.2,279.76,7125,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,76606,,BHARTIARTL,,2026-08-25,2026-08-25,2120.0,PE,BHARTIARTL26AUG2120PE,0.0,0.0,0.0,166.0,166.0,166.0,1915.2,200.57,66025,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,58050,,BHARTIARTL,,2026-10-27,2026-10-27,1840.0,CE,BHARTIARTL26OCT1840CE,0.0,0.0,0.0,143.15,0.0,143.15,1915.2,143.48,0,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,58060,,BHARTIARTL,,2026-10-27,2026-10-27,1960.0,CE,BHARTIARTL26OCT1960CE,0.0,0.0,0.0,80.8,0.0,80.8,1915.2,77.85,0,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,76602,,BHARTIARTL,,2026-08-25,2026-08-25,2040.0,PE,BHARTIARTL26AUG2040PE,0.0,0.0,0.0,86.45,86.45,86.45,1915.2,124.73,34675,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57959,,BHARTIARTL,,2026-09-29,2026-09-29,2060.0,PE,BHARTIARTL26SEP2060PE,0.0,0.0,0.0,167.0,0.0,167.0,1915.2,151.6,0,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,58049,,BHARTIARTL,,2026-10-27,2026-10-27,1800.0,PE,BHARTIARTL26OCT1800PE,0.0,0.0,0.0,40.35,0.0,40.35,1915.2,31.13,0,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,76601,,BHARTIARTL,,2026-08-25,2026-08-25,2040.0,CE,BHARTIARTL26AUG2040CE,5.9,5.9,3.75,4.5,4.3,6.0,1915.2,4.5,1048800,-3800,2542,2468369277.5,1590,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,76599,,BHARTIARTL,,2026-08-25,2026-08-25,2000.0,CE,BHARTIARTL26AUG2000CE,10.45,10.5,7.45,8.45,8.35,11.95,1915.2,8.45,4994150,349125,8744,8341731191.25,5775,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,58094,,BHARTIARTL,,2026-10-27,2026-10-27,2240.0,PE,BHARTIARTL26OCT2240PE,0.0,0.0,0.0,318.75,0.0,318.75,1915.2,305.32,0,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,91848,,BHARTIARTL,,2026-09-29,2026-09-29,2160.0,PE,BHARTIARTL26SEP2160PE,0.0,0.0,0.0,291.85,0.0,291.85,1915.2,235.27,0,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,91439,,BHARTIARTL,,2026-09-29,2026-09-29,1720.0,PE,BHARTIARTL26SEP1720PE,0.0,0.0,0.0,31.15,0.0,31.15,1915.2,7.52,0,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,76604,,BHARTIARTL,,2026-08-25,2026-08-25,2080.0,PE,BHARTIARTL26AUG2080PE,154.0,154.0,154.0,154.0,154.0,115.0,1915.2,161.87,14725,-475,1,1061150.0,1,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,76596,,BHARTIARTL,,2026-08-25,2026-08-25,1920.0,PE,BHARTIARTL26AUG1920PE,20.2,27.05,20.2,23.4,24.7,18.7,1915.2,23.4,874950,50825,4645,4290308846.25,3678,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,58028,,BHARTIARTL,,2026-10-27,2026-10-27,1680.0,CE,BHARTIARTL26OCT1680CE,0.0,0.0,0.0,261.4,0.0,261.4,1915.2,267.78,0,0,0,0.0,0,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57956,,BHARTIARTL,,2026-09-29,2026-09-29,2020.0,CE,BHARTIARTL26SEP2020CE,25.5,26.75,25.45,26.75,26.75,29.8,1915.2,35.11,11875,475,4,3887020.0,4,F1,475,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,91442,,BHARTIARTL,,2026-09-29,2026-09-29,1800.0,CE,BHARTIARTL26SEP1800CE,146.8,146.8,146.8,146.8,146.8,135.9,1915.2,151.44,475,475,1,924730.0,1,F1,475,,,,,
