TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,83086,,CIPLA,,2026-08-25,2026-08-25,1560.0,PE,CIPLA26AUG1560PE,0.0,0.0,0.0,94.95,94.95,94.95,1463.0,97.83,11050,0,0,0.0,0,F1,425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96684,,CIPLA,,2026-09-29,2026-09-29,1580.0,PE,CIPLA26SEP1580PE,0.0,0.0,0.0,135.05,0.0,135.05,1463.0,124.07,0,0,0,0.0,0,F1,425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,63239,,CIPLA,,2026-09-29,2026-09-29,1550.0,PE,CIPLA26SEP1550PE,0.0,0.0,0.0,120.35,0.0,120.35,1463.0,101.9,0,0,0,0.0,0,F1,425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96672,,CIPLA,,2026-09-29,2026-09-29,1540.0,PE,CIPLA26SEP1540PE,0.0,0.0,0.0,109.05,0.0,109.05,1463.0,94.98,0,0,0,0.0,0,F1,425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96643,,CIPLA,,2026-09-29,2026-09-29,1380.0,PE,CIPLA26SEP1380PE,0.0,0.0,0.0,34.95,0.0,34.95,1463.0,19.88,0,0,0,0.0,0,F1,425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96574,,CIPLA,,2026-09-29,2026-09-29,1320.0,PE,CIPLA26SEP1320PE,0.0,0.0,0.0,19.65,0.0,19.65,1463.0,8.32,0,0,0,0.0,0,F1,425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,83150,,CIPLA,,2026-08-25,2026-08-25,1580.0,PE,CIPLA26AUG1580PE,0.0,0.0,0.0,137.45,137.45,137.45,1463.0,115.98,425,0,0,0.0,0,F1,425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96374,,CIPLA,,2026-08-25,2026-08-25,1390.0,PE,CIPLA26AUG1390PE,3.5,4.45,3.5,3.55,3.55,3.2,1463.0,3.55,95625,17850,62,36734343.75,61,F1,425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82970,,CIPLA,,2026-08-25,2026-08-25,1240.0,PE,CIPLA26AUG1240PE,0.95,0.95,0.35,0.5,0.5,0.45,1463.0,0.01,7225,-425,9,4745103.75,9,F1,425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,65290,,CIPLA,,2026-10-27,2026-10-27,1540.0,CE,CIPLA26OCT1540CE,0.0,0.0,0.0,48.35,0.0,48.35,1463.0,47.73,0,0,0,0.0,0,F1,425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,65276,,CIPLA,,2026-10-27,2026-10-27,1440.0,CE,CIPLA26OCT1440CE,0.0,0.0,0.0,90.5,0.0,90.5,1463.0,93.34,0,0,0,0.0,0,F1,425,,,,,
