TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,83558,,COALINDIA,,2026-08-25,2026-08-25,500.0,PE,COALINDIA26AUG500PE,0.0,0.0,0.0,85.35,85.35,85.35,412.59,86.25,148500,0,0,0.0,0,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,83560,,COALINDIA,,2026-08-25,2026-08-25,510.0,PE,COALINDIA26AUG510PE,0.0,0.0,0.0,95.65,95.65,95.65,412.59,96.23,195750,0,0,0.0,0,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,65795,,COALINDIA,,2026-10-27,2026-10-27,390.0,PE,COALINDIA26OCT390PE,0.0,0.0,0.0,12.4,0.0,12.4,412.59,9.79,0,0,0,0.0,0,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,65953,,COALINDIA,,2026-10-27,2026-10-27,460.0,PE,COALINDIA26OCT460PE,0.0,0.0,0.0,52.25,0.0,52.25,412.59,48.9,0,0,0,0.0,0,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,68463,,COALINDIA,,2026-09-29,2026-09-29,,,COALINDIA26SEPFUT,410.0,412.45,408.45,410.2,410.55,410.35,412.59,410.2,3970350,334800,455,252116820.0,431,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,48797,,COALINDIA,,2026-10-27,2026-10-27,,,COALINDIA26OCTFUT,411.25,414.0,411.25,412.35,412.35,412.0,412.59,412.35,141750,6750,20,11136285.0,20,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96813,,COALINDIA,,2026-08-25,2026-08-25,415.0,CE,COALINDIA26AUG415CE,5.6,6.25,4.35,5.0,5.1,5.5,412.59,5.0,2382750,222750,2853,1618763602.5,2150,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,83534,,COALINDIA,,2026-08-25,2026-08-25,420.0,PE,COALINDIA26AUG420PE,11.0,11.6,8.7,10.35,10.05,10.25,412.59,10.35,2099250,-43200,482,279879367.5,467,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96912,,COALINDIA,,2026-09-29,2026-09-29,360.0,PE,COALINDIA26SEP360PE,0.0,0.0,0.0,1.5,1.5,1.5,412.59,1.53,4050,0,0,0.0,0,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96815,,COALINDIA,,2026-08-25,2026-08-25,425.0,CE,COALINDIA26AUG425CE,2.35,2.75,1.75,2.15,2.2,2.45,412.59,2.15,2182950,-6750,1176,678211447.5,966,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96817,,COALINDIA,,2026-08-25,2026-08-25,435.0,CE,COALINDIA26AUG435CE,1.0,1.2,0.75,0.95,0.95,1.05,412.59,0.95,1098900,4050,602,354315060.0,317,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,65788,,COALINDIA,,2026-10-27,2026-10-27,360.0,CE,COALINDIA26OCT360CE,0.0,0.0,0.0,60.25,0.0,60.25,412.59,60.71,0,0,0,0.0,0,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96942,,COALINDIA,,2026-09-29,2026-09-29,470.0,PE,COALINDIA26SEP470PE,0.0,0.0,0.0,40.4,0.0,40.4,412.59,56.09,0,0,0,0.0,0,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,83526,,COALINDIA,,2026-08-25,2026-08-25,400.0,PE,COALINDIA26AUG400PE,2.0,2.15,1.35,1.7,1.65,2.0,412.59,1.7,1842750,120150,1017,551527650.0,667,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96810,,COALINDIA,,2026-08-25,2026-08-25,395.0,PE,COALINDIA26AUG395PE,1.15,1.25,0.8,1.0,1.0,1.2,412.59,2.63,981450,-41850,464,248040765.0,335,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96821,,COALINDIA,,2026-08-25,2026-08-25,455.0,CE,COALINDIA26AUG455CE,0.35,0.4,0.35,0.35,0.35,0.3,412.59,0.35,187650,9450,10,6147292.5,9,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,83543,,COALINDIA,,2026-08-25,2026-08-25,460.0,CE,COALINDIA26AUG460CE,0.25,0.25,0.15,0.25,0.25,0.25,412.59,0.27,1556550,-24300,449,278951850.0,93,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96970,,COALINDIA,,2026-09-29,2026-09-29,490.0,CE,COALINDIA26SEP490CE,0.0,0.0,0.0,11.05,0.0,11.05,412.59,1.21,0,0,0,0.0,0,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,65621,,COALINDIA,,2026-09-29,2026-09-29,425.0,PE,COALINDIA26SEP425PE,19.5,19.5,19.5,19.5,19.5,19.5,412.59,22.1,4050,1350,1,600075.0,1,F1,1350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,65615,,COALINDIA,,2026-09-29,2026-09-29,395.0,PE,COALINDIA26SEP395PE,0.0,0.0,0.0,11.3,0.0,11.3,412.59,8.32,0,0,0,0.0,0,F1,1350,,,,,
