TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,89911,,DRREDDY,,2026-08-25,2026-08-25,1080.0,PE,DRREDDY26AUG1080PE,2.2,2.4,0.7,0.8,0.95,2.35,1205.0,0.8,61875,-3125,181,122311812.5,135,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101842,,DRREDDY,,2026-09-29,2026-09-29,1100.0,CE,DRREDDY26SEP1100CE,105.0,111.0,105.0,111.0,111.0,80.0,1205.0,125.42,32500,-1250,2,1510000.0,2,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,89908,,DRREDDY,,2026-08-25,2026-08-25,1060.0,CE,DRREDDY26AUG1060CE,0.0,0.0,0.0,107.6,107.6,107.6,1205.0,147.66,165625,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,89987,,DRREDDY,,2026-08-25,2026-08-25,1220.0,CE,DRREDDY26AUG1220CE,4.15,17.5,3.4,15.95,15.4,4.05,1205.0,15.95,479375,137500,4313,3324823718.75,3540,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101637,,DRREDDY,,2026-08-25,2026-08-25,1350.0,CE,DRREDDY26AUG1350CE,0.5,1.35,0.5,1.15,1.2,0.5,1205.0,1.15,201250,48125,264,222909906.25,192,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90023,,DRREDDY,,2026-08-25,2026-08-25,1380.0,CE,DRREDDY26AUG1380CE,0.0,0.0,0.0,0.5,0.5,0.5,1205.0,0.2,2500,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101685,,DRREDDY,,2026-08-25,2026-08-25,1410.0,CE,DRREDDY26AUG1410CE,0.4,0.6,0.15,0.6,0.6,0.35,1205.0,0.06,8125,0,20,17628562.5,20,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90036,,DRREDDY,,2026-08-25,2026-08-25,1500.0,CE,DRREDDY26AUG1500CE,0.5,0.5,0.25,0.25,0.25,0.25,1205.0,0.0,20625,0,12,11252500.0,12,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70401,,DRREDDY,,2026-09-29,2026-09-29,1110.0,CE,DRREDDY26SEP1110CE,0.0,0.0,0.0,73.25,0.0,73.25,1205.0,117.43,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70919,,DRREDDY,,2026-10-27,2026-10-27,1300.0,CE,DRREDDY26OCT1300CE,0.0,0.0,0.0,18.95,0.0,18.95,1205.0,33.36,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90008,,DRREDDY,,2026-08-25,2026-08-25,1320.0,PE,DRREDDY26AUG1320PE,0.0,0.0,0.0,121.4,121.4,121.4,1205.0,113.59,625,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101817,,DRREDDY,,2026-09-29,2026-09-29,1000.0,PE,DRREDDY26SEP1000PE,0.0,0.0,0.0,0.6,0.0,0.6,1205.0,1.35,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70207,,DRREDDY,,2026-09-29,2026-09-29,1050.0,PE,DRREDDY26SEP1050PE,0.0,0.0,0.0,16.75,0.0,16.75,1205.0,4.24,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101908,,DRREDDY,,2026-09-29,2026-09-29,1220.0,PE,DRREDDY26SEP1220PE,49.0,49.0,49.0,49.0,49.0,72.0,1205.0,49.0,625,0,1,793125.0,1,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101929,,DRREDDY,,2026-09-29,2026-09-29,1360.0,PE,DRREDDY26SEP1360PE,0.0,0.0,0.0,65.9,0.0,65.9,1205.0,152.62,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70906,,DRREDDY,,2026-10-27,2026-10-27,1160.0,PE,DRREDDY26OCT1160PE,0.0,0.0,0.0,67.95,0.0,67.95,1205.0,35.44,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70920,,DRREDDY,,2026-10-27,2026-10-27,1300.0,PE,DRREDDY26OCT1300PE,0.0,0.0,0.0,163.8,0.0,163.8,1205.0,110.46,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70407,,DRREDDY,,2026-09-29,2026-09-29,1170.0,CE,DRREDDY26SEP1170CE,41.0,61.0,41.0,61.0,61.0,36.8,1205.0,75.05,3750,-3125,7,5348125.0,6,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70421,,DRREDDY,,2026-09-29,2026-09-29,1270.0,CE,DRREDDY26SEP1270CE,0.0,0.0,0.0,15.3,0.0,15.3,1205.0,28.7,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101913,,DRREDDY,,2026-09-29,2026-09-29,1280.0,CE,DRREDDY26SEP1280CE,0.0,0.0,0.0,130.75,0.0,130.75,1205.0,25.67,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70908,,DRREDDY,,2026-10-27,2026-10-27,1180.0,PE,DRREDDY26OCT1180PE,0.0,0.0,0.0,79.15,0.0,79.15,1205.0,43.23,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70904,,DRREDDY,,2026-10-27,2026-10-27,1140.0,PE,DRREDDY26OCT1140PE,0.0,0.0,0.0,57.7,0.0,57.7,1205.0,28.63,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70913,,DRREDDY,,2026-10-27,2026-10-27,1240.0,CE,DRREDDY26OCT1240CE,0.0,0.0,0.0,32.3,0.0,32.3,1205.0,54.65,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70780,,DRREDDY,,2026-10-27,2026-10-27,1020.0,CE,DRREDDY26OCT1020CE,0.0,0.0,0.0,147.2,0.0,147.2,1205.0,204.54,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101696,,DRREDDY,,2026-08-25,2026-08-25,1450.0,PE,DRREDDY26AUG1450PE,0.0,0.0,0.0,207.5,207.4,207.5,1205.0,241.64,3750,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70451,,DRREDDY,,2026-09-29,2026-09-29,1290.0,PE,DRREDDY26SEP1290PE,0.0,0.0,0.0,153.0,0.0,153.0,1205.0,96.57,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101869,,DRREDDY,,2026-09-29,2026-09-29,1140.0,PE,DRREDDY26SEP1140PE,16.0,16.0,12.15,12.55,12.6,24.9,1205.0,12.55,17500,17500,30,21630593.75,24,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70921,,DRREDDY,,2026-10-27,2026-10-27,1320.0,CE,DRREDDY26OCT1320CE,0.0,0.0,0.0,15.7,0.0,15.7,1205.0,27.94,0,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90022,,DRREDDY,,2026-08-25,2026-08-25,1360.0,PE,DRREDDY26AUG1360PE,176.0,177.0,153.0,153.0,153.0,197.0,1205.0,153.0,16875,1250,4,3816875.0,4,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90010,,DRREDDY,,2026-08-25,2026-08-25,1340.0,PE,DRREDDY26AUG1340PE,0.0,0.0,0.0,183.95,183.95,183.95,1205.0,132.75,1875,0,0,0.0,0,F1,625,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,70911,,DRREDDY,,2026-10-27,2026-10-27,1220.0,CE,DRREDDY26OCT1220CE,0.0,0.0,0.0,38.2,0.0,38.2,1205.0,63.6,0,0,0,0.0,0,F1,625,,,,,
