TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,90936,,EICHERMOT,,2026-08-25,2026-08-25,8700.0,CE,EICHERMOT26AUG8700CE,17.0,17.0,7.95,10.05,10.05,135.45,7999.99,10.05,5800,5800,166,144611010.0,160,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90739,,EICHERMOT,,2026-08-25,2026-08-25,6600.0,CE,EICHERMOT26AUG6600CE,0.0,0.0,0.0,1025.8,0.0,1025.8,7999.99,1415.45,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71382,,EICHERMOT,,2026-10-27,2026-10-27,8000.0,PE,EICHERMOT26OCT8000PE,0.0,0.0,0.0,535.05,0.0,535.05,7999.99,418.09,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71121,,EICHERMOT,,2026-09-29,2026-09-29,8700.0,PE,EICHERMOT26SEP8700PE,0.0,0.0,0.0,936.05,0.0,936.05,7999.99,781.49,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,102321,,EICHERMOT,,2026-09-29,2026-09-29,8400.0,PE,EICHERMOT26SEP8400PE,0.0,0.0,0.0,1319.2,0.0,1319.2,7999.99,571.04,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90750,,EICHERMOT,,2026-08-25,2026-08-25,7000.0,PE,EICHERMOT26AUG7000PE,2.55,3.7,1.65,3.1,3.0,2.6,7999.99,3.1,265200,-18100,626,438366885.0,474,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71370,,EICHERMOT,,2026-10-27,2026-10-27,7200.0,CE,EICHERMOT26OCT7200CE,0.0,0.0,0.0,947.0,0.0,947.0,7999.99,1033.57,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,102322,,EICHERMOT,,2026-09-29,2026-09-29,8600.0,CE,EICHERMOT26SEP8600CE,0.0,0.0,0.0,104.25,104.25,104.25,7999.99,183.27,200,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,48836,,EICHERMOT,,2026-10-27,2026-10-27,,,EICHERMOT26OCTFUT,8115.0,8209.5,8095.5,8115.5,8126.0,8101.0,7999.99,8115.5,27800,900,48,39145900.0,42,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90765,,EICHERMOT,,2026-08-25,2026-08-25,7800.0,CE,EICHERMOT26AUG7800CE,281.5,366.2,270.0,283.25,279.4,268.1,7999.99,283.25,159400,-900,208,168916790.0,187,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71417,,EICHERMOT,,2026-10-27,2026-10-27,8200.0,PE,EICHERMOT26OCT8200PE,0.0,0.0,0.0,648.5,0.0,648.5,7999.99,521.75,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,102315,,EICHERMOT,,2026-09-29,2026-09-29,7800.0,PE,EICHERMOT26SEP7800PE,0.0,0.0,0.0,209.5,209.5,209.5,7999.99,253.23,800,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,102301,,EICHERMOT,,2026-09-29,2026-09-29,6600.0,PE,EICHERMOT26SEP6600PE,0.0,0.0,0.0,222.95,0.0,222.95,7999.99,15.94,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90885,,EICHERMOT,,2026-08-25,2026-08-25,8000.0,PE,EICHERMOT26AUG8000PE,120.0,138.55,94.0,131.35,125.05,134.0,7999.99,131.35,136700,37000,5884,4774479080.0,4515,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90748,,EICHERMOT,,2026-08-25,2026-08-25,6900.0,PE,EICHERMOT26AUG6900PE,0.9,2.75,0.9,2.65,2.7,1.25,7999.99,2.65,45300,-100,96,66259805.0,75,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90762,,EICHERMOT,,2026-08-25,2026-08-25,7600.0,PE,EICHERMOT26AUG7600PE,20.05,26.35,16.1,24.65,24.05,25.65,7999.99,24.65,70800,-1400,749,570779575.0,648,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90758,,EICHERMOT,,2026-08-25,2026-08-25,7400.0,PE,EICHERMOT26AUG7400PE,7.5,10.45,6.7,9.8,9.0,10.45,7999.99,9.8,102000,-4200,367,271902725.0,313,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90752,,EICHERMOT,,2026-08-25,2026-08-25,7100.0,PE,EICHERMOT26AUG7100PE,1.9,3.95,1.85,3.15,2.85,2.8,7999.99,3.15,129100,300,189,134235825.0,155,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90947,,EICHERMOT,,2026-08-25,2026-08-25,9200.0,PE,EICHERMOT26AUG9200PE,0.0,0.0,0.0,1761.0,0.0,1761.0,7999.99,1181.58,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71373,,EICHERMOT,,2026-10-27,2026-10-27,7400.0,PE,EICHERMOT26OCT7400PE,0.0,0.0,0.0,267.3,0.0,267.3,7999.99,186.52,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71377,,EICHERMOT,,2026-10-27,2026-10-27,7800.0,PE,EICHERMOT26OCT7800PE,0.0,0.0,0.0,433.55,0.0,433.55,7999.99,327.59,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71423,,EICHERMOT,,2026-10-27,2026-10-27,8800.0,PE,EICHERMOT26OCT8800PE,0.0,0.0,0.0,1053.6,0.0,1053.6,7999.99,906.04,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90761,,EICHERMOT,,2026-08-25,2026-08-25,7600.0,CE,EICHERMOT26AUG7600CE,450.0,450.0,442.1,442.15,442.1,429.85,7999.99,442.15,42100,-100,4,3218430.0,4,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71367,,EICHERMOT,,2026-10-27,2026-10-27,6800.0,PE,EICHERMOT26OCT6800PE,0.0,0.0,0.0,107.0,0.0,107.0,7999.99,63.06,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71088,,EICHERMOT,,2026-09-29,2026-09-29,7100.0,PE,EICHERMOT26SEP7100PE,0.0,0.0,0.0,121.45,0.0,121.45,7999.99,63.68,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71113,,EICHERMOT,,2026-09-29,2026-09-29,8300.0,PE,EICHERMOT26SEP8300PE,0.0,0.0,0.0,400.0,400.0,400.0,7999.99,508.07,200,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90735,,EICHERMOT,,2026-08-25,2026-08-25,6400.0,CE,EICHERMOT26AUG6400CE,0.0,0.0,0.0,1633.6,1633.6,1633.6,7999.99,1614.87,300,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90743,,EICHERMOT,,2026-08-25,2026-08-25,6800.0,CE,EICHERMOT26AUG6800CE,0.0,0.0,0.0,1180.0,1180.0,1180.0,7999.99,1216.47,100,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90747,,EICHERMOT,,2026-08-25,2026-08-25,6900.0,CE,EICHERMOT26AUG6900CE,0.0,0.0,0.0,911.45,911.45,911.45,7999.99,1117.42,1000,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90757,,EICHERMOT,,2026-08-25,2026-08-25,7400.0,CE,EICHERMOT26AUG7400CE,0.0,0.0,0.0,495.0,495.0,495.0,7999.99,641.12,2400,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90886,,EICHERMOT,,2026-08-25,2026-08-25,8100.0,CE,EICHERMOT26AUG8100CE,103.0,165.0,101.9,107.15,107.35,101.95,7999.99,107.15,403200,218600,20301,16721208970.0,14900,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90939,,EICHERMOT,,2026-08-25,2026-08-25,8800.0,PE,EICHERMOT26AUG8800PE,0.0,0.0,0.0,1056.7,1056.7,1056.7,7999.99,796.47,1000,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,102312,,EICHERMOT,,2026-09-29,2026-09-29,7600.0,CE,EICHERMOT26SEP7600CE,0.0,0.0,0.0,308.85,0.0,308.85,7999.99,646.96,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90888,,EICHERMOT,,2026-08-25,2026-08-25,8200.0,CE,EICHERMOT26AUG8200CE,66.3,118.0,58.45,72.05,73.7,68.35,7999.99,72.05,194900,66700,9863,8180317490.0,7365,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90930,,EICHERMOT,,2026-08-25,2026-08-25,8400.0,CE,EICHERMOT26AUG8400CE,32.5,56.95,27.05,30.75,30.05,30.4,7999.99,30.75,127900,9900,3604,3042384040.0,2833,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90934,,EICHERMOT,,2026-08-25,2026-08-25,8600.0,CE,EICHERMOT26AUG8600CE,15.95,25.5,11.6,13.5,12.8,14.2,7999.99,13.5,102700,800,1468,1265150895.0,1269,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90940,,EICHERMOT,,2026-08-25,2026-08-25,8900.0,CE,EICHERMOT26AUG8900CE,0.0,0.0,0.0,106.3,0.0,106.3,7999.99,11.24,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,102314,,EICHERMOT,,2026-09-29,2026-09-29,7800.0,CE,EICHERMOT26SEP7800CE,0.0,0.0,0.0,335.8,335.8,335.8,7999.99,521.71,200,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90736,,EICHERMOT,,2026-08-25,2026-08-25,6400.0,PE,EICHERMOT26AUG6400PE,1.75,1.75,0.85,1.2,1.2,0.75,7999.99,0.02,1700,-500,51,32646265.0,50,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90933,,EICHERMOT,,2026-08-25,2026-08-25,8500.0,PE,EICHERMOT26AUG8500PE,425.0,478.1,425.0,461.15,461.15,520.0,7999.99,531.03,6800,-300,16,14349840.0,16,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71430,,EICHERMOT,,2026-10-27,2026-10-27,9200.0,CE,EICHERMOT26OCT9200CE,0.0,0.0,0.0,141.85,0.0,141.85,7999.99,140.33,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71416,,EICHERMOT,,2026-10-27,2026-10-27,8200.0,CE,EICHERMOT26OCT8200CE,0.0,0.0,0.0,407.7,0.0,407.7,7999.99,434.61,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71376,,EICHERMOT,,2026-10-27,2026-10-27,7800.0,CE,EICHERMOT26OCT7800CE,0.0,0.0,0.0,586.7,0.0,586.7,7999.99,634.94,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71366,,EICHERMOT,,2026-10-27,2026-10-27,6800.0,CE,EICHERMOT26OCT6800CE,0.0,0.0,0.0,1245.15,0.0,1245.15,7999.99,1356.64,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71087,,EICHERMOT,,2026-09-29,2026-09-29,7100.0,CE,EICHERMOT26SEP7100CE,0.0,0.0,0.0,931.45,0.0,931.45,7999.99,1026.02,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,58181,,EICHERMOT,,2026-08-25,2026-08-25,,,EICHERMOT26AUGFUT,8020.0,8123.0,8004.5,8016.0,8032.5,8009.5,7999.99,8016.0,3637600,-22800,4342,3497949600.0,3699,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71090,,EICHERMOT,,2026-09-29,2026-09-29,7300.0,PE,EICHERMOT26SEP7300PE,0.0,0.0,0.0,173.95,0.0,173.95,7999.99,100.13,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71371,,EICHERMOT,,2026-10-27,2026-10-27,7200.0,PE,EICHERMOT26OCT7200PE,0.0,0.0,0.0,202.85,0.0,202.85,7999.99,134.47,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71362,,EICHERMOT,,2026-10-27,2026-10-27,6400.0,PE,EICHERMOT26OCT6400PE,0.0,0.0,0.0,49.4,0.0,49.4,7999.99,25.04,0,0,0,0.0,0,F1,100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90751,,EICHERMOT,,2026-08-25,2026-08-25,7100.0,CE,EICHERMOT26AUG7100CE,0.0,0.0,0.0,694.95,0.0,694.95,7999.99,921.54,0,0,0,0.0,0,F1,100,,,,,
