TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,91240,,ETERNAL,,2026-08-25,2026-08-25,265.0,CE,ETERNAL26AUG265CE,0.0,0.0,0.0,50.4,50.4,50.4,317.99,53.75,48500,0,0,0.0,0,F1,2425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,91229,,ETERNAL,,2026-08-25,2026-08-25,240.0,PE,ETERNAL26AUG240PE,0.1,0.15,0.1,0.15,0.15,0.15,317.99,0.15,235225,-46075,27,15722851.25,19,F1,2425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71579,,ETERNAL,,2026-09-29,2026-09-29,275.0,PE,ETERNAL26SEP275PE,0.0,0.0,0.0,2.0,2.0,2.0,317.99,4.29,2425,0,0,0.0,0,F1,2425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71587,,ETERNAL,,2026-09-29,2026-09-29,305.0,PE,ETERNAL26SEP305PE,0.0,0.0,0.0,9.0,9.0,9.0,317.99,13.04,7275,0,0,0.0,0,F1,2425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,72031,,ETERNAL,,2026-10-27,2026-10-27,260.0,PE,ETERNAL26OCT260PE,0.0,0.0,0.0,2.65,2.65,2.65,317.99,4.23,12125,0,0,0.0,0,F1,2425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,91248,,ETERNAL,,2026-08-25,2026-08-25,285.0,CE,ETERNAL26AUG285CE,30.1,33.95,30.1,32.35,32.9,31.95,317.99,32.35,504400,-9700,11,8467978.75,11,F1,2425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,91270,,ETERNAL,,2026-08-25,2026-08-25,340.0,CE,ETERNAL26AUG340CE,1.0,1.65,0.6,1.35,1.35,0.95,317.99,1.35,3799975,-26675,3169,2620994077.5,1478,F1,2425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71582,,ETERNAL,,2026-09-29,2026-09-29,285.0,CE,ETERNAL26SEP285CE,0.0,0.0,0.0,37.15,0.0,37.15,317.99,42.0,0,0,0,0.0,0,F1,2425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,71588,,ETERNAL,,2026-09-29,2026-09-29,315.0,CE,ETERNAL26SEP315CE,0.0,0.0,0.0,13.0,13.0,13.0,317.99,23.23,14550,0,0,0.0,0,F1,2425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,102566,,ETERNAL,,2026-09-29,2026-09-29,340.0,CE,ETERNAL26SEP340CE,4.9,7.25,4.35,6.55,6.5,5.15,317.99,6.55,465600,26675,39,32669478.75,36,F1,2425,,,,,
