TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,96251,,GRASIM,,2026-08-25,2026-08-25,3200.0,PE,GRASIM26AUG3200PE,27.7,44.5,26.85,40.5,39.1,29.55,3322.19,40.5,425500,500,1352,1094042237.5,1121,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107301,,GRASIM,,2026-08-25,2026-08-25,3660.0,PE,GRASIM26AUG3660PE,0.0,0.0,0.0,536.95,0.0,536.95,3322.19,332.88,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107447,,GRASIM,,2026-09-29,2026-09-29,3240.0,CE,GRASIM26SEP3240CE,0.0,0.0,0.0,230.0,230.0,230.0,3322.19,197.99,5000,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107435,,GRASIM,,2026-09-29,2026-09-29,3160.0,CE,GRASIM26SEP3160CE,0.0,0.0,0.0,163.65,0.0,163.65,3322.19,249.74,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107421,,GRASIM,,2026-09-29,2026-09-29,2880.0,CE,GRASIM26SEP2880CE,0.0,0.0,0.0,327.15,0.0,327.15,3322.19,477.86,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107415,,GRASIM,,2026-09-29,2026-09-29,2760.0,CE,GRASIM26SEP2760CE,0.0,0.0,0.0,417.9,0.0,417.9,3322.19,590.22,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107426,,GRASIM,,2026-09-29,2026-09-29,2960.0,PE,GRASIM26SEP2960PE,0.0,0.0,0.0,87.65,0.0,87.65,3322.19,18.49,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107448,,GRASIM,,2026-09-29,2026-09-29,3240.0,PE,GRASIM26SEP3240PE,0.0,0.0,0.0,220.4,0.0,220.4,3322.19,87.35,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107646,,GRASIM,,2026-09-29,2026-09-29,3560.0,PE,GRASIM26SEP3560PE,0.0,0.0,0.0,450.85,0.0,450.85,3322.19,268.6,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107650,,GRASIM,,2026-09-29,2026-09-29,3600.0,PE,GRASIM26SEP3600PE,0.0,0.0,0.0,250.0,250.0,250.0,3322.19,298.66,250,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107654,,GRASIM,,2026-09-29,2026-09-29,3680.0,PE,GRASIM26SEP3680PE,0.0,0.0,0.0,552.6,0.0,552.6,3322.19,362.03,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,77194,,GRASIM,,2026-10-27,2026-10-27,2720.0,PE,GRASIM26OCT2720PE,0.0,0.0,0.0,25.7,0.0,25.7,3322.19,8.27,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,77206,,GRASIM,,2026-10-27,2026-10-27,2880.0,PE,GRASIM26OCT2880PE,0.0,0.0,0.0,57.7,0.0,57.7,3322.19,22.47,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,77212,,GRASIM,,2026-10-27,2026-10-27,3000.0,PE,GRASIM26OCT3000PE,0.0,0.0,0.0,95.0,0.0,95.0,3322.19,42.0,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,77236,,GRASIM,,2026-10-27,2026-10-27,3480.0,PE,GRASIM26OCT3480PE,0.0,0.0,0.0,373.9,0.0,373.9,3322.19,236.0,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96342,,GRASIM,,2026-08-25,2026-08-25,3800.0,CE,GRASIM26AUG3800CE,8.25,9.45,4.35,5.3,5.7,7.9,3322.19,5.3,61750,18000,309,293984137.5,230,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96328,,GRASIM,,2026-08-25,2026-08-25,3680.0,CE,GRASIM26AUG3680CE,17.1,17.15,9.15,9.35,9.35,17.6,3322.19,2.8,34750,6000,106,97842662.5,77,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107276,,GRASIM,,2026-08-25,2026-08-25,3180.0,CE,GRASIM26AUG3180CE,239.95,240.0,183.9,191.85,195.15,240.95,3322.19,191.85,453750,-1750,38,32228300.0,32,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96244,,GRASIM,,2026-08-25,2026-08-25,3080.0,CE,GRASIM26AUG3080CE,0.0,0.0,0.0,271.8,271.8,271.8,3322.19,255.85,10750,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107266,,GRASIM,,2026-08-25,2026-08-25,2980.0,CE,GRASIM26AUG2980CE,0.0,0.0,0.0,216.85,0.0,216.85,3322.19,350.62,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96236,,GRASIM,,2026-08-25,2026-08-25,2920.0,CE,GRASIM26AUG2920CE,0.0,0.0,0.0,215.45,215.45,215.45,3322.19,409.5,250,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107295,,GRASIM,,2026-08-25,2026-08-25,3540.0,PE,GRASIM26AUG3540PE,0.0,0.0,0.0,428.6,0.0,428.6,3322.19,222.7,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96255,,GRASIM,,2026-08-25,2026-08-25,3280.0,PE,GRASIM26AUG3280PE,57.65,74.95,56.0,66.9,68.3,50.5,3322.19,66.9,31000,-5750,104,86930400.0,84,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96247,,GRASIM,,2026-08-25,2026-08-25,3120.0,PE,GRASIM26AUG3120PE,15.7,24.7,15.7,22.25,22.65,15.95,3322.19,22.25,37250,-7500,164,128740325.0,127,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,77183,,GRASIM,,2026-10-27,2026-10-27,2640.0,CE,GRASIM26OCT2640CE,0.0,0.0,0.0,531.85,0.0,531.85,3322.19,723.15,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,76847,,GRASIM,,2026-09-29,2026-09-29,3420.0,CE,GRASIM26SEP3420CE,0.0,0.0,0.0,49.0,0.0,49.0,3322.19,107.97,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96238,,GRASIM,,2026-08-25,2026-08-25,2960.0,CE,GRASIM26AUG2960CE,0.0,0.0,0.0,420.0,420.0,420.0,3322.19,370.14,0,0,0,0.0,0,F1,250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96254,,GRASIM,,2026-08-25,2026-08-25,3280.0,CE,GRASIM26AUG3280CE,147.65,147.65,112.7,121.75,129.0,164.8,3322.19,121.75,39500,-15000,170,144965037.5,152,F1,250,,,,,
