TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,99867,,HDFCBANK,,2026-08-25,2026-08-25,860.0,CE,HDFCBANK26AUG860CE,0.4,0.4,0.3,0.35,0.35,0.45,729.0,0.35,976300,-8450,264,147635670.0,92,F1,650,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,99863,,HDFCBANK,,2026-08-25,2026-08-25,840.0,CE,HDFCBANK26AUG840CE,0.55,0.55,0.45,0.5,0.5,0.65,729.0,0.5,3188250,-224250,1443,788363485.0,410,F1,650,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,99859,,HDFCBANK,,2026-08-25,2026-08-25,820.0,CE,HDFCBANK26AUG820CE,1.05,1.05,0.75,0.85,0.8,1.1,729.0,0.85,4769050,-63050,2643,1410175682.5,742,F1,650,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,99855,,HDFCBANK,,2026-08-25,2026-08-25,800.0,CE,HDFCBANK26AUG800CE,1.85,1.85,1.4,1.5,1.45,1.85,729.0,1.5,19696300,-1021150,15625,8140222187.5,3258,F1,650,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,99799,,HDFCBANK,,2026-08-25,2026-08-25,690.0,CE,HDFCBANK26AUG690CE,45.0,45.7,42.5,45.7,45.7,47.6,729.0,45.7,267150,-7800,55,26250575.0,54,F1,650,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,99791,,HDFCBANK,,2026-08-25,2026-08-25,670.0,CE,HDFCBANK26AUG670CE,64.0,64.95,60.5,64.6,63.9,66.5,729.0,64.6,59150,1950,38,18099380.0,31,F1,650,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,99787,,HDFCBANK,,2026-08-25,2026-08-25,650.0,CE,HDFCBANK26AUG650CE,0.0,0.0,0.0,88.3,88.3,88.3,729.0,80.64,650,0,0,0.0,0,F1,650,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,99792,,HDFCBANK,,2026-08-25,2026-08-25,670.0,PE,HDFCBANK26AUG670PE,1.4,1.5,1.0,1.1,1.1,1.2,729.0,1.1,1673750,55900,439,191516877.5,305,F1,650,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,99886,,HDFCBANK,,2026-08-25,2026-08-25,910.0,PE,HDFCBANK26AUG910PE,0.0,0.0,0.0,155.0,155.0,155.0,729.0,178.89,12350,0,0,0.0,0,F1,650,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,78298,,HDFCBANK,,2026-09-29,2026-09-29,690.0,PE,HDFCBANK26SEP690PE,8.6,8.95,7.5,8.15,8.2,7.6,729.0,8.15,65650,2600,81,36763382.5,62,F1,650,,,,,
