TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,109192,,HDFCLIFE,,2026-08-25,2026-08-25,475.0,CE,HDFCLIFE26AUG475CE,0.0,0.0,0.0,106.05,0.0,106.05,536.0,62.22,0,0,0,0.0,0,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109271,,HDFCLIFE,,2026-08-25,2026-08-25,595.0,PE,HDFCLIFE26AUG595PE,0.0,0.0,0.0,32.6,0.0,32.6,536.0,57.98,0,0,0,0.0,0,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,100550,,HDFCLIFE,,2026-08-25,2026-08-25,550.0,PE,HDFCLIFE26AUG550PE,16.5,19.2,15.05,16.25,16.3,14.1,536.0,16.25,1327700,12100,135,84161660.0,126,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,100536,,HDFCLIFE,,2026-08-25,2026-08-25,510.0,PE,HDFCLIFE26AUG510PE,1.55,1.9,1.25,1.4,1.45,1.25,536.0,1.4,629200,40700,361,203146735.0,193,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,100671,,HDFCLIFE,,2026-08-25,2026-08-25,610.0,CE,HDFCLIFE26AUG610CE,0.4,0.4,0.35,0.4,0.4,0.45,536.0,0.4,1027400,-1100,8,5371190.0,7,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,100674,,HDFCLIFE,,2026-08-25,2026-08-25,620.0,CE,HDFCLIFE26AUG620CE,0.3,0.3,0.25,0.25,0.25,0.35,536.0,0.04,652300,0,8,5458475.0,8,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109294,,HDFCLIFE,,2026-08-25,2026-08-25,625.0,CE,HDFCLIFE26AUG625CE,0.1,0.25,0.1,0.25,0.25,0.45,536.0,0.03,154000,-1100,2,1375385.0,2,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109299,,HDFCLIFE,,2026-08-25,2026-08-25,635.0,CE,HDFCLIFE26AUG635CE,0.0,0.0,0.0,0.35,0.35,0.35,536.0,0.01,9900,0,0,0.0,0,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109620,,HDFCLIFE,,2026-09-29,2026-09-29,630.0,CE,HDFCLIFE26SEP630CE,1.4,1.4,1.4,1.4,1.4,1.7,536.0,1.73,11000,0,1,694540.0,1,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,78700,,HDFCLIFE,,2026-10-27,2026-10-27,570.0,CE,HDFCLIFE26OCT570CE,0.0,0.0,0.0,29.8,0.0,29.8,536.0,16.77,0,0,0,0.0,0,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,100533,,HDFCLIFE,,2026-08-25,2026-08-25,500.0,CE,HDFCLIFE26AUG500CE,38.9,40.3,36.0,39.7,39.7,43.2,536.0,39.7,193600,5500,17,10055045.0,16,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,100537,,HDFCLIFE,,2026-08-25,2026-08-25,520.0,CE,HDFCLIFE26AUG520CE,23.2,23.2,19.0,21.7,21.7,25.2,536.0,21.7,233200,119900,236,140620865.0,180,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,78600,,HDFCLIFE,,2026-09-29,2026-09-29,555.0,PE,HDFCLIFE26SEP555PE,0.0,0.0,0.0,21.15,0.0,21.15,536.0,29.82,0,0,0,0.0,0,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,78606,,HDFCLIFE,,2026-09-29,2026-09-29,585.0,PE,HDFCLIFE26SEP585PE,0.0,0.0,0.0,37.6,0.0,37.6,536.0,51.02,0,0,0,0.0,0,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,78610,,HDFCLIFE,,2026-09-29,2026-09-29,605.0,PE,HDFCLIFE26SEP605PE,0.0,0.0,0.0,51.35,0.0,51.35,536.0,67.63,0,0,0,0.0,0,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109612,,HDFCLIFE,,2026-09-29,2026-09-29,590.0,CE,HDFCLIFE26SEP590CE,0.0,0.0,0.0,29.45,0.0,29.45,536.0,6.2,0,0,0,0.0,0,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,78585,,HDFCLIFE,,2026-09-29,2026-09-29,485.0,CE,HDFCLIFE26SEP485CE,0.0,0.0,0.0,81.5,0.0,81.5,536.0,59.04,0,0,0,0.0,0,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,78681,,HDFCLIFE,,2026-10-27,2026-10-27,520.0,CE,HDFCLIFE26OCT520CE,0.0,0.0,0.0,58.65,0.0,58.65,536.0,39.84,0,0,0,0.0,0,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109588,,HDFCLIFE,,2026-09-29,2026-09-29,490.0,PE,HDFCLIFE26SEP490PE,0.0,0.0,0.0,3.0,3.0,3.0,536.0,4.6,16500,0,0,0.0,0,F1,1100,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109586,,HDFCLIFE,,2026-09-29,2026-09-29,480.0,PE,HDFCLIFE26SEP480PE,0.0,0.0,0.0,2.45,2.45,2.45,536.0,3.07,36300,0,0,0.0,0,F1,1100,,,,,
