TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,78998,,HEROMOTOCO,,2026-10-27,2026-10-27,5200.0,PE,HEROMOTOCO26OCT5200PE,0.0,0.0,0.0,307.15,0.0,307.15,5865.4,79.75,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109782,,HEROMOTOCO,,2026-09-29,2026-09-29,5800.0,PE,HEROMOTOCO26SEP5800PE,175.0,187.0,148.0,187.0,187.0,163.0,5865.4,218.18,4500,3000,35,31311885.0,33,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101296,,HEROMOTOCO,,2026-08-25,2026-08-25,6100.0,CE,HEROMOTOCO26AUG6100CE,51.1,69.65,35.0,36.9,37.55,48.9,5865.4,36.9,130200,12150,3532,3259162522.5,3063,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101298,,HEROMOTOCO,,2026-08-25,2026-08-25,6200.0,CE,HEROMOTOCO26AUG6200CE,29.8,44.55,22.1,23.85,24.5,31.75,5865.4,23.85,320850,16500,4511,4217024362.5,3841,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,78841,,HEROMOTOCO,,2026-09-29,2026-09-29,5300.0,PE,HEROMOTOCO26SEP5300PE,36.0,45.9,36.0,43.4,43.0,39.45,5865.4,43.4,10950,6000,50,40046227.5,42,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101287,,HEROMOTOCO,,2026-08-25,2026-08-25,5600.0,PE,HEROMOTOCO26AUG5600PE,39.95,48.95,28.0,42.1,42.0,37.75,5865.4,42.1,258450,-38550,3767,3184972620.0,3011,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101197,,HEROMOTOCO,,2026-08-25,2026-08-25,4600.0,PE,HEROMOTOCO26AUG4600PE,1.7,1.7,1.1,1.2,1.15,1.7,5865.4,1.2,68550,-750,31,21395752.5,28,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,78999,,HEROMOTOCO,,2026-10-27,2026-10-27,5400.0,CE,HEROMOTOCO26OCT5400CE,0.0,0.0,0.0,253.5,0.0,253.5,5865.4,666.96,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101198,,HEROMOTOCO,,2026-08-25,2026-08-25,4700.0,CE,HEROMOTOCO26AUG4700CE,0.0,0.0,0.0,1010.0,1010.0,1010.0,5865.4,1176.33,13800,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101174,,HEROMOTOCO,,2026-08-25,2026-08-25,4000.0,CE,HEROMOTOCO26AUG4000CE,0.0,0.0,0.0,1529.05,1529.05,1529.05,5865.4,1874.69,750,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,78836,,HEROMOTOCO,,2026-09-29,2026-09-29,4900.0,CE,HEROMOTOCO26SEP4900CE,0.0,0.0,0.0,442.25,0.0,442.25,5865.4,1022.95,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101315,,HEROMOTOCO,,2026-08-25,2026-08-25,6600.0,CE,HEROMOTOCO26AUG6600CE,7.45,8.65,5.5,6.0,6.0,7.0,5865.4,6.0,64650,24600,814,806682067.5,669,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101288,,HEROMOTOCO,,2026-08-25,2026-08-25,5700.0,CE,HEROMOTOCO26AUG5700CE,240.05,288.0,188.5,193.75,197.6,238.55,5865.4,193.75,192300,-2100,955,849875962.5,824,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101273,,HEROMOTOCO,,2026-08-25,2026-08-25,5300.0,CE,HEROMOTOCO26AUG5300CE,578.25,650.0,532.0,532.0,532.0,576.0,5865.4,584.99,71700,-5550,67,59244082.5,65,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101208,,HEROMOTOCO,,2026-08-25,2026-08-25,5100.0,CE,HEROMOTOCO26AUG5100CE,830.0,837.7,740.0,740.0,740.0,791.0,5865.4,778.66,76200,-450,15,13304407.5,15,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101200,,HEROMOTOCO,,2026-08-25,2026-08-25,4800.0,CE,HEROMOTOCO26AUG4800CE,0.0,0.0,0.0,959.0,959.0,959.0,5865.4,1076.6,3900,0,0,0.0,0,F1,150,,,,,
