TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,101519,,HINDALCO,,2026-08-25,2026-08-25,1060.0,CE,HINDALCO26AUG1060CE,21.8,26.8,17.7,18.55,19.5,19.1,1049.1,18.55,2713200,-504000,11531,8732657815.0,8799,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110107,,HINDALCO,,2026-09-29,2026-09-29,1080.0,CE,HINDALCO26SEP1080CE,35.0,35.1,31.0,31.55,31.55,34.0,1049.1,31.55,46200,4900,38,29619555.0,24,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110110,,HINDALCO,,2026-09-29,2026-09-29,1120.0,PE,HINDALCO26SEP1120PE,0.0,0.0,0.0,79.2,79.2,79.2,1049.1,91.33,7700,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79066,,HINDALCO,,2026-09-29,2026-09-29,1100.0,PE,HINDALCO26SEP1100PE,58.0,62.0,52.8,62.0,62.0,62.0,1049.1,78.1,10500,5600,11,8902985.0,11,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110113,,HINDALCO,,2026-09-29,2026-09-29,1200.0,CE,HINDALCO26SEP1200CE,8.5,8.8,6.6,6.8,6.8,6.9,1049.1,6.8,72100,2100,48,40567065.0,34,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79163,,HINDALCO,,2026-10-27,2026-10-27,1040.0,CE,HINDALCO26OCT1040CE,0.0,0.0,0.0,33.6,0.0,33.6,1049.1,79.25,0,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101516,,HINDALCO,,2026-08-25,2026-08-25,1020.0,PE,HINDALCO26AUG1020PE,7.85,8.65,5.7,8.3,8.2,9.1,1049.1,8.3,931000,-77000,2948,2119845490.0,2183,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101530,,HINDALCO,,2026-08-25,2026-08-25,1120.0,PE,HINDALCO26AUG1120PE,61.5,68.0,57.25,68.0,68.0,71.45,1049.1,68.0,83300,0,10,8279950.0,10,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110092,,HINDALCO,,2026-09-29,2026-09-29,920.0,PE,HINDALCO26SEP920PE,4.2,4.2,3.8,3.8,3.8,4.2,1049.1,3.8,9800,0,2,1293600.0,2,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79068,,HINDALCO,,2026-09-29,2026-09-29,1140.0,PE,HINDALCO26SEP1140PE,0.0,0.0,0.0,199.05,0.0,199.05,1049.1,105.53,0,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79150,,HINDALCO,,2026-10-27,2026-10-27,800.0,PE,HINDALCO26OCT800PE,0.0,0.0,0.0,13.15,0.0,13.15,1049.1,2.32,0,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79160,,HINDALCO,,2026-10-27,2026-10-27,960.0,PE,HINDALCO26OCT960PE,0.0,0.0,0.0,70.8,0.0,70.8,1049.1,25.73,0,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101508,,HINDALCO,,2026-08-25,2026-08-25,940.0,PE,HINDALCO26AUG940PE,1.4,1.7,1.15,1.65,1.7,1.7,1049.1,1.65,973700,-73500,393,258963425.0,236,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,58225,,HINDALCO,,2026-08-25,2026-08-25,,,HINDALCO26AUGFUT,1053.85,1070.0,1052.9,1055.7,1056.9,1053.85,1049.1,1055.7,47672800,-1188600,7301,5420136330.0,5911,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101495,,HINDALCO,,2026-08-25,2026-08-25,880.0,CE,HINDALCO26AUG880CE,0.0,0.0,0.0,173.25,173.25,173.25,1049.1,171.25,58100,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101517,,HINDALCO,,2026-08-25,2026-08-25,1040.0,CE,HINDALCO26AUG1040CE,30.05,39.5,28.1,29.35,30.35,29.1,1049.1,29.35,1602300,-641900,4504,3382857520.0,3248,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101527,,HINDALCO,,2026-08-25,2026-08-25,1120.0,CE,HINDALCO26AUG1120CE,5.25,6.9,4.15,4.35,4.5,5.0,1049.1,4.35,1197700,270200,3716,2926980315.0,2438,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101531,,HINDALCO,,2026-08-25,2026-08-25,1140.0,CE,HINDALCO26AUG1140CE,3.5,4.4,2.75,2.85,3.0,3.35,1049.1,2.85,2016000,-102900,2963,2371666395.0,1790,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101535,,HINDALCO,,2026-08-25,2026-08-25,1160.0,CE,HINDALCO26AUG1160CE,2.05,2.9,1.7,1.85,1.95,2.25,1049.1,1.85,798700,-104300,1727,1405136600.0,939,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79151,,HINDALCO,,2026-10-27,2026-10-27,840.0,CE,HINDALCO26OCT840CE,0.0,0.0,0.0,131.15,0.0,131.15,1049.1,225.52,0,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79174,,HINDALCO,,2026-10-27,2026-10-27,1200.0,CE,HINDALCO26OCT1200CE,0.0,0.0,0.0,8.1,0.0,8.1,1049.1,23.85,0,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101504,,HINDALCO,,2026-08-25,2026-08-25,920.0,PE,HINDALCO26AUG920PE,1.3,1.3,0.85,1.15,1.1,1.3,1049.1,1.15,366100,-21700,320,206299660.0,283,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101520,,HINDALCO,,2026-08-25,2026-08-25,1060.0,PE,HINDALCO26AUG1060PE,26.5,27.0,17.0,23.25,22.75,25.3,1049.1,23.25,966000,-42700,3132,2369769150.0,2352,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101522,,HINDALCO,,2026-08-25,2026-08-25,1080.0,PE,HINDALCO26AUG1080PE,32.55,37.2,27.35,35.5,34.85,38.05,1049.1,35.5,310800,30800,618,480996460.0,581,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110088,,HINDALCO,,2026-09-29,2026-09-29,840.0,PE,HINDALCO26SEP840PE,0.0,0.0,0.0,19.3,0.0,19.3,1049.1,1.77,0,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110104,,HINDALCO,,2026-09-29,2026-09-29,1000.0,PE,HINDALCO26SEP1000PE,14.45,15.55,12.5,15.2,14.8,16.4,1049.1,15.2,82600,3500,33,23427740.0,32,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,48867,,HINDALCO,,2026-10-27,2026-10-27,,,HINDALCO26OCTFUT,1075.0,1082.65,1068.9,1069.1,1069.1,1066.2,1049.1,1069.1,119000,3500,51,38381805.0,50,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101493,,HINDALCO,,2026-08-25,2026-08-25,860.0,CE,HINDALCO26AUG860CE,0.0,0.0,0.0,155.55,155.55,155.55,1049.1,191.13,46200,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,101513,,HINDALCO,,2026-08-25,2026-08-25,1000.0,CE,HINDALCO26AUG1000CE,62.6,73.0,59.0,60.2,61.5,58.8,1049.1,60.2,1215900,-68600,658,490205450.0,531,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110103,,HINDALCO,,2026-09-29,2026-09-29,1000.0,CE,HINDALCO26SEP1000CE,83.0,85.0,80.0,80.0,80.0,76.8,1049.1,86.43,33600,1400,10,7576205.0,8,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79057,,HINDALCO,,2026-09-29,2026-09-29,1060.0,CE,HINDALCO26SEP1060CE,43.0,49.0,41.0,41.0,41.0,42.5,1049.1,41.0,23800,4200,39,30150540.0,32,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79149,,HINDALCO,,2026-10-27,2026-10-27,800.0,CE,HINDALCO26OCT800CE,0.0,0.0,0.0,161.55,0.0,161.55,1049.1,262.43,0,0,0,0.0,0,F1,700,,,,,
