TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,110248,,HINDUNILVR,,2026-08-25,2026-08-25,2060.0,CE,HINDUNILVR26AUG2060CE,44.55,45.0,34.5,37.2,37.0,49.9,2064.94,37.2,365700,39600,806,507485415.0,654,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110583,,HINDUNILVR,,2026-09-29,2026-09-29,1880.0,CE,HINDUNILVR26SEP1880CE,0.0,0.0,0.0,283.8,0.0,283.8,2064.94,215.97,0,0,0,0.0,0,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79446,,HINDUNILVR,,2026-09-29,2026-09-29,1900.0,CE,HINDUNILVR26SEP1900CE,197.5,197.5,197.5,197.5,197.5,197.35,2064.94,199.56,5700,300,1,629250.0,1,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110591,,HINDUNILVR,,2026-09-29,2026-09-29,2040.0,CE,HINDUNILVR26SEP2040CE,0.0,0.0,0.0,99.05,99.05,99.05,2064.94,102.89,4800,0,0,0.0,0,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79556,,HINDUNILVR,,2026-10-27,2026-10-27,2200.0,PE,HINDUNILVR26OCT2200PE,0.0,0.0,0.0,196.55,0.0,196.55,2064.94,164.11,0,0,0,0.0,0,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79471,,HINDUNILVR,,2026-09-29,2026-09-29,2340.0,PE,HINDUNILVR26SEP2340PE,0.0,0.0,0.0,305.25,0.0,305.25,2064.94,266.8,0,0,0,0.0,0,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79465,,HINDUNILVR,,2026-09-29,2026-09-29,2220.0,PE,HINDUNILVR26SEP2220PE,0.0,0.0,0.0,132.0,132.0,132.0,2064.94,167.97,600,0,0,0.0,0,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79463,,HINDUNILVR,,2026-09-29,2026-09-29,2180.0,PE,HINDUNILVR26SEP2180PE,0.0,0.0,0.0,173.7,0.0,173.7,2064.94,139.01,0,0,0,0.0,0,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110606,,HINDUNILVR,,2026-09-29,2026-09-29,2160.0,PE,HINDUNILVR26SEP2160PE,95.0,95.0,95.0,95.0,95.0,84.05,2064.94,125.54,2100,300,1,676500.0,1,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,48869,,HINDUNILVR,,2026-10-27,2026-10-27,,,HINDUNILVR26OCTFUT,2107.0,2107.0,2095.0,2098.7,2098.0,2117.0,2064.94,2098.7,134100,14700,74,46626750.0,68,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110229,,HINDUNILVR,,2026-08-25,2026-08-25,1860.0,CE,HINDUNILVR26AUG1860CE,0.0,0.0,0.0,282.1,0.0,282.1,2064.94,210.03,0,0,0,0.0,0,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110242,,HINDUNILVR,,2026-08-25,2026-08-25,1940.0,CE,HINDUNILVR26AUG1940CE,148.25,148.25,133.2,133.2,133.2,192.0,2064.94,134.86,14700,900,12,7485195.0,9,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110258,,HINDUNILVR,,2026-08-25,2026-08-25,2140.0,CE,HINDUNILVR26AUG2140CE,13.05,13.3,9.0,9.4,9.3,14.35,2064.94,9.4,1002600,-28800,1058,682447695.0,761,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110767,,HINDUNILVR,,2026-09-29,2026-09-29,2240.0,CE,HINDUNILVR26SEP2240CE,13.0,13.75,12.6,12.85,13.3,16.75,2064.94,12.85,24000,2700,19,12843240.0,18,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,79541,,HINDUNILVR,,2026-10-27,2026-10-27,1920.0,CE,HINDUNILVR26OCT1920CE,0.0,0.0,0.0,181.35,0.0,181.35,2064.94,205.64,0,0,0,0.0,0,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,102298,,HINDUNILVR,,2026-08-25,2026-08-25,2000.0,PE,HINDUNILVR26AUG2000PE,5.9,7.3,5.4,6.25,6.5,5.65,2064.94,6.25,595200,38100,1043,627825420.0,632,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,102310,,HINDUNILVR,,2026-08-25,2026-08-25,2040.0,PE,HINDUNILVR26AUG2040PE,13.7,16.7,13.0,14.4,14.8,12.4,2064.94,14.4,354600,3300,371,228701025.0,319,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110391,,HINDUNILVR,,2026-08-25,2026-08-25,2300.0,PE,HINDUNILVR26AUG2300PE,225.0,225.0,221.0,221.0,221.0,207.1,2064.94,230.64,229800,-900,12,9085710.0,5,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110406,,HINDUNILVR,,2026-08-25,2026-08-25,2380.0,PE,HINDUNILVR26AUG2380PE,0.0,0.0,0.0,267.0,267.0,267.0,2064.94,309.67,2400,0,0,0.0,0,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110578,,HINDUNILVR,,2026-09-29,2026-09-29,1760.0,PE,HINDUNILVR26SEP1760PE,0.0,0.0,0.0,1.0,1.0,1.0,2064.94,3.2,300,0,0,0.0,0,F1,300,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110582,,HINDUNILVR,,2026-09-29,2026-09-29,1840.0,PE,HINDUNILVR26SEP1840PE,0.0,0.0,0.0,11.6,0.0,11.6,2064.94,9.21,0,0,0,0.0,0,F1,300,,,,,
