TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,80463,,ICICIBANK,,2026-09-29,2026-09-29,1450.0,PE,ICICIBANK26SEP1450PE,45.0,47.25,44.55,44.7,44.7,41.15,1429.6,53.46,7000,-4200,17,17803870.0,13,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,111520,,ICICIBANK,,2026-09-29,2026-09-29,1220.0,PE,ICICIBANK26SEP1220PE,0.0,0.0,0.0,10.15,0.0,10.15,1429.6,1.17,0,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,111450,,ICICIBANK,,2026-08-25,2026-08-25,1530.0,PE,ICICIBANK26AUG1530PE,0.0,0.0,0.0,92.6,92.6,92.6,1429.6,99.28,23100,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,111425,,ICICIBANK,,2026-08-25,2026-08-25,1310.0,PE,ICICIBANK26AUG1310PE,0.65,0.65,0.45,0.45,0.45,0.55,1429.6,0.64,626500,-700,249,228435130.0,179,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,111415,,ICICIBANK,,2026-08-25,2026-08-25,1290.0,PE,ICICIBANK26AUG1290PE,0.45,0.5,0.3,0.35,0.35,0.4,1429.6,0.25,42700,9800,59,53293975.0,45,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,80659,,ICICIBANK,,2026-10-27,2026-10-27,1640.0,CE,ICICIBANK26OCT1640CE,0.0,0.0,0.0,14.05,0.0,14.05,1429.6,10.56,0,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,80623,,ICICIBANK,,2026-10-27,2026-10-27,1440.0,CE,ICICIBANK26OCT1440CE,0.0,0.0,0.0,73.2,0.0,73.2,1429.6,66.54,0,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,80252,,ICICIBANK,,2026-09-29,2026-09-29,1370.0,CE,ICICIBANK26SEP1370CE,0.0,0.0,0.0,82.0,82.0,82.0,1429.6,92.21,2100,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,103599,,ICICIBANK,,2026-08-25,2026-08-25,1280.0,CE,ICICIBANK26AUG1280CE,0.0,0.0,0.0,156.2,156.2,156.2,1429.6,152.72,1400,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,80664,,ICICIBANK,,2026-10-27,2026-10-27,1680.0,PE,ICICIBANK26OCT1680PE,0.0,0.0,0.0,233.4,0.0,233.4,1429.6,234.01,0,0,0,0.0,0,F1,700,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,80609,,ICICIBANK,,2026-10-27,2026-10-27,1400.0,PE,ICICIBANK26OCT1400PE,26.35,27.5,26.35,27.5,27.5,26.85,1429.6,39.52,17500,700,7,6992790.0,7,F1,700,,,,,
