TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,107250,,INDIGO,,2026-08-25,2026-08-25,4600.0,PE,INDIGO26AUG4600PE,8.2,10.15,6.25,6.35,6.35,6.6,5283.88,6.35,66150,-2550,344,237774945.0,263,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82227,,INDIGO,,2026-09-29,2026-09-29,4700.0,CE,INDIGO26SEP4700CE,0.0,0.0,0.0,730.4,0.0,730.4,5283.88,706.3,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107247,,INDIGO,,2026-08-25,2026-08-25,4500.0,CE,INDIGO26AUG4500CE,0.0,0.0,0.0,746.1,745.95,746.1,5283.88,797.17,45150,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,68550,,INDIGO,,2026-09-29,2026-09-29,,,INDIGO26SEPFUT,5311.5,5323.5,5256.0,5312.0,5323.5,5373.0,5283.88,5312.0,428850,8550,266,210873000.0,223,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114554,,INDIGO,,2026-09-29,2026-09-29,6000.0,PE,INDIGO26SEP6000PE,0.0,0.0,0.0,600.0,600.0,600.0,5283.88,763.88,1350,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107255,,INDIGO,,2026-08-25,2026-08-25,4900.0,CE,INDIGO26AUG4900CE,400.0,405.75,364.85,399.55,400.3,454.95,5283.88,399.55,49500,-2100,89,70487497.5,82,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,58242,,INDIGO,,2026-08-25,2026-08-25,,,INDIGO26AUGFUT,5325.5,5327.0,5229.0,5277.0,5278.0,5337.0,5283.88,5277.0,5376300,-60900,3177,2508319500.0,2706,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107261,,INDIGO,,2026-08-25,2026-08-25,5100.0,PE,INDIGO26AUG5100PE,50.0,68.65,47.15,50.25,49.0,41.25,5283.88,50.25,219300,22650,3380,2615603452.5,2643,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107390,,INDIGO,,2026-08-25,2026-08-25,6200.0,CE,INDIGO26AUG6200CE,3.8,3.8,2.75,3.35,3.35,4.3,5283.88,3.35,84300,-6300,213,198191542.5,162,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107388,,INDIGO,,2026-08-25,2026-08-25,6000.0,CE,INDIGO26AUG6000CE,9.25,9.25,4.5,6.15,6.15,8.8,5283.88,6.15,285750,-4200,1003,903589792.5,684,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82426,,INDIGO,,2026-10-27,2026-10-27,5800.0,PE,INDIGO26OCT5800PE,0.0,0.0,0.0,698.35,0.0,698.35,5283.88,662.17,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107224,,INDIGO,,2026-08-25,2026-08-25,4400.0,CE,INDIGO26AUG4400CE,0.0,0.0,0.0,886.95,886.95,886.95,5283.88,895.35,600,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107253,,INDIGO,,2026-08-25,2026-08-25,4800.0,CE,INDIGO26AUG4800CE,469.25,491.8,455.85,491.8,491.8,613.65,5283.88,491.8,35700,2700,226,178323772.5,90,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107346,,INDIGO,,2026-08-25,2026-08-25,5400.0,CE,INDIGO26AUG5400CE,78.0,78.0,56.0,65.4,66.5,93.15,5283.88,65.4,705600,-7350,3683,3018255322.5,2877,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114541,,INDIGO,,2026-09-29,2026-09-29,4800.0,CE,INDIGO26SEP4800CE,0.0,0.0,0.0,812.65,0.0,812.65,5283.88,631.24,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82421,,INDIGO,,2026-10-27,2026-10-27,5400.0,CE,INDIGO26OCT5400CE,0.0,0.0,0.0,300.0,300.0,300.0,5283.88,372.46,300,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114546,,INDIGO,,2026-09-29,2026-09-29,5200.0,PE,INDIGO26SEP5200PE,174.7,174.7,158.5,158.9,158.5,140.0,5283.88,158.9,7650,1500,33,26542687.5,13,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82259,,INDIGO,,2026-09-29,2026-09-29,5700.0,CE,INDIGO26SEP5700CE,0.0,0.0,0.0,210.25,0.0,210.25,5283.88,172.55,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82425,,INDIGO,,2026-10-27,2026-10-27,5800.0,CE,INDIGO26OCT5800CE,0.0,0.0,0.0,255.95,0.0,255.95,5283.88,225.88,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107375,,INDIGO,,2026-08-25,2026-08-25,5800.0,CE,INDIGO26AUG5800CE,17.75,17.75,9.75,11.75,12.0,17.25,5283.88,11.75,114450,-11250,1189,1036420432.5,920,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114545,,INDIGO,,2026-09-29,2026-09-29,5200.0,CE,INDIGO26SEP5200CE,273.6,279.1,256.95,267.3,267.3,312.0,5283.88,377.69,3450,1050,18,14760525.0,15,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82382,,INDIGO,,2026-10-27,2026-10-27,4600.0,PE,INDIGO26OCT4600PE,0.0,0.0,0.0,130.35,0.0,130.35,5283.88,105.61,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82269,,INDIGO,,2026-09-29,2026-09-29,5900.0,PE,INDIGO26SEP5900PE,0.0,0.0,0.0,723.55,0.0,723.55,5283.88,685.5,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114550,,INDIGO,,2026-09-29,2026-09-29,5600.0,PE,INDIGO26SEP5600PE,0.0,0.0,0.0,524.2,0.0,524.2,5283.88,471.27,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82260,,INDIGO,,2026-09-29,2026-09-29,5700.0,PE,INDIGO26SEP5700PE,0.0,0.0,0.0,580.35,0.0,580.35,5283.88,538.62,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107221,,INDIGO,,2026-08-25,2026-08-25,4200.0,PE,INDIGO26AUG4200PE,3.0,3.0,2.1,2.6,2.6,3.0,5283.88,2.6,13950,0,109,68710747.5,69,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107341,,INDIGO,,2026-08-25,2026-08-25,5200.0,PE,INDIGO26AUG5200PE,82.95,106.0,75.25,79.05,76.6,65.2,5283.88,79.05,268200,32550,7149,5674030455.0,5415,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107220,,INDIGO,,2026-08-25,2026-08-25,4200.0,CE,INDIGO26AUG4200CE,0.0,0.0,0.0,1165.15,1165.15,1165.15,5283.88,1093.82,1200,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107348,,INDIGO,,2026-08-25,2026-08-25,5500.0,CE,INDIGO26AUG5500CE,55.0,55.05,35.0,41.15,42.3,60.5,5283.88,41.15,686250,25200,5184,4307975617.5,3543,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107248,,INDIGO,,2026-08-25,2026-08-25,4500.0,PE,INDIGO26AUG4500PE,6.85,6.85,4.8,5.15,5.2,4.8,5283.88,5.15,87300,-1950,187,126380670.0,155,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107252,,INDIGO,,2026-08-25,2026-08-25,4700.0,PE,INDIGO26AUG4700PE,12.0,12.9,8.65,9.05,9.1,9.0,5283.88,9.05,78600,-16500,397,280503255.0,339,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107387,,INDIGO,,2026-08-25,2026-08-25,5800.0,PE,INDIGO26AUG5800PE,571.4,571.4,552.0,553.0,553.0,474.95,5283.88,530.17,31050,5850,48,45795300.0,9,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82408,,INDIGO,,2026-10-27,2026-10-27,4800.0,PE,INDIGO26OCT4800PE,0.0,0.0,0.0,188.1,0.0,188.1,5283.88,159.08,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114549,,INDIGO,,2026-09-29,2026-09-29,5600.0,CE,INDIGO26SEP5600CE,0.0,0.0,0.0,163.0,163.0,163.0,5283.88,204.33,300,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82428,,INDIGO,,2026-10-27,2026-10-27,6000.0,PE,INDIGO26OCT6000PE,0.0,0.0,0.0,840.45,0.0,840.45,5283.88,806.28,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107262,,INDIGO,,2026-08-25,2026-08-25,5200.0,CE,INDIGO26AUG5200CE,165.1,170.9,136.0,157.6,161.35,203.85,5283.88,157.6,142800,30150,2132,1711287322.5,1676,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107374,,INDIGO,,2026-08-25,2026-08-25,5700.0,PE,INDIGO26AUG5700PE,441.65,467.8,432.2,435.35,432.2,388.55,5283.88,435.35,71700,-1650,18,16592392.5,15,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107246,,INDIGO,,2026-08-25,2026-08-25,4400.0,PE,INDIGO26AUG4400PE,5.6,5.6,3.25,3.6,3.9,3.8,5283.88,3.6,39750,2100,135,89180512.5,68,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107351,,INDIGO,,2026-08-25,2026-08-25,5600.0,PE,INDIGO26AUG5600PE,370.45,375.0,342.95,347.45,346.05,299.2,5283.88,347.45,28950,-1050,21,18746362.5,20,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107345,,INDIGO,,2026-08-25,2026-08-25,5300.0,PE,INDIGO26AUG5300PE,119.0,157.65,116.0,123.7,123.2,101.4,5283.88,123.7,222750,-14400,3773,3076931947.5,2898,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82415,,INDIGO,,2026-10-27,2026-10-27,5000.0,CE,INDIGO26OCT5000CE,0.0,0.0,0.0,606.45,0.0,606.45,5283.88,580.48,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107257,,INDIGO,,2026-08-25,2026-08-25,4900.0,PE,INDIGO26AUG4900PE,20.8,29.55,19.9,20.4,20.6,18.35,5283.88,20.4,193650,300,1054,778466962.5,870,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107389,,INDIGO,,2026-08-25,2026-08-25,6000.0,PE,INDIGO26AUG6000PE,740.0,740.0,740.0,740.0,740.0,598.95,5283.88,713.26,11250,-300,2,2022000.0,1,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114538,,INDIGO,,2026-09-29,2026-09-29,4400.0,PE,INDIGO26SEP4400PE,0.0,0.0,0.0,77.15,0.0,77.15,5283.88,32.95,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82420,,INDIGO,,2026-10-27,2026-10-27,5200.0,PE,INDIGO26OCT5200PE,0.0,0.0,0.0,348.7,0.0,348.7,5283.88,312.94,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82228,,INDIGO,,2026-09-29,2026-09-29,4700.0,PE,INDIGO26SEP4700PE,0.0,0.0,0.0,110.9,0.0,110.9,5283.88,81.15,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114542,,INDIGO,,2026-09-29,2026-09-29,4800.0,PE,INDIGO26SEP4800PE,0.0,0.0,0.0,170.6,0.0,170.6,5283.88,105.21,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114537,,INDIGO,,2026-09-29,2026-09-29,4400.0,CE,INDIGO26SEP4400CE,0.0,0.0,0.0,1113.05,0.0,1113.05,5283.88,955.46,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,55134,,INDIGO,,2026-08-25,2026-08-25,5900.0,CE,INDIGO26AUG5900CE,8.65,9.35,7.0,8.3,8.3,11.9,5283.88,8.3,71250,4950,432,382830037.5,352,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107260,,INDIGO,,2026-08-25,2026-08-25,5100.0,CE,INDIGO26AUG5100CE,222.55,235.9,202.65,226.3,232.3,280.75,5283.88,226.3,85650,-12600,206,164376390.0,195,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114556,,INDIGO,,2026-09-29,2026-09-29,6200.0,PE,INDIGO26SEP6200PE,0.0,0.0,0.0,928.55,0.0,928.55,5283.88,929.74,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114539,,INDIGO,,2026-09-29,2026-09-29,4600.0,CE,INDIGO26SEP4600CE,0.0,0.0,0.0,956.45,0.0,956.45,5283.88,785.72,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114548,,INDIGO,,2026-09-29,2026-09-29,5400.0,PE,INDIGO26SEP5400PE,0.0,0.0,0.0,218.0,218.0,218.0,5283.88,350.0,2250,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82375,,INDIGO,,2026-10-27,2026-10-27,4400.0,CE,INDIGO26OCT4400CE,0.0,0.0,0.0,1022.35,0.0,1022.35,5283.88,1010.7,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82255,,INDIGO,,2026-09-29,2026-09-29,5500.0,CE,INDIGO26SEP5500CE,0.0,0.0,0.0,158.8,158.8,158.8,5283.88,240.49,150,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114543,,INDIGO,,2026-09-29,2026-09-29,5000.0,CE,INDIGO26SEP5000CE,0.0,0.0,0.0,682.35,0.0,682.35,5283.88,494.37,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82378,,INDIGO,,2026-10-27,2026-10-27,4400.0,PE,INDIGO26OCT4400PE,0.0,0.0,0.0,85.75,0.0,85.75,5283.88,66.25,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82424,,INDIGO,,2026-10-27,2026-10-27,5600.0,PE,INDIGO26OCT5600PE,0.0,0.0,0.0,568.3,0.0,568.3,5283.88,531.07,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82231,,INDIGO,,2026-09-29,2026-09-29,4900.0,CE,INDIGO26SEP4900CE,0.0,0.0,0.0,590.95,0.0,590.95,5283.88,560.24,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82432,,INDIGO,,2026-10-27,2026-10-27,6400.0,PE,INDIGO26OCT6400PE,0.0,0.0,0.0,1153.75,0.0,1153.75,5283.88,1125.24,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82253,,INDIGO,,2026-09-29,2026-09-29,5300.0,CE,INDIGO26SEP5300CE,0.0,0.0,0.0,248.05,248.05,248.05,5283.88,326.98,1500,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82232,,INDIGO,,2026-09-29,2026-09-29,4900.0,PE,INDIGO26SEP4900PE,0.0,0.0,0.0,169.4,0.0,169.4,5283.88,133.34,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114555,,INDIGO,,2026-09-29,2026-09-29,6200.0,CE,INDIGO26SEP6200CE,0.0,0.0,0.0,192.05,0.0,192.05,5283.88,68.07,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114551,,INDIGO,,2026-09-29,2026-09-29,5800.0,CE,INDIGO26SEP5800CE,0.0,0.0,0.0,304.6,0.0,304.6,5283.88,144.84,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82263,,INDIGO,,2026-09-29,2026-09-29,5900.0,CE,INDIGO26SEP5900CE,0.0,0.0,0.0,155.55,0.0,155.55,5283.88,121.19,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,48882,,INDIGO,,2026-10-27,2026-10-27,,,INDIGO26OCTFUT,5323.5,5337.5,5314.0,5337.5,5337.5,5402.5,5283.88,5357.62,14400,450,14,11194875.0,13,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107249,,INDIGO,,2026-08-25,2026-08-25,4600.0,CE,INDIGO26AUG4600CE,0.0,0.0,0.0,703.75,703.75,703.75,5283.88,700.49,10350,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107352,,INDIGO,,2026-08-25,2026-08-25,5700.0,CE,INDIGO26AUG5700CE,19.4,20.35,14.7,17.7,17.95,25.6,5283.88,17.7,273900,46800,1610,1380566565.0,1299,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82431,,INDIGO,,2026-10-27,2026-10-27,6400.0,CE,INDIGO26OCT6400CE,0.0,0.0,0.0,120.35,0.0,120.35,5283.88,97.21,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107213,,INDIGO,,2026-08-25,2026-08-25,4000.0,PE,INDIGO26AUG4000PE,1.5,2.0,1.3,1.85,1.85,1.75,5283.88,0.02,14100,-600,43,25810177.5,23,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107254,,INDIGO,,2026-08-25,2026-08-25,4800.0,PE,INDIGO26AUG4800PE,12.25,20.0,12.25,13.75,13.9,13.0,5283.88,13.75,147000,-3900,756,546170640.0,634,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107349,,INDIGO,,2026-08-25,2026-08-25,5500.0,PE,INDIGO26AUG5500PE,244.9,301.85,244.9,261.05,255.0,219.85,5283.88,261.05,194700,4650,252,218316345.0,216,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107342,,INDIGO,,2026-08-25,2026-08-25,5300.0,CE,INDIGO26AUG5300CE,101.1,114.25,88.0,101.65,105.15,139.8,5283.88,101.65,530550,60900,3793,3072081300.0,2822,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82240,,INDIGO,,2026-09-29,2026-09-29,5100.0,PE,INDIGO26SEP5100PE,0.0,0.0,0.0,245.7,0.0,245.7,5283.88,204.82,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107251,,INDIGO,,2026-08-25,2026-08-25,4700.0,CE,INDIGO26AUG4700CE,0.0,0.0,0.0,719.55,719.55,719.55,5283.88,606.25,7350,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82423,,INDIGO,,2026-10-27,2026-10-27,5600.0,CE,INDIGO26OCT5600CE,0.0,0.0,0.0,322.9,0.0,322.9,5283.88,292.03,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82419,,INDIGO,,2026-10-27,2026-10-27,5200.0,CE,INDIGO26OCT5200CE,0.0,0.0,0.0,497.3,0.0,497.3,5283.88,468.39,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82379,,INDIGO,,2026-10-27,2026-10-27,4600.0,CE,INDIGO26OCT4600CE,0.0,0.0,0.0,869.95,0.0,869.95,5283.88,852.8,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82427,,INDIGO,,2026-10-27,2026-10-27,6000.0,CE,INDIGO26OCT6000CE,0.0,0.0,0.0,201.05,0.0,201.05,5283.88,172.75,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107391,,INDIGO,,2026-08-25,2026-08-25,6200.0,PE,INDIGO26AUG6200PE,0.0,0.0,0.0,932.2,932.2,932.2,5283.88,905.73,150,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107259,,INDIGO,,2026-08-25,2026-08-25,5000.0,PE,INDIGO26AUG5000PE,30.0,44.55,28.95,31.55,31.45,27.0,5283.88,31.55,239850,-11250,3305,2496951847.5,2621,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,82238,,INDIGO,,2026-09-29,2026-09-29,5100.0,CE,INDIGO26SEP5100CE,0.0,0.0,0.0,469.35,0.0,469.35,5283.88,433.49,0,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114553,,INDIGO,,2026-09-29,2026-09-29,6000.0,CE,INDIGO26SEP6000CE,63.0,63.0,63.0,63.0,63.0,242.8,5283.88,100.45,150,150,1,909450.0,1,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114552,,INDIGO,,2026-09-29,2026-09-29,5800.0,PE,INDIGO26SEP5800PE,0.0,0.0,0.0,370.2,370.2,370.2,5283.88,610.03,300,0,0,0.0,0,F1,150,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114544,,INDIGO,,2026-09-29,2026-09-29,5000.0,PE,INDIGO26SEP5000PE,99.0,105.0,90.0,96.7,96.7,85.0,5283.88,96.7,14100,3900,44,33653445.0,29,F1,150,,,,,
