TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,52800,,INFY,,2026-08-25,2026-08-25,1200.0,PE,INFY26AUG1200PE,32.65,32.65,26.5,29.55,28.65,32.65,1190.7,29.55,1691600,158400,4263,2096119120.0,3406,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115768,,INFY,,2026-09-29,2026-09-29,1040.0,PE,INFY26SEP1040PE,8.65,10.05,8.65,9.0,8.85,9.7,1190.7,9.0,96800,14400,66,27700600.0,43,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,83373,,INFY,,2026-09-29,2026-09-29,1100.0,PE,INFY26SEP1100PE,16.5,18.35,15.6,16.3,16.0,17.6,1190.7,16.3,202000,65200,527,235542080.0,486,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,83490,,INFY,,2026-10-27,2026-10-27,1360.0,CE,INFY26OCT1360CE,13.0,13.0,11.0,11.0,11.0,12.0,1190.7,28.78,7600,6000,15,8231000.0,13,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,83372,,INFY,,2026-09-29,2026-09-29,1100.0,CE,INFY26SEP1100CE,115.0,115.0,107.15,110.25,110.6,109.45,1190.7,110.25,150400,92800,326,157913060.0,322,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108954,,INFY,,2026-08-25,2026-08-25,1295.0,CE,INFY26AUG1295CE,2.35,2.45,1.75,1.8,1.9,2.2,1190.7,1.8,465600,-6000,195,101173680.0,124,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,52787,,INFY,,2026-08-25,2026-08-25,1120.0,CE,INFY26AUG1120CE,79.0,83.0,74.05,76.5,78.3,76.2,1190.7,76.5,1014800,-28400,280,134415520.0,121,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,52757,,INFY,,2026-08-25,2026-08-25,880.0,CE,INFY26AUG880CE,0.0,0.0,0.0,299.5,299.5,299.5,1190.7,312.74,25200,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,52770,,INFY,,2026-08-25,2026-08-25,1000.0,PE,INFY26AUG1000PE,1.5,1.75,1.4,1.6,1.5,1.85,1190.7,1.6,2137200,-8800,887,355365500.0,567,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,52776,,INFY,,2026-08-25,2026-08-25,1060.0,PE,INFY26AUG1060PE,3.25,3.35,2.75,3.05,3.0,3.5,1190.7,3.05,1387600,-56800,967,411191580.0,576,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108924,,INFY,,2026-08-25,2026-08-25,1075.0,PE,INFY26AUG1075PE,4.5,4.5,3.4,3.7,3.6,4.4,1190.7,3.7,294000,-12800,218,94067800.0,187,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,52796,,INFY,,2026-08-25,2026-08-25,1160.0,PE,INFY26AUG1160PE,15.0,15.95,12.4,13.6,13.1,16.1,1190.7,13.6,1896800,-40800,4067,1909570720.0,3152,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,83452,,INFY,,2026-10-27,2026-10-27,1080.0,PE,INFY26OCT1080PE,20.45,22.0,20.45,21.7,21.7,22.2,1190.7,27.73,20800,800,5,2202460.0,5,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,83463,,INFY,,2026-10-27,2026-10-27,1160.0,PE,INFY26OCT1160PE,0.0,0.0,0.0,39.0,39.0,39.0,1190.7,55.71,400,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,52767,,INFY,,2026-08-25,2026-08-25,980.0,CE,INFY26AUG980CE,208.35,209.1,208.35,209.1,209.1,194.0,1190.7,209.1,161200,-1200,3,1426400.0,3,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,48886,,INFY,,2026-10-27,2026-10-27,,,INFY26OCTFUT,1191.2,1198.0,1190.0,1192.6,1194.0,1189.2,1190.7,1192.6,614000,18000,290,138462880.0,218,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,83451,,INFY,,2026-10-27,2026-10-27,1080.0,CE,INFY26OCT1080CE,0.0,0.0,0.0,99.25,0.0,99.25,1190.7,153.3,0,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,83454,,INFY,,2026-10-27,2026-10-27,1120.0,PE,INFY26OCT1120PE,28.0,31.0,24.2,29.0,29.0,54.95,1190.7,40.11,3600,2000,8,3674480.0,8,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108933,,INFY,,2026-08-25,2026-08-25,1155.0,PE,INFY26AUG1155PE,13.6,14.3,11.25,12.5,11.8,14.5,1190.7,12.5,511600,14400,781,364727180.0,571,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115765,,INFY,,2026-09-29,2026-09-29,1000.0,CE,INFY26SEP1000CE,202.0,202.0,195.95,195.95,195.95,194.5,1190.7,204.83,11600,800,3,1437840.0,3,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115763,,INFY,,2026-09-29,2026-09-29,960.0,CE,INFY26SEP960CE,241.0,244.0,234.0,234.0,234.0,234.0,1190.7,241.69,64800,-10400,34,16342800.0,11,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108978,,INFY,,2026-08-25,2026-08-25,1455.0,CE,INFY26AUG1455CE,0.3,0.3,0.25,0.25,0.25,0.25,1190.7,0.25,112400,-1200,9,5238940.0,8,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,52807,,INFY,,2026-08-25,2026-08-25,1240.0,CE,INFY26AUG1240CE,7.7,9.45,6.5,6.95,7.05,7.8,1190.7,6.95,1501200,-181200,5312,2651395560.0,3655,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,52799,,INFY,,2026-08-25,2026-08-25,1200.0,CE,INFY26AUG1200CE,21.65,24.35,18.7,19.5,19.8,20.5,1190.7,19.5,5690400,107600,16088,7857148920.0,11990,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108927,,INFY,,2026-08-25,2026-08-25,1115.0,CE,INFY26AUG1115CE,80.25,82.2,79.8,81.35,82.2,80.15,1190.7,81.35,358000,-17600,47,22475740.0,31,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,52777,,INFY,,2026-08-25,2026-08-25,1080.0,CE,INFY26AUG1080CE,116.7,119.15,111.55,113.75,115.35,112.05,1190.7,113.75,670400,-47200,154,73559900.0,113,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,52761,,INFY,,2026-08-25,2026-08-25,920.0,CE,INFY26AUG920CE,0.0,0.0,0.0,267.0,267.0,267.0,1190.7,272.84,27600,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115813,,INFY,,2026-09-29,2026-09-29,1320.0,CE,INFY26SEP1320CE,10.25,10.5,8.3,8.65,8.5,9.35,1190.7,8.65,107600,8000,315,167420640.0,159,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,52768,,INFY,,2026-08-25,2026-08-25,980.0,PE,INFY26AUG980PE,1.35,1.35,1.15,1.25,1.25,1.4,1190.7,1.25,230000,-4400,101,39641940.0,74,F1,400,,,,,
