TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,118035,,ITC,,2026-09-29,2026-09-29,240.0,PE,ITC26SEP240PE,0.0,0.0,0.0,0.7,0.0,0.7,279.0,0.25,0,0,0,0.0,0,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,117953,,ITC,,2026-08-25,2026-08-25,292.5,PE,ITC26AUG292.5PE,10.8,13.0,10.7,12.8,12.6,9.95,279.0,12.8,1081575,-17250,28,14700191.25,26,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85674,,ITC,,2026-10-27,2026-10-27,315.0,CE,ITC26OCT315CE,0.0,0.0,0.0,4.65,0.0,4.65,279.0,2.55,0,0,0,0.0,0,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118073,,ITC,,2026-09-29,2026-09-29,285.0,PE,ITC26SEP285PE,7.0,8.65,6.75,8.55,8.2,6.8,279.0,8.55,169050,70725,55,27796908.75,55,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85677,,ITC,,2026-10-27,2026-10-27,320.0,PE,ITC26OCT320PE,36.0,36.0,36.0,36.0,36.0,34.2,279.0,38.52,1725,1725,1,614100.0,1,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118039,,ITC,,2026-09-29,2026-09-29,250.0,PE,ITC26SEP250PE,0.5,0.5,0.5,0.5,0.5,1.5,279.0,0.82,1725,1725,1,432112.5,1,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,37268,,ITC,,2026-08-25,2026-08-25,260.0,CE,ITC26AUG260CE,22.0,22.0,19.75,20.15,19.75,25.0,279.0,20.15,305325,6900,8,3873746.25,8,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,117934,,ITC,,2026-08-25,2026-08-25,262.5,CE,ITC26AUG262.5CE,0.0,0.0,0.0,24.25,24.25,24.25,279.0,17.56,58650,0,0,0.0,0,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118042,,ITC,,2026-09-29,2026-09-29,255.0,CE,ITC26SEP255CE,0.0,0.0,0.0,38.0,0.0,38.0,279.0,27.6,0,0,0,0.0,0,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118064,,ITC,,2026-09-29,2026-09-29,265.0,CE,ITC26SEP265CE,0.0,0.0,0.0,21.35,21.35,21.35,279.0,19.54,1725,0,0,0.0,0,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118068,,ITC,,2026-09-29,2026-09-29,275.0,CE,ITC26SEP275CE,12.55,12.55,11.2,11.2,11.2,15.45,279.0,12.88,201825,13800,9,4447912.5,4,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85422,,ITC,,2026-09-29,2026-09-29,307.5,CE,ITC26SEP307.5CE,1.35,1.35,1.35,1.35,1.35,2.0,279.0,1.9,1725,0,1,532766.25,1,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118082,,ITC,,2026-09-29,2026-09-29,310.0,CE,ITC26SEP310CE,1.05,1.1,1.0,1.0,1.0,1.15,279.0,1.0,698625,8625,95,50971938.75,53,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118267,,ITC,,2026-09-29,2026-09-29,330.0,CE,ITC26SEP330CE,0.4,0.4,0.35,0.35,0.35,0.4,279.0,0.3,401925,22425,26,14817922.5,15,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85644,,ITC,,2026-10-27,2026-10-27,240.0,CE,ITC26OCT240CE,0.0,0.0,0.0,49.0,0.0,49.0,279.0,43.02,0,0,0,0.0,0,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85648,,ITC,,2026-10-27,2026-10-27,250.0,CE,ITC26OCT250CE,0.0,0.0,0.0,40.0,0.0,40.0,279.0,34.13,0,0,0,0.0,0,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118071,,ITC,,2026-09-29,2026-09-29,280.0,PE,ITC26SEP280PE,4.85,6.1,4.8,5.95,5.7,4.65,279.0,5.95,774525,141450,193,94974446.25,168,F1,1725,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,85663,,ITC,,2026-10-27,2026-10-27,285.0,PE,ITC26OCT285PE,0.0,0.0,0.0,11.25,11.25,11.25,279.0,12.93,3450,0,0,0.0,0,F1,1725,,,,,
