TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,112423,,JIOFIN,,2026-08-25,2026-08-25,200.0,CE,JIOFIN26AUG200CE,0.0,0.0,0.0,64.2,64.2,64.2,252.75,53.22,169200,0,0,0.0,0,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,86407,,JIOFIN,,2026-10-27,2026-10-27,220.0,PE,JIOFIN26OCT220PE,0.0,0.0,0.0,8.03,0.0,8.03,252.75,3.84,0,0,0,0.0,0,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118480,,JIOFIN,,2026-08-25,2026-08-25,247.5,PE,JIOFIN26AUG247.5PE,3.35,3.7,3.05,3.25,3.15,3.0,252.75,3.25,820150,-39950,215,126737380.0,178,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,86435,,JIOFIN,,2026-10-27,2026-10-27,275.0,CE,JIOFIN26OCT275CE,0.0,0.0,0.0,6.06,0.0,6.06,252.75,9.75,0,0,0,0.0,0,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,86414,,JIOFIN,,2026-10-27,2026-10-27,240.0,CE,JIOFIN26OCT240CE,0.0,0.0,0.0,17.28,0.0,17.28,252.75,25.57,0,0,0,0.0,0,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118886,,JIOFIN,,2026-09-29,2026-09-29,285.0,CE,JIOFIN26SEP285CE,2.7,2.8,2.5,2.5,2.5,3.1,252.75,4.03,148050,21150,20,13522252.5,11,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,86264,,JIOFIN,,2026-09-29,2026-09-29,242.5,CE,JIOFIN26SEP242.5CE,0.0,0.0,0.0,12.81,0.0,12.81,252.75,20.22,0,0,0,0.0,0,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112601,,JIOFIN,,2026-08-25,2026-08-25,300.0,CE,JIOFIN26AUG300CE,0.25,0.25,0.2,0.2,0.2,0.25,252.75,0.2,1445250,-56400,127,89596805.0,51,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112437,,JIOFIN,,2026-08-25,2026-08-25,220.0,PE,JIOFIN26AUG220PE,0.35,0.35,0.3,0.3,0.3,0.3,252.75,0.15,2173750,-18800,56,28992185.0,22,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,86276,,JIOFIN,,2026-09-29,2026-09-29,247.5,CE,JIOFIN26SEP247.5CE,0.0,0.0,0.0,10.77,0.0,10.77,252.75,17.28,0,0,0,0.0,0,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,86251,,JIOFIN,,2026-09-29,2026-09-29,222.5,PE,JIOFIN26SEP222.5PE,0.0,0.0,0.0,6.8,0.0,6.8,252.75,2.52,0,0,0,0.0,0,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,86420,,JIOFIN,,2026-10-27,2026-10-27,255.0,CE,JIOFIN26OCT255CE,0.0,0.0,0.0,11.32,0.0,11.32,252.75,17.43,0,0,0,0.0,0,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112469,,JIOFIN,,2026-08-25,2026-08-25,265.0,PE,JIOFIN26AUG265PE,14.0,14.4,13.25,14.3,14.2,12.6,252.75,14.3,1807150,-75200,63,41308652.5,56,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,86346,,JIOFIN,,2026-09-29,2026-09-29,262.5,CE,JIOFIN26SEP262.5CE,0.0,0.0,0.0,6.14,0.0,6.14,252.75,10.23,0,0,0,0.0,0,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118901,,JIOFIN,,2026-09-29,2026-09-29,295.0,CE,JIOFIN26SEP295CE,0.0,0.0,0.0,2.25,2.25,2.25,252.75,2.53,25850,0,0,0.0,0,F1,2350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,86443,,JIOFIN,,2026-10-27,2026-10-27,290.0,CE,JIOFIN26OCT290CE,4.65,4.65,4.2,4.2,4.2,6.75,252.75,6.01,56400,0,3,2075872.5,3,F1,2350,,,,,
