TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,113392,,JSWSTEEL,,2026-08-25,2026-08-25,1240.0,PE,JSWSTEEL26AUG1240PE,4.75,8.65,4.1,8.05,8.2,4.75,1283.4,8.05,301725,14175,298,250801650.0,257,F1,675,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113457,,JSWSTEEL,,2026-08-25,2026-08-25,1480.0,PE,JSWSTEEL26AUG1480PE,0.0,0.0,0.0,165.0,165.0,165.0,1283.4,193.34,4050,0,0,0.0,0,F1,675,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,119288,,JSWSTEEL,,2026-09-29,2026-09-29,1320.0,CE,JSWSTEEL26SEP1320CE,0.0,0.0,0.0,49.0,49.0,49.0,1283.4,43.53,675,0,0,0.0,0,F1,675,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,86989,,JSWSTEEL,,2026-10-27,2026-10-27,1200.0,PE,JSWSTEEL26OCT1200PE,0.0,0.0,0.0,43.05,0.0,43.05,1283.4,27.56,0,0,0,0.0,0,F1,675,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113320,,JSWSTEEL,,2026-08-25,2026-08-25,1120.0,CE,JSWSTEEL26AUG1120CE,0.0,0.0,0.0,134.5,134.5,134.5,1283.4,166.17,1350,0,0,0.0,0,F1,675,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,119280,,JSWSTEEL,,2026-09-29,2026-09-29,1200.0,CE,JSWSTEEL26SEP1200CE,119.35,119.35,97.7,98.8,99.7,118.1,1283.4,98.8,109350,61425,103,90619796.25,39,F1,675,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,119279,,JSWSTEEL,,2026-09-29,2026-09-29,1160.0,PE,JSWSTEEL26SEP1160PE,0.0,0.0,0.0,36.3,0.0,36.3,1283.4,10.21,0,0,0,0.0,0,F1,675,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,86810,,JSWSTEEL,,2026-09-29,2026-09-29,1420.0,PE,JSWSTEEL26SEP1420PE,0.0,0.0,0.0,172.25,0.0,172.25,1283.4,139.49,0,0,0,0.0,0,F1,675,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,48900,,JSWSTEEL,,2026-10-27,2026-10-27,,,JSWSTEEL26OCTFUT,1320.6,1320.6,1295.5,1298.4,1298.0,1322.3,1283.4,1298.4,481275,4725,10,8802337.5,10,F1,675,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,86985,,JSWSTEEL,,2026-10-27,2026-10-27,1120.0,PE,JSWSTEEL26OCT1120PE,0.0,0.0,0.0,19.35,0.0,19.35,1283.4,10.48,0,0,0,0.0,0,F1,675,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,119283,,JSWSTEEL,,2026-09-29,2026-09-29,1240.0,PE,JSWSTEEL26SEP1240PE,17.0,21.7,17.0,21.45,21.45,25.1,1283.4,21.45,13500,12825,27,22943925.0,16,F1,675,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,119274,,JSWSTEEL,,2026-09-29,2026-09-29,1080.0,CE,JSWSTEEL26SEP1080CE,0.0,0.0,0.0,235.05,235.05,235.05,1283.4,215.18,6075,0,0,0.0,0,F1,675,,,,,
