TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,120655,,KOTAKBANK,,2026-09-29,2026-09-29,460.0,PE,KOTAKBANK26SEP460PE,0.0,0.0,0.0,64.75,0.0,64.75,392.9,64.26,0,0,0,0.0,0,F1,2000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,120632,,KOTAKBANK,,2026-09-29,2026-09-29,440.0,CE,KOTAKBANK26SEP440CE,0.0,0.0,0.0,7.3,0.0,7.3,392.9,3.05,0,0,0,0.0,0,F1,2000,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,58277,,KOTAKBANK,,2026-08-25,2026-08-25,,,KOTAKBANK26AUGFUT,391.2,393.3,389.95,392.85,392.2,393.8,392.9,392.85,165484000,10000,1400,1096628500.0,1237,F1,2000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115940,,KOTAKBANK,,2026-08-25,2026-08-25,390.0,CE,KOTAKBANK26AUG390CE,7.4,7.5,5.9,7.1,7.1,8.1,392.9,7.1,3028000,-96000,1192,945707500.0,988,F1,2000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,88377,,KOTAKBANK,,2026-09-29,2026-09-29,375.0,CE,KOTAKBANK26SEP375CE,22.2,22.2,22.2,22.2,22.2,22.85,392.9,27.95,12000,0,2,1588800.0,1,F1,2000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,120611,,KOTAKBANK,,2026-09-29,2026-09-29,390.0,CE,KOTAKBANK26SEP390CE,13.05,13.65,12.0,13.15,13.0,13.9,392.9,13.15,146000,38000,47,37874500.0,32,F1,2000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,88639,,KOTAKBANK,,2026-10-27,2026-10-27,420.0,CE,KOTAKBANK26OCT420CE,0.0,0.0,0.0,10.45,0.0,10.45,392.9,11.03,0,0,0,0.0,0,F1,2000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115887,,KOTAKBANK,,2026-08-25,2026-08-25,330.0,PE,KOTAKBANK26AUG330PE,0.0,0.0,0.0,0.1,0.1,0.1,392.9,0.0,24000,0,0,0.0,0,F1,2000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115961,,KOTAKBANK,,2026-08-25,2026-08-25,400.0,PE,KOTAKBANK26AUG400PE,11.4,12.15,9.6,9.8,9.75,9.7,392.9,9.8,1530000,-34000,205,168481800.0,197,F1,2000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115971,,KOTAKBANK,,2026-08-25,2026-08-25,425.0,PE,KOTAKBANK26AUG425PE,0.0,0.0,0.0,34.4,34.4,34.4,392.9,31.83,18000,0,0,0.0,0,F1,2000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,120612,,KOTAKBANK,,2026-09-29,2026-09-29,390.0,PE,KOTAKBANK26SEP390PE,8.25,8.9,7.95,7.95,7.95,7.35,392.9,12.38,46000,8000,8,6375700.0,7,F1,2000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,88397,,KOTAKBANK,,2026-09-29,2026-09-29,425.0,PE,KOTAKBANK26SEP425PE,0.0,0.0,0.0,41.1,0.0,41.1,392.9,34.06,0,0,0,0.0,0,F1,2000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,88620,,KOTAKBANK,,2026-10-27,2026-10-27,410.0,PE,KOTAKBANK26OCT410PE,0.0,0.0,0.0,32.05,0.0,32.05,392.9,25.91,0,0,0,0.0,0,F1,2000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,88608,,KOTAKBANK,,2026-10-27,2026-10-27,390.0,PE,KOTAKBANK26OCT390PE,0.0,0.0,0.0,20.4,0.0,20.4,392.9,15.32,0,0,0,0.0,0,F1,2000,,,,,
