TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,122624,,LT,,2026-08-25,2026-08-25,3550.0,PE,LT26AUG3550PE,2.45,2.5,1.0,1.5,1.5,1.5,4037.41,1.29,15750,-1225,34,21135266.25,14,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90327,,LT,,2026-09-29,2026-09-29,3950.0,PE,LT26SEP3950PE,0.0,0.0,0.0,242.35,0.0,242.35,4037.41,125.96,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122632,,LT,,2026-08-25,2026-08-25,3850.0,PE,LT26AUG3850PE,9.65,11.85,9.2,10.95,11.15,9.25,4037.41,10.95,250425,-13125,642,433723885.0,530,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118954,,LT,,2026-08-25,2026-08-25,3800.0,PE,LT26AUG3800PE,6.5,8.0,6.5,7.4,7.25,6.5,4037.41,7.4,600075,-9100,756,503699516.25,512,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122630,,LT,,2026-08-25,2026-08-25,3750.0,PE,LT26AUG3750PE,4.8,5.45,4.2,4.9,4.8,4.6,4037.41,4.9,61425,-4200,165,108423175.0,144,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122616,,LT,,2026-08-25,2026-08-25,3300.0,PE,LT26AUG3300PE,0.0,0.0,0.0,0.85,0.85,0.85,4037.41,0.02,18375,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90424,,LT,,2026-10-27,2026-10-27,4400.0,CE,LT26OCT4400CE,0.0,0.0,0.0,79.15,0.0,79.15,4037.41,116.97,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90412,,LT,,2026-10-27,2026-10-27,4000.0,CE,LT26OCT4000CE,0.0,0.0,0.0,193.05,0.0,193.05,4037.41,276.25,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90330,,LT,,2026-09-29,2026-09-29,4150.0,CE,LT26SEP4150CE,0.0,0.0,0.0,97.75,0.0,97.75,4037.41,149.38,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90318,,LT,,2026-09-29,2026-09-29,3550.0,CE,LT26SEP3550CE,0.0,0.0,0.0,391.75,0.0,391.75,4037.41,542.34,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122647,,LT,,2026-08-25,2026-08-25,4350.0,CE,LT26AUG4350CE,3.15,3.85,2.9,3.4,3.6,4.15,4037.41,3.4,28875,-3675,161,122659355.0,152,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122627,,LT,,2026-08-25,2026-08-25,3700.0,CE,LT26AUG3700CE,350.0,356.95,342.45,346.5,346.5,375.6,4037.41,346.5,64400,-175,9,6376763.75,8,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122723,,LT,,2026-09-29,2026-09-29,3700.0,PE,LT26SEP3700PE,0.0,0.0,0.0,75.15,0.0,75.15,4037.41,48.73,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,119058,,LT,,2026-08-25,2026-08-25,4600.0,PE,LT26AUG4600PE,560.0,560.0,560.0,560.0,560.0,522.0,4037.41,553.58,3325,175,1,903000.0,1,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122645,,LT,,2026-08-25,2026-08-25,4300.0,CE,LT26AUG4300CE,6.8,6.85,4.65,4.9,4.95,6.35,4037.41,4.9,458850,-10500,1250,941765422.5,824,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90408,,LT,,2026-10-27,2026-10-27,3800.0,CE,LT26OCT3800CE,0.0,0.0,0.0,284.25,0.0,284.25,4037.41,395.69,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122650,,LT,,2026-08-25,2026-08-25,4450.0,PE,LT26AUG4450PE,0.0,0.0,0.0,372.6,0.0,372.6,4037.41,408.84,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122729,,LT,,2026-09-29,2026-09-29,4000.0,PE,LT26SEP4000PE,73.0,82.1,71.05,78.55,82.1,67.3,4037.41,78.55,43575,0,30,21405492.5,29,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90333,,LT,,2026-09-29,2026-09-29,4250.0,PE,LT26SEP4250PE,0.0,0.0,0.0,447.3,0.0,447.3,4037.41,287.74,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90335,,LT,,2026-09-29,2026-09-29,4350.0,PE,LT26SEP4350PE,289.0,289.0,289.0,289.0,289.0,527.0,4037.41,357.38,875,875,5,4059125.0,1,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122747,,LT,,2026-09-29,2026-09-29,4500.0,PE,LT26SEP4500PE,0.0,0.0,0.0,442.1,0.0,442.1,4037.41,473.86,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90401,,LT,,2026-10-27,2026-10-27,3400.0,PE,LT26OCT3400PE,0.0,0.0,0.0,61.0,0.0,61.0,4037.41,23.89,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90423,,LT,,2026-10-27,2026-10-27,4300.0,PE,LT26OCT4300PE,0.0,0.0,0.0,503.85,0.0,503.85,4037.41,350.94,0,0,0,0.0,0,F1,175,,,,,
