TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,91727,,M&M,,2026-10-27,2026-10-27,3500.0,PE,M&M26OCT3500PE,0.0,0.0,0.0,330.2,0.0,330.2,3460.18,215.17,0,0,0,0.0,0,F1,200,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,124447,,M&M,,2026-08-25,2026-08-25,3500.0,CE,M&M26AUG3500CE,71.0,73.55,46.7,50.5,49.65,72.4,3460.18,50.5,838200,135600,6357,4524698800.0,5169,F1,200,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,91572,,M&M,,2026-09-29,2026-09-29,3550.0,CE,M&M26SEP3550CE,0.0,0.0,0.0,97.05,0.0,97.05,3460.18,148.93,0,0,0,0.0,0,F1,200,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,124410,,M&M,,2026-08-25,2026-08-25,2700.0,PE,M&M26AUG2700PE,0.8,1.05,0.5,1.05,1.05,0.8,3460.18,0.01,26200,-4000,30,16205140.0,13,F1,200,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,124426,,M&M,,2026-08-25,2026-08-25,3150.0,PE,M&M26AUG3150PE,4.5,5.1,4.2,4.7,4.7,4.4,3460.18,7.93,144000,1200,201,126814080.0,163,F1,200,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,124460,,M&M,,2026-08-25,2026-08-25,3900.0,PE,M&M26AUG3900PE,0.0,0.0,0.0,439.25,439.25,439.25,3460.18,435.04,1000,0,0,0.0,0,F1,200,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,91573,,M&M,,2026-09-29,2026-09-29,3550.0,PE,M&M26SEP3550PE,0.0,0.0,0.0,338.85,0.0,338.85,3460.18,207.57,0,0,0,0.0,0,F1,200,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,124694,,M&M,,2026-09-29,2026-09-29,3600.0,PE,M&M26SEP3600PE,0.0,0.0,0.0,151.0,151.0,151.0,3460.18,237.26,1000,0,0,0.0,0,F1,200,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,91725,,M&M,,2026-10-27,2026-10-27,3400.0,PE,M&M26OCT3400PE,0.0,0.0,0.0,269.1,0.0,269.1,3460.18,166.9,0,0,0,0.0,0,F1,200,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,124588,,M&M,,2026-09-29,2026-09-29,3200.0,CE,M&M26SEP3200CE,0.0,0.0,0.0,294.45,294.45,294.45,3460.18,350.09,1000,0,0,0.0,0,F1,200,,,,,
