TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,125880,,MARUTI,,2026-08-25,2026-08-25,12700.0,PE,MARUTI26AUG12700PE,9.75,11.7,8.05,11.2,10.3,11.45,13990.02,11.2,10400,-1000,317,201449650.0,272,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,93039,,MARUTI,,2026-09-29,2026-09-29,14900.0,PE,MARUTI26SEP14900PE,0.0,0.0,0.0,1259.65,0.0,1259.65,13990.02,1069.86,0,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,126456,,MARUTI,,2026-09-29,2026-09-29,15800.0,PE,MARUTI26SEP15800PE,0.0,0.0,0.0,1772.8,0.0,1772.8,13990.02,1783.45,0,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122788,,MARUTI,,2026-08-25,2026-08-25,15000.0,CE,MARUTI26AUG15000CE,34.3,36.1,26.15,26.9,26.15,34.45,13990.02,26.9,300950,-8100,3366,2529766665.0,2296,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122806,,MARUTI,,2026-08-25,2026-08-25,16600.0,CE,MARUTI26AUG16600CE,3.0,4.0,2.75,3.75,3.25,3.35,13990.02,3.75,28050,-1050,47,39017565.0,29,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,93018,,MARUTI,,2026-09-29,2026-09-29,13100.0,CE,MARUTI26SEP13100CE,0.0,0.0,0.0,1149.2,0.0,1149.2,13990.02,1204.4,0,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,93022,,MARUTI,,2026-09-29,2026-09-29,13500.0,CE,MARUTI26SEP13500CE,0.0,0.0,0.0,899.85,0.0,899.85,13990.02,927.79,0,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122757,,MARUTI,,2026-08-25,2026-08-25,11800.0,PE,MARUTI26AUG11800PE,2.0,3.0,2.0,3.0,3.0,6.8,13990.02,0.21,6850,0,3,1770400.0,3,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,122771,,MARUTI,,2026-08-25,2026-08-25,13200.0,PE,MARUTI26AUG13200PE,26.7,33.95,22.7,32.7,32.0,30.15,13990.02,32.7,20700,-5250,783,517888107.5,588,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,126287,,MARUTI,,2026-08-25,2026-08-25,14700.0,PE,MARUTI26AUG14700PE,656.0,665.0,601.0,658.5,658.5,850.95,13990.02,765.85,3250,-100,13,9962027.5,7,F1,50,,,,,
