TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,126964,,MAXHEALTH,,2026-09-29,2026-09-29,1120.0,PE,MAXHEALTH26SEP1120PE,0.0,0.0,0.0,68.25,0.0,68.25,1040.0,97.49,0,0,0,0.0,0,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,126962,,MAXHEALTH,,2026-09-29,2026-09-29,1100.0,PE,MAXHEALTH26SEP1100PE,70.0,70.0,70.0,70.0,70.0,42.1,1040.0,83.79,4200,0,1,614250.0,1,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,123535,,MAXHEALTH,,2026-08-25,2026-08-25,1280.0,PE,MAXHEALTH26AUG1280PE,0.0,0.0,0.0,275.95,0.0,275.95,1040.0,237.06,0,0,0,0.0,0,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,93531,,MAXHEALTH,,2026-10-27,2026-10-27,1000.0,PE,MAXHEALTH26OCT1000PE,0.0,0.0,0.0,28.95,0.0,28.95,1040.0,42.14,0,0,0,0.0,0,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,93402,,MAXHEALTH,,2026-09-29,2026-09-29,1210.0,PE,MAXHEALTH26SEP1210PE,0.0,0.0,0.0,123.9,0.0,123.9,1040.0,169.3,0,0,0,0.0,0,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,123533,,MAXHEALTH,,2026-08-25,2026-08-25,1260.0,PE,MAXHEALTH26AUG1260PE,211.2,211.2,203.75,203.75,203.75,257.95,1040.0,217.15,0,0,6,4622546.25,2,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,123525,,MAXHEALTH,,2026-08-25,2026-08-25,1180.0,PE,MAXHEALTH26AUG1180PE,132.7,132.7,127.85,127.85,127.85,189.2,1040.0,138.38,1050,1050,6,4131198.75,3,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,126803,,MAXHEALTH,,2026-08-25,2026-08-25,1150.0,PE,MAXHEALTH26AUG1150PE,0.0,0.0,0.0,79.3,79.3,79.3,1040.0,110.0,31500,0,0,0.0,0,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,126795,,MAXHEALTH,,2026-08-25,2026-08-25,1130.0,PE,MAXHEALTH26AUG1130PE,90.0,90.0,90.0,90.0,90.0,61.65,1040.0,90.0,47775,0,1,640500.0,1,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,123483,,MAXHEALTH,,2026-08-25,2026-08-25,1040.0,PE,MAXHEALTH26AUG1040PE,16.2,26.3,16.2,23.5,24.45,15.5,1040.0,23.5,214200,92925,2680,1494301987.5,2111,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,123339,,MAXHEALTH,,2026-08-25,2026-08-25,920.0,PE,MAXHEALTH26AUG920PE,2.35,2.35,1.3,1.4,1.4,2.35,1040.0,0.96,19950,-1050,11,5321557.5,11,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,93401,,MAXHEALTH,,2026-09-29,2026-09-29,1210.0,CE,MAXHEALTH26SEP1210CE,0.0,0.0,0.0,22.2,22.2,22.2,1040.0,9.93,1050,0,0,0.0,0,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,93397,,MAXHEALTH,,2026-09-29,2026-09-29,1170.0,CE,MAXHEALTH26SEP1170CE,0.0,0.0,0.0,14.7,14.7,14.7,1040.0,15.9,5250,0,0,0.0,0,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,93395,,MAXHEALTH,,2026-09-29,2026-09-29,1150.0,CE,MAXHEALTH26SEP1150CE,0.0,0.0,0.0,19.5,19.5,19.5,1040.0,19.91,6300,0,0,0.0,0,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,93317,,MAXHEALTH,,2026-09-29,2026-09-29,1030.0,CE,MAXHEALTH26SEP1030CE,0.0,0.0,0.0,114.4,0.0,114.4,1040.0,63.28,0,0,0,0.0,0,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,126946,,MAXHEALTH,,2026-09-29,2026-09-29,940.0,PE,MAXHEALTH26SEP940PE,0.0,0.0,0.0,12.9,0.0,12.9,1040.0,14.07,0,0,0,0.0,0,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,93635,,MAXHEALTH,,2026-10-27,2026-10-27,1160.0,PE,MAXHEALTH26OCT1160PE,0.0,0.0,0.0,99.8,0.0,99.8,1040.0,134.53,0,0,0,0.0,0,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,123532,,MAXHEALTH,,2026-08-25,2026-08-25,1260.0,CE,MAXHEALTH26AUG1260CE,0.6,0.7,0.6,0.6,0.6,0.8,1040.0,0.07,113925,-8400,90,59564898.75,39,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,126805,,MAXHEALTH,,2026-08-25,2026-08-25,1170.0,PE,MAXHEALTH26AUG1170PE,123.4,123.4,113.25,113.25,113.25,80.9,1040.0,128.8,1050,1050,10,6764808.75,5,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,126789,,MAXHEALTH,,2026-08-25,2026-08-25,1110.0,PE,MAXHEALTH26AUG1110PE,70.0,74.5,68.6,74.5,74.5,54.75,1040.0,74.5,67725,-1575,11,6823766.25,9,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,126787,,MAXHEALTH,,2026-08-25,2026-08-25,1090.0,PE,MAXHEALTH26AUG1090PE,43.0,58.7,42.1,56.05,57.85,40.7,1040.0,56.05,119175,4200,259,155094397.5,227,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,123485,,MAXHEALTH,,2026-08-25,2026-08-25,1060.0,PE,MAXHEALTH26AUG1060PE,23.05,37.5,22.7,34.1,35.85,23.25,1040.0,34.1,96600,-26250,799,457349655.0,669,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,126775,,MAXHEALTH,,2026-08-25,2026-08-25,1030.0,PE,MAXHEALTH26AUG1030PE,13.5,21.9,12.8,18.95,20.15,12.05,1040.0,18.95,77175,33600,1236,679992232.5,982,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,126771,,MAXHEALTH,,2026-08-25,2026-08-25,990.0,PE,MAXHEALTH26AUG990PE,5.3,8.85,5.1,7.55,6.7,12.75,1040.0,7.55,64575,64575,276,144486956.25,243,F1,525,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,123329,,MAXHEALTH,,2026-08-25,2026-08-25,900.0,PE,MAXHEALTH26AUG900PE,0.0,0.0,0.0,27.0,0.0,27.0,1040.0,0.41,0,0,0,0.0,0,F1,525,,,,,
