TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,96599,,NESTLEIND,,2026-09-29,2026-09-29,1510.0,CE,NESTLEIND26SEP1510CE,0.0,0.0,0.0,59.0,59.0,59.0,1493.2,52.57,5000,0,0,0.0,0,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,131437,,NESTLEIND,,2026-09-29,2026-09-29,1520.0,CE,NESTLEIND26SEP1520CE,0.0,0.0,0.0,33.95,0.0,33.95,1493.2,48.04,0,0,0,0.0,0,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,131457,,NESTLEIND,,2026-09-29,2026-09-29,1700.0,CE,NESTLEIND26SEP1700CE,6.05,6.25,4.0,4.4,6.25,10.0,1493.2,4.4,25000,4000,11,9378200.0,7,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,131461,,NESTLEIND,,2026-09-29,2026-09-29,1740.0,CE,NESTLEIND26SEP1740CE,0.0,0.0,0.0,5.0,5.0,5.0,1493.2,3.56,500,0,0,0.0,0,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,131101,,NESTLEIND,,2026-08-25,2026-08-25,1270.0,PE,NESTLEIND26AUG1270PE,3.5,3.5,0.5,0.5,0.5,7.8,1493.2,0.01,1500,1500,6,3813775.0,6,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,131179,,NESTLEIND,,2026-08-25,2026-08-25,1530.0,PE,NESTLEIND26AUG1530PE,26.4,47.35,26.35,44.2,44.0,27.45,1493.2,44.2,108000,-15500,286,224010975.0,258,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,131181,,NESTLEIND,,2026-08-25,2026-08-25,1550.0,PE,NESTLEIND26AUG1550PE,46.0,61.75,43.0,58.3,57.95,37.85,1493.2,58.3,84500,-6000,195,156365850.0,147,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,131356,,NESTLEIND,,2026-09-29,2026-09-29,1340.0,PE,NESTLEIND26SEP1340PE,0.0,0.0,0.0,5.05,5.05,5.05,1493.2,6.05,500,0,0,0.0,0,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96590,,NESTLEIND,,2026-09-29,2026-09-29,1410.0,PE,NESTLEIND26SEP1410PE,0.0,0.0,0.0,23.85,0.0,23.85,1493.2,18.01,0,0,0,0.0,0,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,96592,,NESTLEIND,,2026-09-29,2026-09-29,1430.0,PE,NESTLEIND26SEP1430PE,0.0,0.0,0.0,29.75,0.0,29.75,1493.2,23.41,0,0,0,0.0,0,F1,500,,,,,
