TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,130040,,NTPC,,2026-08-25,2026-08-25,380.0,PE,NTPC26AUG380PE,0.0,0.0,0.0,32.25,32.25,32.25,338.45,40.75,111000,0,0,0.0,0,F1,1500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,132585,,NTPC,,2026-09-29,2026-09-29,350.0,PE,NTPC26SEP350PE,17.05,18.05,16.0,16.05,16.0,15.25,338.45,16.05,166500,24000,30,16531950.0,30,F1,1500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,132589,,NTPC,,2026-09-29,2026-09-29,360.0,PE,NTPC26SEP360PE,25.75,25.95,24.75,25.1,25.1,19.45,338.45,24.42,58500,18000,13,7516350.0,13,F1,1500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,129844,,NTPC,,2026-08-25,2026-08-25,310.0,CE,NTPC26AUG310CE,0.0,0.0,0.0,35.75,35.75,35.75,338.45,29.43,150000,0,0,0.0,0,F1,1500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,129856,,NTPC,,2026-08-25,2026-08-25,340.0,CE,NTPC26AUG340CE,6.05,6.2,4.65,5.8,5.85,6.55,338.45,5.8,2215500,349500,1975,1023084675.0,1370,F1,1500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,132574,,NTPC,,2026-09-29,2026-09-29,300.0,CE,NTPC26SEP300CE,0.0,0.0,0.0,62.9,0.0,62.9,338.45,42.32,0,0,0,0.0,0,F1,1500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,97794,,NTPC,,2026-09-29,2026-09-29,305.0,CE,NTPC26SEP305CE,0.0,0.0,0.0,44.0,0.0,44.0,338.45,37.92,0,0,0,0.0,0,F1,1500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,130043,,NTPC,,2026-08-25,2026-08-25,385.0,CE,NTPC26AUG385CE,0.15,0.2,0.15,0.2,0.2,0.2,338.45,0.04,201000,-10500,19,10977675.0,12,F1,1500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,97805,,NTPC,,2026-09-29,2026-09-29,345.0,CE,NTPC26SEP345CE,7.5,7.5,7.5,7.5,7.5,11.5,338.45,11.28,4500,1500,1,528750.0,1,F1,1500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,129841,,NTPC,,2026-08-25,2026-08-25,300.0,PE,NTPC26AUG300PE,0.2,0.25,0.15,0.2,0.2,0.15,338.45,0.04,282000,1500,10,4503000.0,10,F1,1500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,132581,,NTPC,,2026-09-29,2026-09-29,330.0,PE,NTPC26SEP330PE,6.5,7.1,6.0,6.0,6.0,6.7,338.45,6.0,121500,24000,25,12630375.0,17,F1,1500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,97811,,NTPC,,2026-09-29,2026-09-29,355.0,PE,NTPC26SEP355PE,0.0,0.0,0.0,19.25,0.0,19.25,338.45,20.95,0,0,0,0.0,0,F1,1500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,97966,,NTPC,,2026-10-27,2026-10-27,350.0,PE,NTPC26OCT350PE,0.0,0.0,0.0,18.55,0.0,18.55,338.45,19.92,0,0,0,0.0,0,F1,1500,,,,,
