TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,99616,,ONGC,,2026-10-27,2026-10-27,265.0,PE,ONGC26OCT265PE,0.0,0.0,0.0,29.02,0.0,29.02,239.45,27.76,0,0,0,0.0,0,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,99618,,ONGC,,2026-10-27,2026-10-27,270.0,PE,ONGC26OCT270PE,0.0,0.0,0.0,32.77,0.0,32.77,239.45,31.58,0,0,0,0.0,0,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,132086,,ONGC,,2026-08-25,2026-08-25,215.0,CE,ONGC26AUG215CE,0.0,0.0,0.0,23.0,23.0,23.0,239.45,25.14,11250,0,0,0.0,0,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,132123,,ONGC,,2026-08-25,2026-08-25,280.0,CE,ONGC26AUG280CE,0.15,0.2,0.1,0.12,0.14,0.13,239.45,0.12,1305000,-47250,254,160105882.5,147,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,99415,,ONGC,,2026-09-29,2026-09-29,247.5,CE,ONGC26SEP247.5CE,5.85,5.94,5.16,5.88,5.88,4.5,239.45,5.88,40500,13500,25,14239260.0,15,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,134889,,ONGC,,2026-09-29,2026-09-29,270.0,CE,ONGC26SEP270CE,1.3,1.3,1.12,1.14,1.14,1.0,239.45,2.49,81000,-4500,12,7321207.5,10,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,99408,,ONGC,,2026-09-29,2026-09-29,227.5,PE,ONGC26SEP227.5PE,0.0,0.0,0.0,6.34,0.0,6.34,239.45,4.98,0,0,0,0.0,0,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,134884,,ONGC,,2026-09-29,2026-09-29,255.0,PE,ONGC26SEP255PE,16.3,16.3,16.3,16.3,16.3,25.0,239.45,16.3,2250,2250,1,610425.0,1,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,134647,,ONGC,,2026-08-25,2026-08-25,272.5,CE,ONGC26AUG272.5CE,0.0,0.0,0.0,0.4,0.4,0.4,239.45,0.1,33750,0,0,0.0,0,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,132096,,ONGC,,2026-08-25,2026-08-25,240.0,CE,ONGC26AUG240CE,4.0,6.3,4.0,4.35,4.32,3.73,239.45,4.35,9020250,-243000,6523,3596032867.5,4870,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,134897,,ONGC,,2026-09-29,2026-09-29,290.0,CE,ONGC26SEP290CE,0.35,0.6,0.35,0.6,0.6,0.35,239.45,0.6,20250,2250,2,1307137.5,2,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,134640,,ONGC,,2026-08-25,2026-08-25,252.5,PE,ONGC26AUG252.5PE,0.0,0.0,0.0,15.57,15.57,15.57,239.45,14.15,155250,0,0,0.0,0,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,132107,,ONGC,,2026-08-25,2026-08-25,265.0,PE,ONGC26AUG265PE,0.0,0.0,0.0,25.06,25.06,25.06,239.45,25.26,560250,0,0,0.0,0,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,134882,,ONGC,,2026-09-29,2026-09-29,250.0,PE,ONGC26SEP250PE,12.03,12.03,10.93,11.8,11.8,13.91,239.45,15.7,229500,15750,32,18815422.5,16,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,134582,,ONGC,,2026-08-25,2026-08-25,232.5,CE,ONGC26AUG232.5CE,10.22,11.87,9.2,9.27,9.28,8.35,239.45,9.27,254250,-13500,42,22929232.5,38,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,132142,,ONGC,,2026-08-25,2026-08-25,300.0,CE,ONGC26AUG300CE,0.09,0.09,0.07,0.08,0.08,0.06,239.45,0.08,1696500,27000,228,153942525.0,30,F1,2250,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,99407,,ONGC,,2026-09-29,2026-09-29,227.5,CE,ONGC26SEP227.5CE,0.0,0.0,0.0,16.75,16.75,16.75,239.45,18.93,2250,0,0,0.0,0,F1,2250,,,,,
