TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,140900,,POWERGRID,,2026-09-29,2026-09-29,315.0,CE,POWERGRID26SEP315CE,0.0,0.0,0.0,0.5,0.5,0.5,267.95,0.75,26600,0,0,0.0,0,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,140829,,POWERGRID,,2026-09-29,2026-09-29,275.0,CE,POWERGRID26SEP275CE,6.3,6.3,5.05,5.05,5.05,6.3,267.95,8.5,60800,5700,4,2135505.0,4,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,140823,,POWERGRID,,2026-09-29,2026-09-29,260.0,CE,POWERGRID26SEP260CE,13.0,13.0,13.0,13.0,13.0,34.75,267.95,16.27,1900,1900,1,518700.0,1,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,104380,,POWERGRID,,2026-09-29,2026-09-29,242.5,CE,POWERGRID26SEP242.5CE,0.0,0.0,0.0,46.15,0.0,46.15,267.95,29.31,0,0,0,0.0,0,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,104653,,POWERGRID,,2026-10-27,2026-10-27,255.0,PE,POWERGRID26OCT255PE,0.0,0.0,0.0,3.35,0.0,3.35,267.95,6.24,0,0,0,0.0,0,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,104651,,POWERGRID,,2026-10-27,2026-10-27,250.0,PE,POWERGRID26OCT250PE,0.0,0.0,0.0,2.5,0.0,2.5,267.95,4.78,0,0,0,0.0,0,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,104430,,POWERGRID,,2026-09-29,2026-09-29,302.5,PE,POWERGRID26SEP302.5PE,0.0,0.0,0.0,21.3,0.0,21.3,267.95,33.68,0,0,0,0.0,0,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,139005,,POWERGRID,,2026-08-25,2026-08-25,330.0,PE,POWERGRID26AUG330PE,61.75,62.5,61.55,62.5,62.5,60.05,267.95,61.28,38000,-26600,21,15627500.0,15,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,138989,,POWERGRID,,2026-08-25,2026-08-25,305.0,PE,POWERGRID26AUG305PE,0.0,0.0,0.0,19.9,19.9,19.9,267.95,36.38,11400,0,0,0.0,0,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,138971,,POWERGRID,,2026-08-25,2026-08-25,270.0,PE,POWERGRID26AUG270PE,4.15,6.4,4.15,5.85,5.8,4.5,267.95,5.85,3062800,-96900,772,404436185.0,642,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,104668,,POWERGRID,,2026-10-27,2026-10-27,295.0,CE,POWERGRID26OCT295CE,0.0,0.0,0.0,13.0,0.0,13.0,267.95,5.26,0,0,0,0.0,0,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,104656,,POWERGRID,,2026-10-27,2026-10-27,265.0,CE,POWERGRID26OCT265CE,0.0,0.0,0.0,29.9,0.0,29.9,267.95,16.64,0,0,0,0.0,0,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,140902,,POWERGRID,,2026-09-29,2026-09-29,320.0,CE,POWERGRID26SEP320CE,0.0,0.0,0.0,0.1,0.1,0.1,267.95,0.52,9500,0,0,0.0,0,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,140894,,POWERGRID,,2026-09-29,2026-09-29,305.0,CE,POWERGRID26SEP305CE,0.0,0.0,0.0,1.1,1.1,1.1,267.95,1.52,32300,0,0,0.0,0,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,104398,,POWERGRID,,2026-09-29,2026-09-29,277.5,CE,POWERGRID26SEP277.5CE,0.0,0.0,0.0,18.6,0.0,18.6,267.95,7.52,0,0,0,0.0,0,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,138986,,POWERGRID,,2026-08-25,2026-08-25,300.0,CE,POWERGRID26AUG300CE,0.25,0.3,0.2,0.25,0.25,0.35,267.95,0.25,3296500,209000,841,479758265.0,170,F1,1900,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,138992,,POWERGRID,,2026-08-25,2026-08-25,315.0,CE,POWERGRID26AUG315CE,0.05,0.1,0.05,0.05,0.05,0.1,267.95,0.01,247000,-3800,10,5986615.0,7,F1,1900,,,,,
