TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,106731,,RELIANCE,,2026-10-27,2026-10-27,1340.0,CE,RELIANCE26OCT1340CE,47.25,48.4,43.25,48.0,48.0,38.1,1323.9,64.23,4000,3500,9,6241875.0,9,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,106728,,RELIANCE,,2026-10-27,2026-10-27,1320.0,CE,RELIANCE26OCT1320CE,61.05,61.05,61.05,61.05,61.05,61.05,1323.9,74.23,6000,500,1,690525.0,1,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,106708,,RELIANCE,,2026-10-27,2026-10-27,1280.0,CE,RELIANCE26OCT1280CE,0.0,0.0,0.0,68.85,0.0,68.85,1323.9,97.21,0,0,0,0.0,0,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,106675,,RELIANCE,,2026-10-27,2026-10-27,1200.0,CE,RELIANCE26OCT1200CE,0.0,0.0,0.0,115.15,0.0,115.15,1323.9,154.45,0,0,0,0.0,0,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,106398,,RELIANCE,,2026-09-29,2026-09-29,1450.0,CE,RELIANCE26SEP1450CE,6.9,7.25,6.4,6.7,6.6,7.35,1323.9,6.7,49000,17500,67,48799550.0,51,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,144468,,RELIANCE,,2026-09-29,2026-09-29,1440.0,CE,RELIANCE26SEP1440CE,8.05,8.75,7.5,7.95,7.95,8.6,1323.9,7.95,157000,19500,137,99188300.0,92,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,106342,,RELIANCE,,2026-09-29,2026-09-29,1170.0,PE,RELIANCE26SEP1170PE,2.5,2.5,2.3,2.3,2.3,2.7,1323.9,4.46,11500,500,6,3517200.0,6,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,106745,,RELIANCE,,2026-10-27,2026-10-27,1480.0,CE,RELIANCE26OCT1480CE,10.7,11.5,10.6,11.5,11.5,12.2,1323.9,19.42,51500,-1000,12,8946825.0,11,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,106368,,RELIANCE,,2026-09-29,2026-09-29,1270.0,CE,RELIANCE26SEP1270CE,0.0,0.0,0.0,86.05,86.05,86.05,1323.9,88.34,7000,0,0,0.0,0,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,144402,,RELIANCE,,2026-09-29,2026-09-29,1360.0,CE,RELIANCE26SEP1360CE,27.05,28.25,25.25,27.0,27.0,28.5,1323.9,27.0,288500,-500,126,87370875.0,78,F1,500,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,144406,,RELIANCE,,2026-09-29,2026-09-29,1400.0,CE,RELIANCE26SEP1400CE,14.3,16.3,13.85,14.9,15.05,15.9,1323.9,14.9,1709500,30000,1091,771802175.0,721,F1,500,,,,,
