TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,108567,,SBIN,,2026-10-27,2026-10-27,940.0,CE,SBIN26OCT940CE,0.0,0.0,0.0,110.25,0.0,110.25,1066.0,148.95,0,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143903,,SBIN,,2026-08-25,2026-08-25,1000.0,PE,SBIN26AUG1000PE,1.55,2.85,1.55,1.85,1.85,2.2,1066.0,1.85,4001250,-399000,4011,3014514450.0,2610,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146921,,SBIN,,2026-09-29,2026-09-29,880.0,PE,SBIN26SEP880PE,0.0,0.0,0.0,8.7,0.0,8.7,1066.0,1.16,0,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,147158,,SBIN,,2026-09-29,2026-09-29,1000.0,PE,SBIN26SEP1000PE,6.9,8.2,5.6,5.9,5.8,6.4,1066.0,5.9,597000,-6750,435,328439137.5,332,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108264,,SBIN,,2026-09-29,2026-09-29,1090.0,PE,SBIN26SEP1090PE,0.0,0.0,0.0,35.3,35.3,35.3,1066.0,52.97,3750,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108266,,SBIN,,2026-09-29,2026-09-29,1110.0,PE,SBIN26SEP1110PE,0.0,0.0,0.0,41.0,41.0,41.0,1066.0,64.96,3750,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,147185,,SBIN,,2026-09-29,2026-09-29,1060.0,PE,SBIN26SEP1060PE,25.9,25.95,20.6,21.15,21.5,21.2,1066.0,21.15,648000,18000,196,159184275.0,172,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143989,,SBIN,,2026-08-25,2026-08-25,1260.0,PE,SBIN26AUG1260PE,0.0,0.0,0.0,276.6,0.0,276.6,1066.0,191.11,0,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146771,,SBIN,,2026-08-25,2026-08-25,950.0,PE,SBIN26AUG950PE,0.85,0.85,0.55,0.65,0.6,0.8,1066.0,0.65,1185750,30000,889,633850125.0,433,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143842,,SBIN,,2026-08-25,2026-08-25,860.0,PE,SBIN26AUG860PE,0.25,0.25,0.15,0.2,0.2,0.2,1066.0,0.2,182250,-11250,69,44515650.0,27,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108612,,SBIN,,2026-10-27,2026-10-27,1080.0,CE,SBIN26OCT1080CE,0.0,0.0,0.0,38.15,0.0,38.15,1066.0,56.91,0,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108552,,SBIN,,2026-10-27,2026-10-27,880.0,CE,SBIN26OCT880CE,0.0,0.0,0.0,156.25,0.0,156.25,1066.0,201.49,0,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108265,,SBIN,,2026-09-29,2026-09-29,1110.0,CE,SBIN26SEP1110CE,19.45,19.7,17.15,19.2,18.95,22.6,1066.0,19.2,121500,17250,96,81244650.0,51,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146848,,SBIN,,2026-08-25,2026-08-25,1190.0,CE,SBIN26AUG1190CE,1.1,1.1,0.7,0.85,0.85,1.1,1066.0,0.85,660750,-58500,1048,936019125.0,646,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,68782,,SBIN,,2026-09-29,2026-09-29,,,SBIN26SEPFUT,1081.9,1081.9,1070.2,1077.5,1077.3,1081.9,1066.0,1077.5,15248250,565500,1501,1211877975.0,1456,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143984,,SBIN,,2026-08-25,2026-08-25,1220.0,CE,SBIN26AUG1220CE,0.6,0.65,0.5,0.55,0.5,0.7,1066.0,0.55,1437750,69000,1089,996886462.5,414,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146918,,SBIN,,2026-09-29,2026-09-29,860.0,CE,SBIN26SEP860CE,0.0,0.0,0.0,186.3,0.0,186.3,1066.0,214.19,0,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,147190,,SBIN,,2026-09-29,2026-09-29,1100.0,CE,SBIN26SEP1100CE,26.0,26.0,20.45,22.45,22.05,26.15,1066.0,22.45,1145250,157500,915,770039662.5,684,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,147194,,SBIN,,2026-09-29,2026-09-29,1140.0,CE,SBIN26SEP1140CE,11.2,11.75,10.15,10.95,10.9,13.4,1066.0,10.95,148500,-750,44,37979250.0,38,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143908,,SBIN,,2026-08-25,2026-08-25,1060.0,CE,SBIN26AUG1060CE,26.25,27.4,20.8,24.65,24.15,28.55,1066.0,24.65,2148750,529500,8043,6539026950.0,6403,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143910,,SBIN,,2026-08-25,2026-08-25,1080.0,CE,SBIN26AUG1080CE,16.0,17.0,12.15,14.8,14.4,17.9,1066.0,14.8,6063000,266250,13347,10955930362.5,9544,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108597,,SBIN,,2026-10-27,2026-10-27,960.0,CE,SBIN26OCT960CE,0.0,0.0,0.0,96.8,0.0,96.8,1066.0,132.84,0,0,0,0.0,0,F1,750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108616,,SBIN,,2026-10-27,2026-10-27,1100.0,CE,SBIN26OCT1100CE,33.3,33.75,30.7,33.3,33.3,36.55,1066.0,48.07,48000,14250,39,33116250.0,39,F1,750,,,,,
