TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,110171,,SUNPHARMA,,2026-09-29,2026-09-29,2020.0,PE,SUNPHARMA26SEP2020PE,0.0,0.0,0.0,90.6,0.0,90.6,1942.0,102.33,0,0,0,0.0,0,F1,350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150548,,SUNPHARMA,,2026-09-29,2026-09-29,1960.0,PE,SUNPHARMA26SEP1960PE,0.0,0.0,0.0,130.3,0.0,130.3,1942.0,67.37,0,0,0,0.0,0,F1,350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110371,,SUNPHARMA,,2026-10-27,2026-10-27,2000.0,PE,SUNPHARMA26OCT2000PE,0.0,0.0,0.0,90.85,0.0,90.85,1942.0,100.7,0,0,0,0.0,0,F1,350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110382,,SUNPHARMA,,2026-10-27,2026-10-27,2200.0,PE,SUNPHARMA26OCT2200PE,0.0,0.0,0.0,221.8,0.0,221.8,1942.0,245.49,0,0,0,0.0,0,F1,350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150510,,SUNPHARMA,,2026-09-29,2026-09-29,1720.0,PE,SUNPHARMA26SEP1720PE,0.0,0.0,0.0,27.35,0.0,27.35,1942.0,4.57,0,0,0,0.0,0,F1,350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150056,,SUNPHARMA,,2026-08-25,2026-08-25,1740.0,CE,SUNPHARMA26AUG1740CE,204.1,204.1,204.1,204.1,204.1,211.0,1942.0,206.25,4550,700,4,2721740.0,2,F1,350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150066,,SUNPHARMA,,2026-08-25,2026-08-25,1940.0,CE,SUNPHARMA26AUG1940CE,37.95,39.5,28.4,33.15,31.55,37.6,1942.0,33.15,428400,59500,3216,2221531637.5,2315,F1,350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146808,,SUNPHARMA,,2026-08-25,2026-08-25,2240.0,CE,SUNPHARMA26AUG2240CE,0.25,0.4,0.25,0.25,0.25,0.25,1942.0,0.03,180250,0,42,32933180.0,19,F1,350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110172,,SUNPHARMA,,2026-09-29,2026-09-29,2060.0,CE,SUNPHARMA26SEP2060CE,0.0,0.0,0.0,52.6,0.0,52.6,1942.0,29.97,0,0,0,0.0,0,F1,350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110204,,SUNPHARMA,,2026-09-29,2026-09-29,2180.0,CE,SUNPHARMA26SEP2180CE,0.0,0.0,0.0,21.55,0.0,21.55,1942.0,9.27,0,0,0,0.0,0,F1,350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,110375,,SUNPHARMA,,2026-10-27,2026-10-27,2080.0,CE,SUNPHARMA26OCT2080CE,0.0,0.0,0.0,64.3,0.0,64.3,1942.0,42.39,0,0,0,0.0,0,F1,350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150492,,SUNPHARMA,,2026-09-29,2026-09-29,1680.0,PE,SUNPHARMA26SEP1680PE,0.0,0.0,0.0,19.1,0.0,19.1,1942.0,2.36,0,0,0,0.0,0,F1,350,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150519,,SUNPHARMA,,2026-09-29,2026-09-29,1920.0,CE,SUNPHARMA26SEP1920CE,0.0,0.0,0.0,78.4,0.0,78.4,1942.0,87.53,0,0,0,0.0,0,F1,350,,,,,
