TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,147908,,TATACONSUM,,2026-08-25,2026-08-25,1040.0,PE,TATACONSUM26AUG1040PE,3.45,6.85,3.45,5.7,5.85,2.35,1078.03,5.7,179850,37400,346,198893530.0,276,F1,550,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,152032,,TATACONSUM,,2026-09-29,2026-09-29,1280.0,PE,TATACONSUM26SEP1280PE,0.0,0.0,0.0,196.4,0.0,196.4,1078.03,194.03,0,0,0,0.0,0,F1,550,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,151614,,TATACONSUM,,2026-08-25,2026-08-25,1030.0,CE,TATACONSUM26AUG1030CE,0.0,0.0,0.0,80.1,0.0,80.1,1078.03,56.99,0,0,0,0.0,0,F1,550,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,147891,,TATACONSUM,,2026-08-25,2026-08-25,960.0,PE,TATACONSUM26AUG960PE,0.0,0.0,0.0,3.7,0.0,3.7,1078.03,0.38,0,0,0,0.0,0,F1,550,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,151608,,TATACONSUM,,2026-08-25,2026-08-25,970.0,CE,TATACONSUM26AUG970CE,0.0,0.0,0.0,124.5,0.0,124.5,1078.03,110.9,0,0,0,0.0,0,F1,550,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,147895,,TATACONSUM,,2026-08-25,2026-08-25,1000.0,CE,TATACONSUM26AUG1000CE,98.0,98.0,80.4,81.5,82.35,109.0,1078.03,81.5,13750,1100,20,11919600.0,17,F1,550,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,147913,,TATACONSUM,,2026-08-25,2026-08-25,1100.0,CE,TATACONSUM26AUG1100CE,25.05,25.05,11.8,12.4,12.5,24.45,1078.03,12.4,986700,292600,3533,2166301802.5,2632,F1,550,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,151990,,TATACONSUM,,2026-09-29,2026-09-29,1080.0,CE,TATACONSUM26SEP1080CE,0.0,0.0,0.0,67.9,0.0,67.9,1078.03,49.11,0,0,0,0.0,0,F1,550,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,111706,,TATACONSUM,,2026-10-27,2026-10-27,920.0,CE,TATACONSUM26OCT920CE,0.0,0.0,0.0,183.3,0.0,183.3,1078.03,176.65,0,0,0,0.0,0,F1,550,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,111763,,TATACONSUM,,2026-10-27,2026-10-27,1200.0,CE,TATACONSUM26OCT1200CE,0.0,0.0,0.0,26.65,0.0,26.65,1078.03,21.24,0,0,0,0.0,0,F1,550,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,151625,,TATACONSUM,,2026-08-25,2026-08-25,1110.0,PE,TATACONSUM26AUG1110PE,22.95,40.4,22.95,38.2,38.5,21.55,1078.03,38.2,84700,-10450,183,115103835.0,114,F1,550,,,,,
