TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,112723,,TATASTEEL,,2026-09-29,2026-09-29,177.5,CE,TATASTEEL26SEP177.5CE,0.0,0.0,0.0,13.71,0.0,13.71,188.25,16.21,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153570,,TATASTEEL,,2026-08-25,2026-08-25,187.5,CE,TATASTEEL26AUG187.5CE,5.83,6.05,3.73,4.21,4.15,6.16,188.25,4.21,3212000,742500,1179,621891600.0,1038,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149016,,TATASTEEL,,2026-08-25,2026-08-25,155.0,CE,TATASTEEL26AUG155CE,33.7,33.7,33.0,33.0,33.0,36.02,188.25,33.61,192500,0,2,1035925.0,2,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,49012,,TATASTEEL,,2026-10-27,2026-10-27,,,TATASTEEL26OCTFUT,193.0,193.5,189.5,190.35,190.54,193.5,188.25,190.35,1897500,651750,320,167635490.0,316,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,68796,,TATASTEEL,,2026-09-29,2026-09-29,,,TATASTEEL26SEPFUT,191.96,192.47,188.6,189.47,189.72,192.21,188.25,189.47,39380000,992750,734,383255565.0,660,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112888,,TATASTEEL,,2026-10-27,2026-10-27,175.0,PE,TATASTEEL26OCT175PE,0.0,0.0,0.0,7.28,0.0,7.28,188.25,4.73,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153567,,TATASTEEL,,2026-08-25,2026-08-25,177.5,PE,TATASTEEL26AUG177.5PE,0.52,0.82,0.49,0.64,0.63,0.47,188.25,0.64,1127500,176000,272,133256640.0,243,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149023,,TATASTEEL,,2026-08-25,2026-08-25,170.0,PE,TATASTEEL26AUG170PE,0.18,0.26,0.15,0.21,0.21,0.17,188.25,0.21,2180750,115500,369,172717930.0,242,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112735,,TATASTEEL,,2026-09-29,2026-09-29,207.5,CE,TATASTEEL26SEP207.5CE,0.0,0.0,0.0,2.93,0.0,2.93,188.25,3.16,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112719,,TATASTEEL,,2026-09-29,2026-09-29,167.5,CE,TATASTEEL26SEP167.5CE,0.0,0.0,0.0,20.28,0.0,20.28,188.25,23.84,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112727,,TATASTEEL,,2026-09-29,2026-09-29,187.5,CE,TATASTEEL26SEP187.5CE,0.0,0.0,0.0,8.65,8.65,8.65,188.25,10.2,2750,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153810,,TATASTEEL,,2026-09-29,2026-09-29,200.0,CE,TATASTEEL26SEP200CE,3.69,3.86,2.85,3.01,3.01,3.89,188.25,3.01,1768250,387750,245,136889527.5,179,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112887,,TATASTEEL,,2026-10-27,2026-10-27,175.0,CE,TATASTEEL26OCT175CE,0.0,0.0,0.0,17.54,0.0,17.54,188.25,20.39,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153809,,TATASTEEL,,2026-09-29,2026-09-29,195.0,PE,TATASTEEL26SEP195PE,8.6,10.25,8.6,9.63,9.5,8.2,188.25,9.63,110000,38500,19,10687077.5,17,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112906,,TATASTEEL,,2026-10-27,2026-10-27,215.0,PE,TATASTEEL26OCT215PE,0.0,0.0,0.0,32.44,0.0,32.44,188.25,27.46,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112904,,TATASTEEL,,2026-10-27,2026-10-27,210.0,PE,TATASTEEL26OCT210PE,0.0,0.0,0.0,28.41,0.0,28.41,188.25,23.59,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112902,,TATASTEEL,,2026-10-27,2026-10-27,205.0,PE,TATASTEEL26OCT205PE,0.0,0.0,0.0,24.59,0.0,24.59,188.25,19.95,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112734,,TATASTEEL,,2026-09-29,2026-09-29,202.5,PE,TATASTEEL26SEP202.5PE,0.0,0.0,0.0,21.69,0.0,21.69,188.25,16.83,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153816,,TATASTEEL,,2026-09-29,2026-09-29,215.0,CE,TATASTEEL26SEP215CE,1.11,1.11,0.8,0.8,0.8,1.07,188.25,1.88,52250,13750,10,5939477.5,9,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153565,,TATASTEEL,,2026-08-25,2026-08-25,172.5,PE,TATASTEEL26AUG172.5PE,0.29,0.38,0.25,0.3,0.3,0.23,188.25,0.3,946000,2750,71,33740850.0,66,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149029,,TATASTEEL,,2026-08-25,2026-08-25,185.0,PE,TATASTEEL26AUG185PE,1.6,2.73,1.6,2.22,2.2,1.58,188.25,2.22,8043750,-426250,2918,1502770115.0,2211,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153571,,TATASTEEL,,2026-08-25,2026-08-25,187.5,PE,TATASTEEL26AUG187.5PE,2.43,3.85,2.29,3.22,3.25,2.32,188.25,3.22,2200000,310750,1719,901193425.0,1338,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153752,,TATASTEEL,,2026-08-25,2026-08-25,207.5,PE,TATASTEEL26AUG207.5PE,0.0,0.0,0.0,14.76,14.76,14.76,188.25,19.16,200750,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112722,,TATASTEEL,,2026-09-29,2026-09-29,172.5,PE,TATASTEEL26SEP172.5PE,0.0,0.0,0.0,4.87,0.0,4.87,188.25,2.58,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153801,,TATASTEEL,,2026-09-29,2026-09-29,175.0,PE,TATASTEEL26SEP175PE,1.6,1.95,1.6,1.75,1.74,1.43,188.25,1.75,134750,22000,16,7779420.0,15,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112740,,TATASTEEL,,2026-09-29,2026-09-29,212.5,PE,TATASTEEL26SEP212.5PE,0.0,0.0,0.0,29.8,0.0,29.8,188.25,24.63,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149040,,TATASTEEL,,2026-08-25,2026-08-25,215.0,CE,TATASTEEL26AUG215CE,0.15,0.15,0.1,0.12,0.12,0.16,188.25,0.12,1449250,8250,257,152036747.5,153,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112900,,TATASTEEL,,2026-10-27,2026-10-27,200.0,PE,TATASTEEL26OCT200PE,0.0,0.0,0.0,20.98,0.0,20.98,188.25,16.6,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112908,,TATASTEEL,,2026-10-27,2026-10-27,220.0,PE,TATASTEEL26OCT220PE,0.0,0.0,0.0,36.64,0.0,36.64,188.25,31.54,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149028,,TATASTEEL,,2026-08-25,2026-08-25,185.0,CE,TATASTEEL26AUG185CE,7.5,7.77,5.05,5.67,5.71,7.94,188.25,5.67,5021500,8250,770,404015755.0,635,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153794,,TATASTEEL,,2026-09-29,2026-09-29,160.0,CE,TATASTEEL26SEP160CE,0.0,0.0,0.0,35.42,35.42,35.42,188.25,30.37,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153804,,TATASTEEL,,2026-09-29,2026-09-29,185.0,CE,TATASTEEL26SEP185CE,9.4,9.4,9.09,9.25,9.25,11.34,188.25,9.25,68750,16500,6,3204822.5,6,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112883,,TATASTEEL,,2026-10-27,2026-10-27,165.0,CE,TATASTEEL26OCT165CE,0.0,0.0,0.0,24.15,0.0,24.15,188.25,27.85,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112886,,TATASTEEL,,2026-10-27,2026-10-27,170.0,PE,TATASTEEL26OCT170PE,0.0,0.0,0.0,5.5,0.0,5.5,188.25,3.38,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112733,,TATASTEEL,,2026-09-29,2026-09-29,202.5,CE,TATASTEEL26SEP202.5CE,0.0,0.0,0.0,3.93,0.0,3.93,188.25,4.36,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,112891,,TATASTEEL,,2026-10-27,2026-10-27,185.0,CE,TATASTEEL26OCT185CE,0.0,0.0,0.0,12.23,0.0,12.23,188.25,14.25,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153569,,TATASTEEL,,2026-08-25,2026-08-25,182.5,PE,TATASTEEL26AUG182.5PE,1.08,1.85,1.05,1.47,1.44,1.08,188.25,1.47,2923250,176000,640,323748920.0,573,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149035,,TATASTEEL,,2026-08-25,2026-08-25,200.0,PE,TATASTEEL26AUG200PE,10.1,13.1,10.1,12.14,12.1,9.73,188.25,12.14,6371750,-16500,79,45932892.5,53,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153754,,TATASTEEL,,2026-08-25,2026-08-25,212.5,PE,TATASTEEL26AUG212.5PE,0.0,0.0,0.0,25.39,0.0,25.39,188.25,23.92,0,0,0,0.0,0,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153807,,TATASTEEL,,2026-09-29,2026-09-29,190.0,PE,TATASTEEL26SEP190PE,5.65,7.43,5.65,6.93,6.93,5.65,188.25,6.93,484000,38500,24,12967047.5,20,F1,2750,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153563,,TATASTEEL,,2026-08-25,2026-08-25,167.5,PE,TATASTEEL26AUG167.5PE,0.07,0.2,0.07,0.11,0.11,0.11,188.25,0.14,1012000,0,9,4148375.0,5,F1,2750,,,,,
