TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,39503,,TECHM,,2026-08-25,2026-08-25,1680.0,PE,TECHM26AUG1680PE,48.2,51.65,43.95,50.85,50.75,55.95,1642.97,50.85,166200,-4800,50,51869670.0,49,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39589,,TECHM,,2026-09-29,2026-09-29,1720.0,PE,TECHM26SEP1720PE,0.0,0.0,0.0,92.2,92.2,92.2,1642.97,117.5,10200,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39487,,TECHM,,2026-08-25,2026-08-25,1540.0,CE,TECHM26AUG1540CE,115.9,118.1,115.9,117.45,117.45,115.35,1642.97,117.45,145200,600,5,4972110.0,5,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39511,,TECHM,,2026-08-25,2026-08-25,1760.0,CE,TECHM26AUG1760CE,5.8,7.6,5.0,5.15,5.35,5.45,1642.97,5.15,232800,12600,259,274429710.0,224,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39598,,TECHM,,2026-09-29,2026-09-29,1880.0,CE,TECHM26SEP1880CE,7.95,8.2,7.5,7.65,7.65,8.0,1642.97,17.65,33000,6000,11,12460410.0,9,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149720,,TECHM,,2026-08-25,2026-08-25,1284.0,PE,TECHM26AUG1284PE,0.0,0.0,0.0,0.5,0.5,0.5,1642.97,0.0,23400,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113819,,TECHM,,2026-10-27,2026-10-27,1640.0,CE,TECHM26OCT1640CE,0.0,0.0,0.0,122.4,0.0,122.4,1642.97,114.45,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39577,,TECHM,,2026-09-29,2026-09-29,1480.0,PE,TECHM26SEP1480PE,0.0,0.0,0.0,122.55,0.0,122.55,1642.97,18.96,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39579,,TECHM,,2026-09-29,2026-09-29,1520.0,PE,TECHM26SEP1520PE,0.0,0.0,0.0,15.5,15.5,15.5,1642.97,28.11,55800,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113533,,TECHM,,2026-09-29,2026-09-29,1780.0,PE,TECHM26SEP1780PE,0.0,0.0,0.0,173.4,0.0,173.4,1642.97,158.56,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113812,,TECHM,,2026-10-27,2026-10-27,1520.0,PE,TECHM26OCT1520PE,0.0,0.0,0.0,52.75,0.0,52.75,1642.97,41.99,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113814,,TECHM,,2026-10-27,2026-10-27,1560.0,PE,TECHM26OCT1560PE,0.0,0.0,0.0,67.1,0.0,67.1,1642.97,55.13,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113824,,TECHM,,2026-10-27,2026-10-27,1720.0,PE,TECHM26OCT1720PE,0.0,0.0,0.0,146.8,0.0,146.8,1642.97,132.45,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113882,,TECHM,,2026-10-27,2026-10-27,1920.0,PE,TECHM26OCT1920PE,0.0,0.0,0.0,290.1,0.0,290.1,1642.97,277.6,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154022,,TECHM,,2026-08-25,2026-08-25,1424.0,CE,TECHM26AUG1424CE,0.0,0.0,0.0,196.85,196.85,196.85,1642.97,222.79,1800,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39476,,TECHM,,2026-08-25,2026-08-25,1420.0,PE,TECHM26AUG1420PE,0.0,0.0,0.0,0.6,0.6,0.6,1642.97,0.45,16200,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149725,,TECHM,,2026-08-25,2026-08-25,1404.0,CE,TECHM26AUG1404CE,0.0,0.0,0.0,240.0,240.0,240.0,1642.97,242.5,3000,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149736,,TECHM,,2026-08-25,2026-08-25,1564.0,PE,TECHM26AUG1564PE,7.2,8.25,6.6,7.2,6.7,8.85,1642.97,7.2,87000,-5400,60,56568210.0,58,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39510,,TECHM,,2026-08-25,2026-08-25,1740.0,PE,TECHM26AUG1740PE,0.0,0.0,0.0,103.05,103.05,103.05,1642.97,105.81,2400,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39493,,TECHM,,2026-08-25,2026-08-25,1600.0,CE,TECHM26AUG1600CE,73.15,75.45,63.65,65.35,66.85,61.35,1642.97,65.35,1827600,-2400,169,169134870.0,127,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39588,,TECHM,,2026-09-29,2026-09-29,1720.0,CE,TECHM26SEP1720CE,0.0,0.0,0.0,33.0,33.0,33.0,1642.97,55.57,16800,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39594,,TECHM,,2026-09-29,2026-09-29,1800.0,CE,TECHM26SEP1800CE,18.1,18.1,18.1,18.1,18.1,18.0,1642.97,32.34,2400,600,1,1090860.0,1,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113823,,TECHM,,2026-10-27,2026-10-27,1720.0,CE,TECHM26OCT1720CE,0.0,0.0,0.0,87.8,0.0,87.8,1642.97,79.1,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149677,,TECHM,,2026-08-25,2026-08-25,1124.0,CE,TECHM26AUG1124CE,0.0,0.0,0.0,501.0,501.0,501.0,1642.97,521.58,8400,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39505,,TECHM,,2026-08-25,2026-08-25,1700.0,CE,TECHM26AUG1700CE,16.25,20.55,14.1,14.75,15.0,15.15,1642.97,14.75,914400,-62400,1706,1757241090.0,1205,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39484,,TECHM,,2026-08-25,2026-08-25,1500.0,PE,TECHM26AUG1500PE,2.25,2.75,2.1,2.25,2.1,3.0,1642.97,2.25,408000,-1200,68,61301610.0,50,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39496,,TECHM,,2026-08-25,2026-08-25,1620.0,PE,TECHM26AUG1620PE,25.0,25.0,17.75,19.2,18.65,23.85,1642.97,19.2,267600,20400,562,552947760.0,515,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154061,,TECHM,,2026-09-29,2026-09-29,1084.0,PE,TECHM26SEP1084PE,0.0,0.0,0.0,3.0,3.0,3.0,1642.97,0.01,6000,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39569,,TECHM,,2026-09-29,2026-09-29,1400.0,PE,TECHM26SEP1400PE,0.0,0.0,0.0,16.2,16.2,16.2,1642.97,7.53,600,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39595,,TECHM,,2026-09-29,2026-09-29,1800.0,PE,TECHM26SEP1800PE,0.0,0.0,0.0,374.85,0.0,374.85,1642.97,173.56,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113832,,TECHM,,2026-10-27,2026-10-27,1840.0,PE,TECHM26OCT1840PE,0.0,0.0,0.0,227.95,0.0,227.95,1642.97,214.3,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39480,,TECHM,,2026-08-25,2026-08-25,1460.0,PE,TECHM26AUG1460PE,1.2,1.45,1.15,1.15,1.15,1.2,1642.97,1.42,176400,-3000,9,7890690.0,6,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39499,,TECHM,,2026-08-25,2026-08-25,1640.0,PE,TECHM26AUG1640PE,29.95,30.25,24.3,27.1,26.25,33.3,1642.97,27.1,298800,13800,956,956510010.0,812,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113474,,TECHM,,2026-09-29,2026-09-29,1540.0,PE,TECHM26SEP1540PE,0.0,0.0,0.0,45.75,0.0,45.75,1642.97,33.57,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113488,,TECHM,,2026-09-29,2026-09-29,1700.0,PE,TECHM26SEP1700PE,81.0,86.0,81.0,86.0,86.0,88.15,1642.97,105.15,30600,600,3,3208800.0,3,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39597,,TECHM,,2026-09-29,2026-09-29,1840.0,PE,TECHM26SEP1840PE,0.0,0.0,0.0,411.7,0.0,411.7,1642.97,204.92,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154020,,TECHM,,2026-08-25,2026-08-25,1384.0,CE,TECHM26AUG1384CE,0.0,0.0,0.0,275.45,275.45,275.45,1642.97,262.32,1800,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39509,,TECHM,,2026-08-25,2026-08-25,1740.0,CE,TECHM26AUG1740CE,8.15,10.7,6.9,7.1,7.05,7.75,1642.97,7.1,115800,-22200,226,237056190.0,187,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39519,,TECHM,,2026-08-25,2026-08-25,1840.0,CE,TECHM26AUG1840CE,2.3,2.3,1.4,1.5,1.5,1.7,1642.97,1.5,384000,9000,87,96135210.0,70,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39584,,TECHM,,2026-09-29,2026-09-29,1640.0,CE,TECHM26SEP1640CE,69.0,69.0,69.0,69.0,69.0,65.0,1642.97,89.91,13800,1200,2,2050800.0,2,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149729,,TECHM,,2026-08-25,2026-08-25,1444.0,CE,TECHM26AUG1444CE,0.0,0.0,0.0,212.4,212.4,212.4,1642.97,203.24,2400,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113805,,TECHM,,2026-10-27,2026-10-27,1520.0,CE,TECHM26OCT1520CE,0.0,0.0,0.0,190.8,0.0,190.8,1642.97,185.88,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113831,,TECHM,,2026-10-27,2026-10-27,1840.0,CE,TECHM26OCT1840CE,0.0,0.0,0.0,50.8,0.0,50.8,1642.97,42.6,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149722,,TECHM,,2026-08-25,2026-08-25,1324.0,PE,TECHM26AUG1324PE,0.0,0.0,0.0,1.55,1.55,1.55,1642.97,0.01,600,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149728,,TECHM,,2026-08-25,2026-08-25,1404.0,PE,TECHM26AUG1404PE,0.0,0.0,0.0,5.65,5.65,5.65,1642.97,0.27,2400,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149734,,TECHM,,2026-08-25,2026-08-25,1524.0,PE,TECHM26AUG1524PE,4.1,4.1,3.4,3.8,3.8,4.85,1642.97,6.32,53400,-1200,12,10999590.0,12,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113826,,TECHM,,2026-10-27,2026-10-27,1760.0,PE,TECHM26OCT1760PE,0.0,0.0,0.0,172.0,0.0,172.0,1642.97,157.68,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149733,,TECHM,,2026-08-25,2026-08-25,1524.0,CE,TECHM26AUG1524CE,139.0,139.2,131.35,139.2,139.2,127.1,1642.97,128.82,30000,24600,45,44893470.0,32,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39491,,TECHM,,2026-08-25,2026-08-25,1580.0,CE,TECHM26AUG1580CE,81.15,81.6,81.15,81.3,81.6,74.25,1642.97,81.3,116400,-1800,3,2990340.0,2,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39574,,TECHM,,2026-09-29,2026-09-29,1480.0,CE,TECHM26SEP1480CE,0.0,0.0,0.0,177.0,177.0,177.0,1642.97,194.93,600,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39462,,TECHM,,2026-08-25,2026-08-25,1300.0,PE,TECHM26AUG1300PE,0.0,0.0,0.0,0.35,0.35,0.35,1642.97,0.0,16200,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39466,,TECHM,,2026-08-25,2026-08-25,1340.0,PE,TECHM26AUG1340PE,0.0,0.0,0.0,0.5,0.5,0.5,1642.97,0.03,5400,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39482,,TECHM,,2026-08-25,2026-08-25,1480.0,PE,TECHM26AUG1480PE,1.9,1.9,1.65,1.7,1.7,1.8,1642.97,2.37,84600,7800,58,51565890.0,42,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39488,,TECHM,,2026-08-25,2026-08-25,1540.0,PE,TECHM26AUG1540PE,6.5,6.5,4.2,4.6,4.25,6.4,1642.97,4.6,219600,-4800,175,162205740.0,144,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39490,,TECHM,,2026-08-25,2026-08-25,1560.0,PE,TECHM26AUG1560PE,6.5,7.4,6.15,6.25,6.25,8.25,1642.97,6.25,135000,-13800,81,76139400.0,73,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39494,,TECHM,,2026-08-25,2026-08-25,1600.0,PE,TECHM26AUG1600PE,14.6,15.55,12.45,13.7,13.1,17.25,1642.97,13.7,427800,20400,564,546151410.0,449,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39522,,TECHM,,2026-08-25,2026-08-25,1880.0,PE,TECHM26AUG1880PE,0.0,0.0,0.0,455.2,0.0,455.2,1642.97,233.67,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113804,,TECHM,,2026-10-27,2026-10-27,1480.0,PE,TECHM26OCT1480PE,0.0,0.0,0.0,40.7,0.0,40.7,1642.97,31.08,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113483,,TECHM,,2026-09-29,2026-09-29,1620.0,CE,TECHM26SEP1620CE,0.0,0.0,0.0,109.95,0.0,109.95,1642.97,100.4,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39580,,TECHM,,2026-09-29,2026-09-29,1560.0,CE,TECHM26SEP1560CE,0.0,0.0,0.0,47.75,0.0,47.75,1642.97,136.51,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,49014,,TECHM,,2026-10-27,2026-10-27,,,TECHM26OCTFUT,0.0,0.0,0.0,1636.0,1636.0,1636.0,1642.97,1665.9,55800,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39581,,TECHM,,2026-09-29,2026-09-29,1560.0,PE,TECHM26SEP1560PE,0.0,0.0,0.0,27.8,27.8,27.8,1642.97,39.85,1200,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39583,,TECHM,,2026-09-29,2026-09-29,1600.0,PE,TECHM26SEP1600PE,37.9,37.9,37.9,37.9,37.9,40.8,1642.97,54.65,38400,-600,1,982740.0,1,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39599,,TECHM,,2026-09-29,2026-09-29,1880.0,PE,TECHM26SEP1880PE,0.0,0.0,0.0,226.4,226.4,226.4,1642.97,238.17,9000,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113800,,TECHM,,2026-10-27,2026-10-27,1440.0,PE,TECHM26OCT1440PE,0.0,0.0,0.0,30.55,0.0,30.55,1642.97,22.37,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113820,,TECHM,,2026-10-27,2026-10-27,1640.0,PE,TECHM26OCT1640PE,0.0,0.0,0.0,102.55,0.0,102.55,1642.97,88.9,0,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154023,,TECHM,,2026-08-25,2026-08-25,1424.0,PE,TECHM26AUG1424PE,0.0,0.0,0.0,1.35,1.35,1.35,1642.97,0.51,5400,0,0,0.0,0,F1,600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39507,,TECHM,,2026-08-25,2026-08-25,1720.0,CE,TECHM26AUG1720CE,11.1,14.65,9.65,10.15,10.3,10.7,1642.97,10.15,681600,6600,464,482074350.0,451,F1,600,,,,,
