TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,154334,,TITAN,,2026-08-25,2026-08-25,4650.0,CE,TITAN26AUG4650CE,467.05,467.05,465.3,465.3,465.3,362.45,5127.94,492.95,21700,-175,2,1790661.25,2,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114634,,TITAN,,2026-10-27,2026-10-27,5200.0,CE,TITAN26OCT5200CE,0.0,0.0,0.0,170.55,0.0,170.55,5127.94,270.45,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114643,,TITAN,,2026-10-27,2026-10-27,5600.0,PE,TITAN26OCT5600PE,0.0,0.0,0.0,742.05,0.0,742.05,5127.94,521.53,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114617,,TITAN,,2026-10-27,2026-10-27,4600.0,PE,TITAN26OCT4600PE,0.0,0.0,0.0,139.4,0.0,139.4,5127.94,61.3,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114615,,TITAN,,2026-10-27,2026-10-27,4500.0,PE,TITAN26OCT4500PE,0.0,0.0,0.0,108.4,0.0,108.4,5127.94,44.18,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154410,,TITAN,,2026-09-29,2026-09-29,5000.0,PE,TITAN26SEP5000PE,99.25,104.0,84.0,100.15,98.6,101.55,5127.94,100.15,54250,1050,274,244187685.0,201,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114487,,TITAN,,2026-09-29,2026-09-29,4950.0,PE,TITAN26SEP4950PE,80.0,87.95,71.55,80.95,80.95,170.0,5127.94,118.81,1225,875,17,14960111.25,15,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114468,,TITAN,,2026-09-29,2026-09-29,4750.0,PE,TITAN26SEP4750PE,35.85,35.85,35.85,35.85,35.85,65.5,5127.94,61.55,350,175,1,837523.75,1,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154326,,TITAN,,2026-08-25,2026-08-25,4250.0,CE,TITAN26AUG4250CE,0.0,0.0,0.0,552.0,552.0,552.0,5127.94,887.83,525,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150631,,TITAN,,2026-08-25,2026-08-25,4500.0,CE,TITAN26AUG4500CE,650.0,650.0,620.0,620.0,620.0,609.8,5127.94,639.24,97650,-1225,12,10781933.75,10,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154338,,TITAN,,2026-08-25,2026-08-25,4850.0,CE,TITAN26AUG4850CE,320.0,321.5,270.75,274.1,270.75,271.15,5127.94,274.1,58975,-2800,38,34266785.0,26,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114470,,TITAN,,2026-09-29,2026-09-29,4850.0,CE,TITAN26SEP4850CE,355.6,356.65,355.6,356.65,356.65,320.6,5127.94,407.58,1050,875,5,4555267.5,2,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,49351,,TITAN,,2026-08-25,2026-08-25,5500.0,PE,TITAN26AUG5500PE,380.0,401.0,350.0,401.0,401.0,400.0,5127.94,401.0,1750,-1225,36,36948310.0,31,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150642,,TITAN,,2026-08-25,2026-08-25,5000.0,PE,TITAN26AUG5000PE,40.0,48.15,32.3,40.8,41.05,45.35,5127.94,40.8,839825,59150,7658,6751286841.25,5185,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,49350,,TITAN,,2026-08-25,2026-08-25,5500.0,CE,TITAN26AUG5500CE,8.85,11.8,7.05,7.3,7.5,8.25,5127.94,7.3,382200,48300,5496,5299089153.75,3717,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114636,,TITAN,,2026-10-27,2026-10-27,5300.0,CE,TITAN26OCT5300CE,0.0,0.0,0.0,140.75,0.0,140.75,5127.94,226.59,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150618,,TITAN,,2026-08-25,2026-08-25,3800.0,PE,TITAN26AUG3800PE,0.0,0.0,0.0,1.4,1.4,1.4,5127.94,0.0,2275,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150622,,TITAN,,2026-08-25,2026-08-25,4000.0,PE,TITAN26AUG4000PE,0.7,1.0,0.7,0.75,0.75,0.95,5127.94,0.0,25900,-8050,70,49010176.25,33,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154329,,TITAN,,2026-08-25,2026-08-25,4350.0,PE,TITAN26AUG4350PE,0.0,0.0,0.0,1.35,1.35,1.35,5127.94,0.12,7525,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154345,,TITAN,,2026-08-25,2026-08-25,5150.0,PE,TITAN26AUG5150PE,113.9,113.9,82.1,104.2,102.6,111.05,5127.94,104.2,93625,46375,4535,4161089843.75,3638,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150648,,TITAN,,2026-08-25,2026-08-25,5300.0,PE,TITAN26AUG5300PE,199.85,222.15,175.25,212.25,212.4,221.75,5127.94,212.25,19250,3150,327,314277258.75,243,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114464,,TITAN,,2026-09-29,2026-09-29,4650.0,PE,TITAN26SEP4650PE,0.0,0.0,0.0,82.0,82.0,82.0,5127.94,42.08,1925,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154420,,TITAN,,2026-09-29,2026-09-29,5400.0,PE,TITAN26SEP5400PE,0.0,0.0,0.0,947.65,0.0,947.65,5127.94,350.96,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114560,,TITAN,,2026-09-29,2026-09-29,5450.0,PE,TITAN26SEP5450PE,0.0,0.0,0.0,606.75,0.0,606.75,5127.94,385.27,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154342,,TITAN,,2026-08-25,2026-08-25,5050.0,CE,TITAN26AUG5050CE,123.35,160.9,111.4,116.45,117.05,117.8,5127.94,116.45,263550,-21000,3088,2805127508.75,2701,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150623,,TITAN,,2026-08-25,2026-08-25,4100.0,CE,TITAN26AUG4100CE,0.0,0.0,0.0,815.75,815.75,815.75,5127.94,1037.46,30625,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154324,,TITAN,,2026-08-25,2026-08-25,4150.0,CE,TITAN26AUG4150CE,0.0,0.0,0.0,848.7,848.7,848.7,5127.94,987.58,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154328,,TITAN,,2026-08-25,2026-08-25,4350.0,CE,TITAN26AUG4350CE,0.0,0.0,0.0,651.15,651.15,651.15,5127.94,788.16,350,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154336,,TITAN,,2026-08-25,2026-08-25,4750.0,CE,TITAN26AUG4750CE,379.55,412.0,379.55,412.0,412.0,365.3,5127.94,399.28,63350,-700,5,4502181.25,5,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154340,,TITAN,,2026-08-25,2026-08-25,4950.0,CE,TITAN26AUG4950CE,214.95,237.8,183.05,188.15,189.0,186.7,5127.94,188.15,162225,5425,333,300778555.0,291,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154346,,TITAN,,2026-08-25,2026-08-25,5250.0,CE,TITAN26AUG5250CE,36.0,54.5,31.0,33.0,34.0,34.65,5127.94,33.0,102025,-12950,4755,4404655841.25,4189,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150647,,TITAN,,2026-08-25,2026-08-25,5300.0,CE,TITAN26AUG5300CE,24.5,39.8,21.8,23.4,24.55,25.25,5127.94,23.4,434875,-2275,7972,7437455278.75,6421,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154344,,TITAN,,2026-08-25,2026-08-25,5150.0,CE,TITAN26AUG5150CE,66.3,98.1,55.55,64.9,66.0,66.4,5127.94,64.9,309225,115500,12890,11803915970.0,10555,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150624,,TITAN,,2026-08-25,2026-08-25,4100.0,PE,TITAN26AUG4100PE,0.7,0.85,0.7,0.75,0.75,1.25,5127.94,0.0,21875,-350,24,17223482.5,17,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114637,,TITAN,,2026-10-27,2026-10-27,5300.0,PE,TITAN26OCT5300PE,0.0,0.0,0.0,511.45,0.0,511.45,5127.94,325.7,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114606,,TITAN,,2026-10-27,2026-10-27,4200.0,PE,TITAN26OCT4200PE,0.0,0.0,0.0,44.1,0.0,44.1,5127.94,13.82,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114503,,TITAN,,2026-09-29,2026-09-29,5250.0,PE,TITAN26SEP5250PE,0.0,0.0,0.0,451.35,0.0,451.35,5127.94,257.67,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154400,,TITAN,,2026-09-29,2026-09-29,4500.0,PE,TITAN26SEP4500PE,15.0,19.25,10.5,18.0,18.0,15.4,5127.94,18.0,24325,19425,175,138350065.0,162,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154357,,TITAN,,2026-08-25,2026-08-25,5700.0,PE,TITAN26AUG5700PE,0.0,0.0,0.0,1245.4,0.0,1245.4,5127.94,562.86,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154337,,TITAN,,2026-08-25,2026-08-25,4750.0,PE,TITAN26AUG4750PE,9.6,10.85,7.15,7.6,7.45,10.05,5127.94,7.6,200375,-3325,857,713570392.5,637,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154335,,TITAN,,2026-08-25,2026-08-25,4650.0,PE,TITAN26AUG4650PE,6.05,6.05,4.3,4.65,4.45,6.25,5127.94,4.65,55300,5775,258,210175017.5,228,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154333,,TITAN,,2026-08-25,2026-08-25,4550.0,PE,TITAN26AUG4550PE,4.8,4.8,2.6,3.0,2.65,4.05,5127.94,3.0,168525,2275,230,183273308.75,176,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154325,,TITAN,,2026-08-25,2026-08-25,4150.0,PE,TITAN26AUG4150PE,1.2,1.65,0.75,0.85,0.85,0.85,5127.94,0.0,875,0,6,4358611.25,6,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150610,,TITAN,,2026-08-25,2026-08-25,3400.0,PE,TITAN26AUG3400PE,0.0,0.0,0.0,21.0,21.0,21.0,5127.94,0.0,350,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114638,,TITAN,,2026-10-27,2026-10-27,5400.0,CE,TITAN26OCT5400CE,95.0,95.0,95.0,95.0,95.0,95.0,5127.94,95.0,700,175,1,961625.0,1,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114620,,TITAN,,2026-10-27,2026-10-27,4800.0,CE,TITAN26OCT4800CE,0.0,0.0,0.0,340.25,0.0,340.25,5127.94,503.48,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114618,,TITAN,,2026-10-27,2026-10-27,4700.0,CE,TITAN26OCT4700CE,0.0,0.0,0.0,396.45,0.0,396.45,5127.94,575.49,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154413,,TITAN,,2026-09-29,2026-09-29,5200.0,CE,TITAN26SEP5200CE,127.35,156.65,127.1,130.95,132.15,126.5,5127.94,130.95,16975,1925,119,111272315.0,103,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114613,,TITAN,,2026-10-27,2026-10-27,4400.0,PE,TITAN26OCT4400PE,0.0,0.0,0.0,82.25,0.0,82.25,5127.94,30.96,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114619,,TITAN,,2026-10-27,2026-10-27,4700.0,PE,TITAN26OCT4700PE,0.0,0.0,0.0,176.15,0.0,176.15,5127.94,82.86,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154341,,TITAN,,2026-08-25,2026-08-25,4950.0,PE,TITAN26AUG4950PE,31.05,35.65,23.5,28.95,28.7,33.15,5127.94,28.95,173425,-5950,1618,1409368590.0,1319,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,49018,,TITAN,,2026-10-27,2026-10-27,,,TITAN26OCTFUT,5192.4,5225.0,5162.5,5171.5,5162.5,5164.6,5127.94,5171.5,150850,10325,118,107408980.0,113,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114488,,TITAN,,2026-09-29,2026-09-29,5050.0,CE,TITAN26SEP5050CE,0.0,0.0,0.0,193.0,193.0,193.0,5127.94,280.12,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154417,,TITAN,,2026-09-29,2026-09-29,5400.0,CE,TITAN26SEP5400CE,69.95,83.55,65.0,65.7,66.05,63.35,5127.94,65.7,14875,2275,52,49799627.5,50,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114630,,TITAN,,2026-10-27,2026-10-27,5000.0,CE,TITAN26OCT5000CE,0.0,0.0,0.0,244.75,0.0,244.75,5127.94,375.38,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154353,,TITAN,,2026-08-25,2026-08-25,5550.0,PE,TITAN26AUG5550PE,0.0,0.0,0.0,1099.6,0.0,1099.6,5127.94,421.27,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150644,,TITAN,,2026-08-25,2026-08-25,5100.0,PE,TITAN26AUG5100PE,87.75,87.75,61.1,77.95,78.2,84.35,5127.94,77.95,407050,6825,8305,7515624112.5,6026,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150651,,TITAN,,2026-08-25,2026-08-25,5600.0,CE,TITAN26AUG5600CE,4.75,6.9,4.15,4.45,4.25,5.0,5127.94,4.45,176225,-175,2583,2533920908.75,1705,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150649,,TITAN,,2026-08-25,2026-08-25,5400.0,CE,TITAN26AUG5400CE,14.05,21.05,11.85,12.5,12.95,13.65,5127.94,12.5,170800,-1575,4082,3869497966.25,3331,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154327,,TITAN,,2026-08-25,2026-08-25,4250.0,PE,TITAN26AUG4250PE,1.2,1.45,1.2,1.45,1.45,1.3,5127.94,0.03,4725,175,5,3719878.75,5,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114616,,TITAN,,2026-10-27,2026-10-27,4600.0,CE,TITAN26OCT4600CE,0.0,0.0,0.0,458.2,0.0,458.2,5127.94,652.55,0,0,0,0.0,0,F1,175,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114614,,TITAN,,2026-10-27,2026-10-27,4500.0,CE,TITAN26OCT4500CE,0.0,0.0,0.0,525.7,0.0,525.7,5127.94,734.06,0,0,0,0.0,0,F1,175,,,,,
