TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,114757,,TMPV,,2026-09-29,2026-09-29,365.0,PE,TMPV26SEP365PE,0.0,0.0,0.0,45.0,0.0,45.0,347.64,27.45,0,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114957,,TMPV,,2026-10-27,2026-10-27,300.0,PE,TMPV26OCT300PE,3.5,3.5,3.5,3.5,3.5,3.8,347.64,5.29,4800,0,1,485600.0,1,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114970,,TMPV,,2026-10-27,2026-10-27,360.0,PE,TMPV26OCT360PE,0.0,0.0,0.0,43.75,0.0,43.75,347.64,28.17,0,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,44120,,TMPV,,2026-08-25,2026-08-25,290.0,CE,TMPV26AUG290CE,0.0,0.0,0.0,45.55,45.55,45.55,347.64,58.36,24000,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154614,,TMPV,,2026-09-29,2026-09-29,380.0,CE,TMPV26SEP380CE,6.4,6.6,6.0,6.35,6.5,6.5,347.64,6.35,348800,9600,70,43272000.0,51,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114960,,TMPV,,2026-10-27,2026-10-27,320.0,CE,TMPV26OCT320CE,0.0,0.0,0.0,29.3,0.0,29.3,347.64,42.4,0,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114965,,TMPV,,2026-10-27,2026-10-27,340.0,CE,TMPV26OCT340CE,0.0,0.0,0.0,20.3,0.0,20.3,347.64,30.27,0,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114975,,TMPV,,2026-10-27,2026-10-27,390.0,CE,TMPV26OCT390CE,0.0,0.0,0.0,7.05,0.0,7.05,347.64,10.99,0,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154514,,TMPV,,2026-08-25,2026-08-25,335.0,CE,TMPV26AUG335CE,17.0,19.3,16.35,18.15,18.45,17.6,347.64,18.15,718400,12800,126,71161760.0,126,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154510,,TMPV,,2026-08-25,2026-08-25,315.0,CE,TMPV26AUG315CE,0.0,0.0,0.0,34.0,34.0,34.0,347.64,34.34,88000,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114972,,TMPV,,2026-10-27,2026-10-27,370.0,PE,TMPV26OCT370PE,0.0,0.0,0.0,51.05,0.0,51.05,347.64,34.21,0,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150907,,TMPV,,2026-08-25,2026-08-25,370.0,PE,TMPV26AUG370PE,25.2,26.5,23.3,24.6,24.55,25.6,347.64,24.6,473600,-19200,33,20830800.0,23,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150721,,TMPV,,2026-08-25,2026-08-25,320.0,CE,TMPV26AUG320CE,30.0,31.35,28.8,30.35,30.35,29.2,347.64,30.35,892800,-4800,18,10080240.0,14,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154519,,TMPV,,2026-08-25,2026-08-25,355.0,PE,TMPV26AUG355PE,14.65,15.55,12.8,13.75,13.65,14.4,347.64,13.75,888000,100800,285,168349600.0,274,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154507,,TMPV,,2026-08-25,2026-08-25,295.0,PE,TMPV26AUG295PE,0.35,0.4,0.3,0.35,0.35,0.4,347.64,0.35,795200,-1600,17,8033920.0,11,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114971,,TMPV,,2026-10-27,2026-10-27,370.0,CE,TMPV26OCT370CE,0.0,0.0,0.0,11.0,0.0,11.0,347.64,16.94,0,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114962,,TMPV,,2026-10-27,2026-10-27,330.0,CE,TMPV26OCT330CE,0.0,0.0,0.0,24.5,0.0,24.5,347.64,36.01,0,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150914,,TMPV,,2026-08-25,2026-08-25,410.0,CE,TMPV26AUG410CE,0.35,0.4,0.3,0.4,0.4,0.35,347.64,0.4,537600,6400,37,24292640.0,29,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154598,,TMPV,,2026-09-29,2026-09-29,300.0,CE,TMPV26SEP300CE,0.0,0.0,0.0,53.35,53.35,53.35,347.64,53.16,28800,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114710,,TMPV,,2026-09-29,2026-09-29,295.0,CE,TMPV26SEP295CE,0.0,0.0,0.0,40.0,0.0,40.0,347.64,57.47,0,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,49019,,TMPV,,2026-10-27,2026-10-27,,,TMPV26OCTFUT,351.1,353.6,350.0,352.45,352.55,351.4,347.64,352.45,830400,24000,59,33201680.0,58,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154621,,TMPV,,2026-09-29,2026-09-29,410.0,PE,TMPV26SEP410PE,62.0,62.0,60.5,60.5,60.5,60.5,347.64,62.14,54400,20800,16,12074080.0,7,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114959,,TMPV,,2026-10-27,2026-10-27,310.0,PE,TMPV26OCT310PE,0.0,0.0,0.0,15.7,0.0,15.7,347.64,7.55,0,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154516,,TMPV,,2026-08-25,2026-08-25,345.0,CE,TMPV26AUG345CE,11.45,12.65,10.35,11.85,12.05,11.45,347.64,11.85,1752000,193600,1201,685038880.0,875,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,150896,,TMPV,,2026-08-25,2026-08-25,340.0,CE,TMPV26AUG340CE,14.25,15.75,13.0,14.75,14.9,14.3,347.64,14.75,2406400,72000,751,425867600.0,604,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154597,,TMPV,,2026-09-29,2026-09-29,290.0,PE,TMPV26SEP290PE,1.3,1.3,1.25,1.25,1.25,1.6,347.64,1.7,132800,0,6,2796320.0,3,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154555,,TMPV,,2026-08-25,2026-08-25,375.0,PE,TMPV26AUG375PE,0.0,0.0,0.0,29.3,29.3,29.3,347.64,28.75,89600,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154513,,TMPV,,2026-08-25,2026-08-25,325.0,PE,TMPV26AUG325PE,2.8,3.0,2.15,2.5,2.5,2.8,347.64,2.5,1560000,64000,504,264182400.0,163,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114973,,TMPV,,2026-10-27,2026-10-27,380.0,CE,TMPV26OCT380CE,0.0,0.0,0.0,11.9,11.9,11.9,347.64,13.7,19200,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114760,,TMPV,,2026-09-29,2026-09-29,385.0,CE,TMPV26SEP385CE,0.0,0.0,0.0,4.6,4.6,4.6,347.64,7.54,3200,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,114752,,TMPV,,2026-09-29,2026-09-29,345.0,CE,TMPV26SEP345CE,0.0,0.0,0.0,17.9,17.9,17.9,347.64,21.99,3200,0,0,0.0,0,F1,1600,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154613,,TMPV,,2026-09-29,2026-09-29,370.0,PE,TMPV26SEP370PE,27.9,27.9,27.9,27.9,27.9,27.6,347.64,30.71,48000,0,1,636640.0,1,F1,1600,,,,,
