TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,151217,,TRENT,,2026-08-25,2026-08-25,3200.0,PE,TRENT26AUG3200PE,205.9,216.0,187.0,196.8,196.8,190.7,3000.01,196.8,270900,-5625,33,25243987.5,33,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,151199,,TRENT,,2026-08-25,2026-08-25,2600.0,PE,TRENT26AUG2600PE,3.0,3.0,2.2,2.65,2.85,2.7,3000.01,2.65,82575,-4950,103,60314141.25,66,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,151298,,TRENT,,2026-08-25,2026-08-25,3600.0,CE,TRENT26AUG3600CE,2.2,2.55,2.1,2.3,2.3,2.7,3000.01,2.3,218475,-9225,436,353385843.75,234,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154912,,TRENT,,2026-08-25,2026-08-25,3300.0,CE,TRENT26AUG3300CE,11.05,11.2,8.4,9.65,9.7,11.35,3000.01,9.65,762750,-81900,2223,1655287481.25,1623,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,68803,,TRENT,,2026-09-29,2026-09-29,,,TRENT26SEPFUT,3032.6,3038.3,3000.0,3023.4,3025.1,3034.8,3000.01,3023.4,459450,17775,217,147355245.0,207,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,58405,,TRENT,,2026-08-25,2026-08-25,,,TRENT26AUGFUT,3022.0,3035.0,2994.0,3019.3,3016.9,3032.4,3000.01,3019.3,10871325,-4275,1908,1295040105.0,1719,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154963,,TRENT,,2026-09-29,2026-09-29,3000.0,PE,TRENT26SEP3000PE,120.0,125.0,108.0,112.55,114.95,110.0,3000.01,112.55,36225,3825,101,70845142.5,89,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115414,,TRENT,,2026-10-27,2026-10-27,2900.0,PE,TRENT26OCT2900PE,0.0,0.0,0.0,223.6,0.0,223.6,3000.01,174.59,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154955,,TRENT,,2026-09-29,2026-09-29,2600.0,PE,TRENT26SEP2600PE,16.8,17.35,15.2,15.25,15.25,15.8,3000.01,42.74,24750,1575,8,4709126.25,7,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154959,,TRENT,,2026-09-29,2026-09-29,2800.0,PE,TRENT26SEP2800PE,0.0,0.0,0.0,77.45,0.0,77.45,3000.01,95.95,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154919,,TRENT,,2026-08-25,2026-08-25,3500.0,PE,TRENT26AUG3500PE,0.0,0.0,0.0,495.0,495.0,495.0,3000.01,496.49,63000,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154913,,TRENT,,2026-08-25,2026-08-25,3300.0,PE,TRENT26AUG3300PE,298.25,298.25,277.6,291.0,291.0,277.3,3000.01,312.32,78075,-900,4,3232147.5,3,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115419,,TRENT,,2026-10-27,2026-10-27,3200.0,CE,TRENT26OCT3200CE,0.0,0.0,0.0,175.7,0.0,175.7,3000.01,179.76,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115384,,TRENT,,2026-09-29,2026-09-29,3450.0,PE,TRENT26SEP3450PE,0.0,0.0,0.0,552.45,0.0,552.45,3000.01,481.84,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154916,,TRENT,,2026-08-25,2026-08-25,3450.0,CE,TRENT26AUG3450CE,4.8,4.8,3.7,4.45,4.65,5.1,3000.01,4.45,100800,-11025,192,149225220.0,174,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154908,,TRENT,,2026-08-25,2026-08-25,3150.0,CE,TRENT26AUG3150CE,29.8,32.1,22.7,26.25,26.0,31.25,3000.01,26.25,626850,-1800,1853,1324308105.0,1507,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154880,,TRENT,,2026-08-25,2026-08-25,2900.0,CE,TRENT26AUG2900CE,155.0,155.5,127.6,142.25,141.15,154.25,3000.01,142.25,307575,-1125,252,172336916.25,247,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154862,,TRENT,,2026-08-25,2026-08-25,2500.0,CE,TRENT26AUG2500CE,0.0,0.0,0.0,566.7,566.7,566.7,3000.01,507.27,2250,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115418,,TRENT,,2026-10-27,2026-10-27,3100.0,PE,TRENT26OCT3100PE,0.0,0.0,0.0,333.65,0.0,333.65,3000.01,275.8,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154967,,TRENT,,2026-09-29,2026-09-29,3200.0,PE,TRENT26SEP3200PE,244.7,244.7,227.0,232.8,232.8,220.35,3000.01,232.8,19800,450,6,4635956.25,6,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115332,,TRENT,,2026-09-29,2026-09-29,2750.0,CE,TRENT26SEP2750CE,0.0,0.0,0.0,331.55,0.0,331.55,3000.01,354.09,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115342,,TRENT,,2026-09-29,2026-09-29,3050.0,CE,TRENT26SEP3050CE,121.05,121.05,118.0,118.1,118.1,132.4,3000.01,118.1,12600,900,7,4991343.75,7,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154964,,TRENT,,2026-09-29,2026-09-29,3100.0,CE,TRENT26SEP3100CE,102.0,103.0,91.0,95.05,98.0,107.1,3000.01,95.05,22725,1125,23,16541111.25,22,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115357,,TRENT,,2026-09-29,2026-09-29,3150.0,CE,TRENT26SEP3150CE,0.0,0.0,0.0,100.0,100.0,100.0,3000.01,143.31,225,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115427,,TRENT,,2026-10-27,2026-10-27,3600.0,CE,TRENT26OCT3600CE,0.0,0.0,0.0,79.95,0.0,79.95,3000.01,76.38,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,151193,,TRENT,,2026-08-25,2026-08-25,2400.0,PE,TRENT26AUG2400PE,0.65,0.9,0.65,0.65,0.65,0.65,3000.01,0.35,16425,-1800,12,6481890.0,12,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154865,,TRENT,,2026-08-25,2026-08-25,2550.0,PE,TRENT26AUG2550PE,0.0,0.0,0.0,1.75,1.75,1.75,3000.01,2.7,10125,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115341,,TRENT,,2026-09-29,2026-09-29,2950.0,PE,TRENT26SEP2950PE,0.0,0.0,0.0,110.0,110.0,110.0,3000.01,156.53,225,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,154969,,TRENT,,2026-09-29,2026-09-29,3300.0,PE,TRENT26SEP3300PE,325.0,325.0,311.0,311.0,311.0,260.0,3000.01,366.84,675,450,2,1628100.0,2,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115380,,TRENT,,2026-09-29,2026-09-29,3350.0,PE,TRENT26SEP3350PE,0.0,0.0,0.0,473.65,0.0,473.65,3000.01,403.92,0,0,0,0.0,0,F1,225,,,,,
