TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,155297,,ULTRACEMCO,,2026-08-25,2026-08-25,12460.0,PE,ULTRACEMCO26AUG12460PE,0.0,0.0,0.0,397.0,397.0,397.0,11779.93,709.66,200,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,37836,,ULTRACEMCO,,2026-08-25,2026-08-25,13400.0,PE,ULTRACEMCO26AUG13400PE,0.0,0.0,0.0,1519.6,0.0,1519.6,11779.93,1591.56,0,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,155433,,ULTRACEMCO,,2026-09-29,2026-09-29,10760.0,PE,ULTRACEMCO26SEP10760PE,50.5,60.9,50.5,56.25,56.0,41.45,11779.93,56.25,2800,250,38,20551442.5,28,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,38098,,ULTRACEMCO,,2026-09-29,2026-09-29,11300.0,PE,ULTRACEMCO26SEP11300PE,0.0,0.0,0.0,268.55,0.0,268.55,11779.93,238.91,0,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,115792,,ULTRACEMCO,,2026-09-29,2026-09-29,12460.0,PE,ULTRACEMCO26SEP12460PE,0.0,0.0,0.0,938.05,0.0,938.05,11779.93,833.4,0,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,38149,,ULTRACEMCO,,2026-09-29,2026-09-29,12900.0,PE,ULTRACEMCO26SEP12900PE,0.0,0.0,0.0,1148.5,0.0,1148.5,11779.93,1160.9,0,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,38151,,ULTRACEMCO,,2026-09-29,2026-09-29,13000.0,PE,ULTRACEMCO26SEP13000PE,1051.0,1070.0,1051.0,1070.0,1070.0,877.25,11779.93,1241.34,250,200,4,2812800.0,3,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,38182,,ULTRACEMCO,,2026-09-29,2026-09-29,13800.0,PE,ULTRACEMCO26SEP13800PE,0.0,0.0,0.0,1893.35,0.0,1893.35,11779.93,1942.33,0,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,116144,,ULTRACEMCO,,2026-10-27,2026-10-27,12760.0,PE,ULTRACEMCO26OCT12760PE,0.0,0.0,0.0,1209.75,0.0,1209.75,11779.93,1110.97,0,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,38370,,ULTRACEMCO,,2026-10-27,2026-10-27,13600.0,PE,ULTRACEMCO26OCT13600PE,0.0,0.0,0.0,1739.8,0.0,1739.8,11779.93,1767.95,0,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,38037,,ULTRACEMCO,,2026-09-29,2026-09-29,10000.0,CE,ULTRACEMCO26SEP10000CE,0.0,0.0,0.0,1982.0,0.0,1982.0,11779.93,1889.7,0,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,37809,,ULTRACEMCO,,2026-08-25,2026-08-25,12900.0,CE,ULTRACEMCO26AUG12900CE,0.0,0.0,0.0,69.7,0.0,69.7,11779.93,15.74,0,0,0,0.0,0,F1,50,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,155274,,ULTRACEMCO,,2026-08-25,2026-08-25,10260.0,CE,ULTRACEMCO26AUG10260CE,0.0,0.0,0.0,1313.35,1313.35,1313.35,11779.93,1544.81,250,0,0,0.0,0,F1,50,,,,,
