TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,156545,,WIPRO,,2026-08-25,2026-08-25,197.5,PE,WIPRO26AUG197.5PE,0.0,0.0,0.0,10.89,10.89,10.89,184.59,13.34,291000,0,0,0.0,0,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118739,,WIPRO,,2026-10-27,2026-10-27,205.0,CE,WIPRO26OCT205CE,0.0,0.0,0.0,4.47,0.0,4.47,184.59,4.52,0,0,0,0.0,0,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,156604,,WIPRO,,2026-09-29,2026-09-29,215.0,CE,WIPRO26SEP215CE,1.0,1.04,0.8,0.82,0.82,1.0,184.59,1.18,72000,24000,22,14249490.0,20,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,156592,,WIPRO,,2026-09-29,2026-09-29,185.0,CE,WIPRO26SEP185CE,7.9,7.9,6.17,6.86,6.89,7.48,184.59,6.86,120000,102000,49,28198440.0,47,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118652,,WIPRO,,2026-09-29,2026-09-29,172.5,CE,WIPRO26SEP172.5CE,0.0,0.0,0.0,15.4,0.0,15.4,184.59,16.74,0,0,0,0.0,0,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153506,,WIPRO,,2026-08-25,2026-08-25,190.0,CE,WIPRO26AUG190CE,2.35,3.21,1.62,1.82,1.85,2.53,184.59,1.82,10488000,660000,3327,1919209470.0,2587,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118732,,WIPRO,,2026-10-27,2026-10-27,190.0,PE,WIPRO26OCT190PE,0.0,0.0,0.0,10.5,10.5,10.5,184.59,12.21,18000,0,0,0.0,0,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,156597,,WIPRO,,2026-09-29,2026-09-29,195.0,PE,WIPRO26SEP195PE,0.0,0.0,0.0,13.0,13.0,13.0,184.59,13.75,3000,0,0,0.0,0,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,156587,,WIPRO,,2026-09-29,2026-09-29,170.0,PE,WIPRO26SEP170PE,1.5,2.0,1.5,1.84,1.79,1.73,184.59,1.84,708000,21000,31,15978120.0,27,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,156583,,WIPRO,,2026-09-29,2026-09-29,160.0,PE,WIPRO26SEP160PE,0.69,0.73,0.68,0.68,0.68,0.68,184.59,0.68,336000,6000,6,2892690.0,6,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118731,,WIPRO,,2026-10-27,2026-10-27,190.0,CE,WIPRO26OCT190CE,6.3,6.3,6.3,6.3,6.3,8.2,184.59,6.3,24000,0,1,588900.0,1,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118725,,WIPRO,,2026-10-27,2026-10-27,180.0,CE,WIPRO26OCT180CE,0.0,0.0,0.0,13.38,0.0,13.38,184.59,14.38,0,0,0,0.0,0,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153523,,WIPRO,,2026-08-25,2026-08-25,230.0,PE,WIPRO26AUG230PE,45.15,45.95,44.9,44.9,44.9,44.0,184.59,44.9,2235000,0,11,9088950.0,9,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153515,,WIPRO,,2026-08-25,2026-08-25,210.0,PE,WIPRO26AUG210PE,25.0,25.0,25.0,25.0,25.0,22.09,184.59,25.01,327000,6000,2,1410000.0,1,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153509,,WIPRO,,2026-08-25,2026-08-25,195.0,PE,WIPRO26AUG195PE,11.99,11.99,10.8,10.8,10.8,10.32,184.59,10.8,1092000,-9000,5,3094620.0,4,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,118650,,WIPRO,,2026-09-29,2026-09-29,167.5,CE,WIPRO26SEP167.5CE,0.0,0.0,0.0,18.82,0.0,18.82,184.59,20.54,0,0,0,0.0,0,F1,3000,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,156544,,WIPRO,,2026-08-25,2026-08-25,197.5,CE,WIPRO26AUG197.5CE,1.05,1.23,0.61,0.68,0.65,0.98,184.59,0.68,1329000,249000,347,206418360.0,254,F1,3000,,,,,
